Entry	Entry Name	Gene Names	Protein names	Organism	Length	Subcellular location [CC]	Keywords	Gene Ontology (biological process)	Gene Ontology (cellular component)
P00550	PTM3C_ECOLI	mtlA b3599 JW3573	PTS system mannitol-specific EIICBA component (EIICBA-Mtl) (EII-Mtl) [Includes: Mannitol permease IIC component (PTS system mannitol-specific EIIC component); Mannitol-specific phosphotransferase enzyme IIB component (EC 2.7.1.197) (PTS system mannitol-specific EIIB component); Mannitol-specific phosphotransferase enzyme IIA component (PTS system mannitol-specific EIIA component)]	Escherichia coli (strain K12)	637	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|PROSITE-ProRule:PRU00427, ECO:0000269|PubMed:15919996, ECO:0000305|PubMed:6309813}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00427, ECO:0000269|PubMed:15919996, ECO:0000305|PubMed:368051}.	3D-structure;Cell inner membrane;Cell membrane;Kinase;Membrane;Phosphoprotein;Phosphotransferase system;Reference proteome;Sugar transport;Transferase;Transmembrane;Transmembrane helix;Transport	mannitol transmembrane transport [GO:0015797]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]; sorbitol transmembrane transport [GO:0015795]	plasma membrane [GO:0005886]
P00561	AK1H_ECOLI	thrA thrA1 thrA2 b0002 JW0001	Bifunctional aspartokinase/homoserine dehydrogenase 1 (Aspartokinase I/homoserine dehydrogenase I) (AKI-HDI) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]	Escherichia coli (strain K12)	820		3D-structure;Allosteric enzyme;Amino-acid biosynthesis;ATP-binding;Direct protein sequencing;Kinase;Lysine biosynthesis;Metal-binding;Methionine biosynthesis;Multifunctional enzyme;NAD;NADP;Nucleotide-binding;Oxidoreductase;Reference proteome;Repeat;Sodium;Threonine biosynthesis;Transferase	homoserine biosynthetic process [GO:0009090]; lysine biosynthetic process via diaminopimelate [GO:0009089]; methionine biosynthetic process [GO:0009086]; protein homotetramerization [GO:0051289]; threonine biosynthetic process [GO:0009088]	
P00562	AK2H_ECOLI	metL metM b3940 JW3911	Bifunctional aspartokinase/homoserine dehydrogenase 2 (Aspartokinase II/homoserine dehydrogenase II) (AKII-HDII) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]	Escherichia coli (strain K12)	810		Amino-acid biosynthesis;ATP-binding;Direct protein sequencing;Kinase;Lysine biosynthesis;Metal-binding;Methionine biosynthesis;Multifunctional enzyme;NAD;NADP;Nucleotide-binding;Oxidoreductase;Reference proteome;Sodium;Threonine biosynthesis;Transferase	homoserine biosynthetic process [GO:0009090]; lysine biosynthetic process via diaminopimelate [GO:0009089]; methionine biosynthetic process [GO:0009086]; threonine biosynthetic process [GO:0009088]	cytosol [GO:0005829]
P00579	RPOD_ECOLI	rpoD alt b3067 JW3039	RNA polymerase sigma factor RpoD (Sigma-70)	Escherichia coli (strain K12)	613	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00963}.	3D-structure;Cytoplasm;Direct protein sequencing;DNA-binding;Reference proteome;Sigma factor;Transcription;Transcription regulation	DNA-templated transcription initiation [GO:0006352]; negative regulation of DNA-templated transcription [GO:0045892]; regulation of DNA-templated transcription [GO:0006355]; regulation of DNA-templated transcription initiation [GO:2000142]; response to heat [GO:0009408]	cytosol [GO:0005829]; cytosolic DNA-directed RNA polymerase complex [GO:0000345]; sigma factor antagonist complex [GO:1903865]
P00582	DPO1_ECOLI	polA resA b3863 JW3835	DNA polymerase I (POL I) (EC 2.7.7.7)	Escherichia coli (strain K12)	928		3D-structure;Direct protein sequencing;DNA damage;DNA repair;DNA replication;DNA-binding;DNA-directed DNA polymerase;Exonuclease;Hydrolase;Nuclease;Nucleotidyltransferase;Reference proteome;Transferase	base-excision repair [GO:0006284]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; DNA-templated DNA replication [GO:0006261]; double-strand break repair [GO:0006302]	cytoplasm [GO:0005737]; cytosol [GO:0005829]
P00634	PPB_ECOLI	phoA b0383 JW0374	Alkaline phosphatase (APase) (EC 3.1.3.1)	Escherichia coli (strain K12)	471	SUBCELLULAR LOCATION: Periplasm.	3D-structure;Direct protein sequencing;Disulfide bond;Hydrolase;Magnesium;Metal-binding;Periplasm;Phosphoprotein;Reference proteome;Signal;Zinc		outer membrane-bounded periplasmic space [GO:0030288]; periplasmic space [GO:0042597]
P00722	BGAL_ECOLI	lacZ b0344 JW0335	Beta-galactosidase (Beta-gal) (EC 3.2.1.23) (Lactase)	Escherichia coli (strain K12)	1024		3D-structure;Direct protein sequencing;Glycosidase;Hydrolase;Magnesium;Manganese;Metal-binding;Reference proteome;Sodium	lactose catabolic process [GO:0005990]	beta-galactosidase complex [GO:0009341]
P00803	LEP_ECOLI	lepB b2568 JW2552	Signal peptidase I (SPase I) (EC 3.4.21.89) (Leader peptidase I)	Escherichia coli (strain K12)	324	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:21778229}; Multi-pass membrane protein {ECO:0000269|PubMed:21778229}.	3D-structure;Cell inner membrane;Cell membrane;Disulfide bond;Hydrolase;Membrane;Protease;Reference proteome;Transmembrane;Transmembrane helix	protein processing [GO:0016485]; proteolysis [GO:0006508]; signal peptide processing [GO:0006465]	plasma membrane [GO:0005886]
P00804	LSPA_ECOLI	lspA lsp b0027 JW0025	Lipoprotein signal peptidase (EC 3.4.23.36) (Prolipoprotein signal peptidase) (Signal peptidase II) (SPase II)	Escherichia coli (strain K12)	164	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_00161, ECO:0000269|PubMed:15919996, ECO:0000269|PubMed:1894646, ECO:0000269|PubMed:6368552}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_00161, ECO:0000269|PubMed:1894646, ECO:0000269|PubMed:6368552}.	Aspartyl protease;Cell inner membrane;Cell membrane;Hydrolase;Membrane;Protease;Reference proteome;Transmembrane;Transmembrane helix	signal peptide processing [GO:0006465]	plasma membrane [GO:0005886]
P00805	ASPG2_ECOLI	ansB b2957 JW2924	L-asparaginase 2 (EC 3.5.1.1) (L-asparaginase II) (L-ASNase II) (L-asparagine amidohydrolase II) (Colaspase)	Escherichia coli (strain K12)	348	SUBCELLULAR LOCATION: Periplasm.	3D-structure;Direct protein sequencing;Disulfide bond;Hydrolase;Periplasm;Pharmaceutical;Reference proteome;Signal	L-asparagine catabolic process [GO:0006530]; protein homotetramerization [GO:0051289]	outer membrane-bounded periplasmic space [GO:0030288]; periplasmic space [GO:0042597]; protein-containing complex [GO:0032991]
P00811	AMPC_ECOLI	ampC ampA b4150 JW4111	Beta-lactamase (EC 3.5.2.6) (Cephalosporinase) (CSase)	Escherichia coli (strain K12)	377	SUBCELLULAR LOCATION: Periplasm {ECO:0000303|PubMed:6795623}.	3D-structure;Antibiotic resistance;Direct protein sequencing;Hydrolase;Periplasm;Reference proteome;Signal	antibiotic catabolic process [GO:0017001]; response to antibiotic [GO:0046677]	outer membrane-bounded periplasmic space [GO:0030288]
P00861	DCDA_ECOLI	lysA b2838 JW2806	Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20)	Escherichia coli (strain K12)	420		3D-structure;Amino-acid biosynthesis;Decarboxylase;Lyase;Lysine biosynthesis;Pyridoxal phosphate;Reference proteome	lysine biosynthetic process via diaminopimelate [GO:0009089]	
P00864	CAPP_ECOLI	ppc glu b3956 JW3928	Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)	Escherichia coli (strain K12)	883		3D-structure;Allosteric enzyme;Carbon dioxide fixation;Lyase;Magnesium;Reference proteome	carbon fixation [GO:0015977]; gluconeogenesis [GO:0006094]; oxaloacetate metabolic process [GO:0006107]; protein homotetramerization [GO:0051289]; tricarboxylic acid cycle [GO:0006099]	cytosol [GO:0005829]
P00888	AROF_ECOLI	aroF b2601 JW2582	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	Escherichia coli (strain K12)	356	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|PROSITE-ProRule:PRU01406}.	3D-structure;Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Cytoplasm;Direct protein sequencing;Reference proteome;Transferase	amino acid biosynthetic process [GO:0008652]; aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]	cytoplasm [GO:0005737]
P00893	ILVI_ECOLI	ilvI b0077 JW0076	Acetolactate synthase isozyme 3 large subunit (EC 2.2.1.6) (AHAS-III) (ALS-III) (Acetohydroxy-acid synthase III large subunit)	Escherichia coli (strain K12)	574		Amino-acid biosynthesis;Branched-chain amino acid biosynthesis;Direct protein sequencing;FAD;Flavoprotein;Magnesium;Metal-binding;Reference proteome;Thiamine pyrophosphate;Transferase	branched-chain amino acid biosynthetic process [GO:0009082]; isoleucine biosynthetic process [GO:0009097]; L-valine biosynthetic process [GO:0009099]	acetolactate synthase complex [GO:0005948]; cytosol [GO:0005829]
P00894	ILVH_ECOLI	ilvH brnP b0078 JW0077	Acetolactate synthase isozyme 3 small subunit (EC 2.2.1.6) (ALS-III) (Acetohydroxy-acid synthase III small subunit) (AHAS-III)	Escherichia coli (strain K12)	163		3D-structure;Amino-acid biosynthesis;Branched-chain amino acid biosynthesis;Reference proteome;Transferase	branched-chain amino acid biosynthetic process [GO:0009082]; isoleucine biosynthetic process [GO:0009097]; L-valine biosynthetic process [GO:0009099]	acetolactate synthase complex [GO:0005948]; cytosol [GO:0005829]
P00903	PABA_ECOLI	pabA b3360 JW3323	Aminodeoxychorismate synthase component 2 (ADC synthase) (ADCS) (EC 2.6.1.85) (4-amino-4-deoxychorismate synthase component 2) (Aminodeoxychorismate synthase, glutamine amidotransferase component)	Escherichia coli (strain K12)	187		3D-structure;Folate biosynthesis;Glutamine amidotransferase;Reference proteome;Transferase	4-aminobenzoate biosynthetic process [GO:0008153]; folic acid biosynthetic process [GO:0046656]; L-tryptophan biosynthetic process [GO:0000162]; tetrahydrofolate biosynthetic process [GO:0046654]	aminodeoxychorismate synthase complex [GO:0009356]
P00904	TRPGD_ECOLI	trpGD trpD b1263 JW1255	Bifunctional protein TrpGD [Includes: Anthranilate synthase component 2 (AS) (ASII) (EC 4.1.3.27) (Anthranilate synthase, glutamine amidotransferase component); Anthranilate phosphoribosyltransferase (EC 2.4.2.18)]	Escherichia coli (strain K12)	531		Allosteric enzyme;Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Direct protein sequencing;Glutamine amidotransferase;Glycosyltransferase;Lyase;Multifunctional enzyme;Reference proteome;Transferase;Tryptophan biosynthesis	L-tryptophan biosynthetic process [GO:0000162]; phenazine biosynthetic process [GO:0002047]	anthranilate synthase complex [GO:0005950]
P00914	PHR_ECOLI	phrB phr b0708 JW0698	Deoxyribodipyrimidine photo-lyase (EC 4.1.99.3) (DNA photolyase) (Photoreactivating enzyme)	Escherichia coli (strain K12)	472		3D-structure;Chromophore;DNA damage;DNA repair;DNA-binding;FAD;Flavoprotein;Lyase;Nucleotide-binding;Reference proteome	photoreactive repair [GO:0000719]; phototransduction, visible light [GO:0007603]; response to light stimulus [GO:0009416]	
P00926	SDHD_ECOLI	dsdA b2366 JW2363	D-serine dehydratase (EC 4.3.1.18) (D-serine deaminase) (DSD)	Escherichia coli (strain K12)	442		3D-structure;Direct protein sequencing;Lyase;Pyridoxal phosphate;Reference proteome	D-serine catabolic process [GO:0036088]; D-serine metabolic process [GO:0070178]; detoxification of nitrogen compound [GO:0051410]; DNA damage response [GO:0006974]	cytoplasm [GO:0005737]; cytosol [GO:0005829]
P00935	METB_ECOLI	metB b3939 JW3910	Cystathionine gamma-synthase (CGS) (EC 2.5.1.48) (O-succinylhomoserine (thiol)-lyase)	Escherichia coli (strain K12)	386	SUBCELLULAR LOCATION: Cytoplasm.	3D-structure;Amino-acid biosynthesis;Cytoplasm;Direct protein sequencing;Methionine biosynthesis;Pyridoxal phosphate;Reference proteome;Transferase	cysteine biosynthetic process via cystathionine [GO:0019343]; methionine biosynthetic process [GO:0009086]; transsulfuration [GO:0019346]	cytoplasm [GO:0005737]
P00936	CYAA_ECOLI	cyaA cya b3806 JW3778	Adenylate cyclase (EC 4.6.1.1) (ATP pyrophosphate-lyase) (Adenylyl cyclase)	Escherichia coli (strain K12)	848	SUBCELLULAR LOCATION: Cytoplasm.	ATP-binding;cAMP biosynthesis;Cytoplasm;Lyase;Nucleotide-binding;Phosphoprotein;Reference proteome	cAMP biosynthetic process [GO:0006171]	cytoplasm [GO:0005737]
P00946	MANA_ECOLI	manA pmi b1613 JW1605	Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI)	Escherichia coli (strain K12)	391	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	Acetylation;Cytoplasm;Isomerase;Metal-binding;Reference proteome;Zinc	colanic acid biosynthetic process [GO:0009242]; GDP-mannose biosynthetic process [GO:0009298]; mannose catabolic process [GO:0019309]	cytosol [GO:0005829]
P00956	SYI_ECOLI	ileS ilvS b0026 JW0024	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	Escherichia coli (strain K12)	938	SUBCELLULAR LOCATION: Cytoplasm.	Acetylation;Aminoacyl-tRNA synthetase;Antibiotic resistance;ATP-binding;Cytoplasm;Direct protein sequencing;Ligase;Metal-binding;Nucleotide-binding;Protein biosynthesis;Reference proteome;Zinc	isoleucyl-tRNA aminoacylation [GO:0006428]; response to antibiotic [GO:0046677]	cytosol [GO:0005829]
P00957	SYA_ECOLI	alaS lovB b2697 JW2667	Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Protein lactyltransferase) (EC 6.-.-.-)	Escherichia coli (strain K12)	876	SUBCELLULAR LOCATION: Cytoplasm.	3D-structure;Acetylation;Aminoacyl-tRNA synthetase;ATP-binding;Cytoplasm;Direct protein sequencing;Ligase;Metal-binding;Nucleotide-binding;Protein biosynthesis;Reference proteome;RNA-binding;tRNA-binding;Zinc	alanyl-tRNA aminoacylation [GO:0006419]; negative regulation of DNA-templated transcription [GO:0045892]	cytosol [GO:0005829]; membrane [GO:0016020]
P00959	SYM_ECOLI	metG b2114 JW2101	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl transfer RNA synthetase) (Methionyl-tRNA synthetase) (MTS) (MetRS)	Escherichia coli (strain K12)	677	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	3D-structure;Aminoacyl-tRNA synthetase;ATP-binding;Cytoplasm;Direct protein sequencing;Ligase;Metal-binding;Nucleotide-binding;Protein biosynthesis;Reference proteome;RNA-binding;tRNA-binding;Zinc	cellular response to antibiotic [GO:0071236]; methionyl-tRNA aminoacylation [GO:0006431]	cytosol [GO:0005829]; membrane [GO:0016020]
P00962	SYQ_ECOLI	glnS b0680 JW0666	Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS)	Escherichia coli (strain K12)	554	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00126}.	3D-structure;Aminoacyl-tRNA synthetase;ATP-binding;Cytoplasm;Direct protein sequencing;Ligase;Nucleotide-binding;Protein biosynthesis;Reference proteome	glutaminyl-tRNA aminoacylation [GO:0006425]; glutamyl-tRNA aminoacylation [GO:0006424]	cytosol [GO:0005829]
P00963	ASNA_ECOLI	asnA b3744 JW3722	Aspartate--ammonia ligase (EC 6.3.1.1) (Asparagine synthetase A)	Escherichia coli (strain K12)	330	SUBCELLULAR LOCATION: Cytoplasm.	3D-structure;Amino-acid biosynthesis;Asparagine biosynthesis;ATP-binding;Cytoplasm;Direct protein sequencing;Ligase;Nucleotide-binding;Reference proteome	asparagine biosynthetic process [GO:0006529]; DNA damage response [GO:0006974]; L-asparagine biosynthetic process [GO:0070981]	cytosol [GO:0005829]
P00968	CARB_ECOLI	carB pyrA b0033 JW0031	Carbamoyl phosphate synthase large chain (EC 6.3.4.16) (EC 6.3.5.5) (Carbamoyl phosphate synthetase ammonia chain)	Escherichia coli (strain K12)	1073		3D-structure;Amino-acid biosynthesis;Arginine biosynthesis;ATP-binding;Direct protein sequencing;Ligase;Magnesium;Manganese;Metal-binding;Nucleotide-binding;Pyrimidine biosynthesis;Reference proteome;Repeat	'de novo' UMP biosynthetic process [GO:0044205]; amino acid biosynthetic process [GO:0008652]; glutamine metabolic process [GO:0006541]; L-arginine biosynthetic process [GO:0006526]; pyrimidine nucleobase biosynthetic process [GO:0019856]	carbamoyl-phosphate synthase complex [GO:0005951]; cytoplasm [GO:0005737]; cytosol [GO:0005829]
P02358	RS6_ECOLI	rpsF b4200 JW4158	Small ribosomal subunit protein bS6 (30S ribosomal protein S6) [Cleaved into: Small ribosomal subunit protein bS6, fully modified isoform; Small ribosomal subunit protein bS6, non-modified isoform]	Escherichia coli (strain K12)	135		3D-structure;Acetylation;Direct protein sequencing;Reference proteome;Ribonucleoprotein;Ribosomal protein;RNA-binding;rRNA-binding	cytoplasmic translation [GO:0002181]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]
P02359	RS7_ECOLI	rpsG b3341 JW3303	Small ribosomal subunit protein uS7 (30S ribosomal protein S7)	Escherichia coli (strain K12)	179		3D-structure;Direct protein sequencing;Reference proteome;Ribonucleoprotein;Ribosomal protein;RNA-binding;rRNA-binding;tRNA-binding	cytoplasmic translation [GO:0002181]; negative regulation of translation [GO:0017148]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; membrane [GO:0016020]; ribosome [GO:0005840]
P02916	MALF_ECOLI	malF b4033 JW3993	Maltose/maltodextrin transport system permease protein MalF	Escherichia coli (strain K12)	514	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:18456666}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441, ECO:0000269|PubMed:18456666}; Periplasmic side {ECO:0000269|PubMed:18456666}. Note=A substantial portion of it protrudes into the periplasmic space; inserts in an SRP- and Sec-dependent, YidC-independent fashion into the membrane.	3D-structure;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Sugar transport;Transmembrane;Transmembrane helix;Transport	DNA damage response [GO:0006974]; maltodextrin transmembrane transport [GO:0042956]; maltose transport [GO:0015768]; negative regulation of maltose transport [GO:1902344]; negative regulation of transmembrane transport [GO:0034763]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; enzyme IIA-maltose transporter complex [GO:1990154]; maltose transport complex [GO:1990060]; membrane [GO:0016020]; plasma membrane [GO:0005886]
P02918	PBPA_ECOLI	mrcA ponA b3396 JW3359	Penicillin-binding protein 1A (PBP-1a) (PBP1a) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.99.28) (Peptidoglycan TGase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	Escherichia coli (strain K12)	850	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:7006606}; Single-pass type II membrane protein {ECO:0000255}.	Antibiotic resistance;Carboxypeptidase;Cell inner membrane;Cell membrane;Cell shape;Cell wall biogenesis/degradation;Direct protein sequencing;Glycosyltransferase;Hydrolase;Membrane;Multifunctional enzyme;Peptidoglycan synthesis;Protease;Reference proteome;Signal-anchor;Transferase;Transmembrane;Transmembrane helix	cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360]; response to antibiotic [GO:0046677]	outer membrane-bounded periplasmic space [GO:0030288]; plasma membrane [GO:0005886]
P02919	PBPB_ECOLI	mrcB pbpF ponB b0149 JW0145	Penicillin-binding protein 1B (PBP-1b) (PBP1b) (Murein polymerase) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.99.28) (Peptidoglycan TGase) (Peptidoglycan glycosyltransferase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	Escherichia coli (strain K12)	844	SUBCELLULAR LOCATION: Cell inner membrane; Single-pass type II membrane protein.	3D-structure;Alternative initiation;Antibiotic resistance;Carboxypeptidase;Cell inner membrane;Cell membrane;Cell shape;Cell wall biogenesis/degradation;Direct protein sequencing;Glycosyltransferase;Hydrolase;Membrane;Multifunctional enzyme;Peptidoglycan synthesis;Protease;Reference proteome;Signal-anchor;Transferase;Transmembrane;Transmembrane helix	cell wall repair [GO:0071433]; peptidoglycan biosynthetic process [GO:0009252]; positive regulation of bipolar cell growth [GO:0051518]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360]; response to antibiotic [GO:0046677]	membrane [GO:0016020]; outer membrane-bounded periplasmic space [GO:0030288]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
