accession	status	total_energy	backbone_hbond	sidechain_hbond	vdw_clashes	electrostatics	solvation_polar	solvation_hydrophobic	entropy_mainchain	entropy_sidechain	error
A0A1B0GTH9	success	8.55									
A0A1B0GTI1	success	192.05									
A0A1B0GTI8	success	-23.95									
A0A1B0GTJ6	success	322.41									
A0A1B0GTK4	success	76.9									
A0A1B0GTK5	success	83.76									
A0A1B0GTL2	success	50.53									
A0A1B0GTQ1	success	-51.09									
A0A1B0GTQ4	success	14.3									
A0A1B0GTR0	success	119.05									
A0A1B0GTR3	success	90.68									
A0A1B0GTR4	success	119.7									
A0A1B0GTS1	success	319.79									
A0A1B0GTU1	success	1493.85									RepairPDB_failed_using_unrepaired
A0A1B0GTU2	success	22.88									
A0A1B0GTW7	success	362.0									RepairPDB_failed_using_unrepaired
A0A1B0GTY4	success	98.72									
A0A1B0GTZ2	success	273.96									RepairPDB_failed_using_unrepaired
A0A1B0GU29	success	177.2									
A0A1B0GU33	success	89.03									
A0A1B0GU71	success	32.79									
A0A1B0GUA5	success	69.35									
A0A1B0GUA6	success	242.61									
A0A1B0GUA7	success	58.84									
A0A1B0GUA9	success	293.84									
A0A1B0GUC4	success	45.82									
A0A1B0GUI7	success	46.21									
A0A1B0GUJ8	success	118.74									
A0A1B0GUQ0	success	80.89									
A0A1B0GUS0	success	259.25									
A0A1B0GUS4	success	-40.45									
A0A1B0GUT2	success	136.74									
A0A1B0GUU1	success	169.76									RepairPDB_failed_using_unrepaired
A0A1B0GUV1	success	69.47									
A0A1B0GUV7	success	160.84									
A0A1B0GUV8	success	2.52									
A0A1B0GUW6	success	3180.04									RepairPDB_failed_using_unrepaired
A0A1B0GUW7	success	3.35									
A0A1B0GUX0	success	109.2									
A0A1B0GUY1	success	524.28									
A0A1B0GUZ9	success	11.09									
A0A1B0GV03	success	460.39									RepairPDB_failed_using_unrepaired
A0A1B0GV22	success	81.5									
A0A1B0GV85	success	552.18									
A0A1B0GV90	success	23.95									
A0A1B0GV96	success	69.66									
A0A1B0GVB3	success	241.62									
A0A1B0GVD1	success	10.69									
A0A1B0GVG4	success	77.92									
A0A1B0GVG6	success	155.94									
A0A1B0GVH4	success	124.9									
A0A1B0GVH6	success	397.47									
A0A1B0GVH7	success	424.63									RepairPDB_failed_using_unrepaired
A0A1B0GVK7	success	23.84									
A0A1B0GVM5	success	40.41									
A0A1B0GVM6	success	103.31									
A0A1B0GVN3	success	250.24									
A0A1B0GVQ0	success	76.63									
A0A1B0GVQ3	success	141.62									
A0A1B0GVR7	success	48.26									
A0A1B0GVS7	success	158.32									
A0A1B0GVT2	success	100.72									
A0A1B0GVV1	success	56.85									
A0A1B0GVX0	success	47.03									
A0A1B0GVY2	success	167.09									
A0A1B0GVY4	success	36.01									
A0A1B0GVY7	success	648.0									RepairPDB_failed_using_unrepaired
A0A1B0GVZ2	success	23.67									
A0A1B0GVZ6	success	161.28									
A0A1B0GVZ9	success	-24.98									
A0A1B0GW15	success	0.2									
A0A1B0GW35	success	-8.6									
A0A1B0GW54	success	16.1									
A0A1B0GW64	success	139.99									
A0A1B0GWB2	success	320.97									
A0A1B0GWG4	success	75.87									
A0A1B0GWH4	success	229.89									
A0A1B0GWH6	success	-0.83									
A0A1B0GWI6	success	868.2									
A0A1B0GWK0	success	16.5									
A0A1B0GX31	success	30.75									
A0A1B0GX49	success	18.7									
A0A1B0GX51	success	24.7									
A0A1B0GX56	success	7.67									
A0A1B0GX68	success	17.27									
A0A1B0GX78	success	14.74									
A0A1B0GX95	success	50.89									
A0A1B0GXF2	success	19.88									
A0A1W2PNU3	success	323.92									
A0A1W2PP81	success	141.18									
A0A1W2PP97	success	55.37									
A0A1W2PPD8	success	456.05									
A0A1W2PPE2	success	138.91									
A0A1W2PPE3	success	137.32									
A0A1W2PPF3	success	428.62									RepairPDB_failed_using_unrepaired
A0A1W2PPG7	success	81.47									
A0A1W2PPH5	success	140.77									
A0A1W2PPK0	success	523.22									
A0A1W2PPL8	success	147.88									
A0A1W2PPM1	success	511.9									
A0A1W2PPW3	success	151.81									
A0A1W2PQ09	success	132.94									
A0A1W2PQ27	success	-35.84									
A0A1W2PQ64	success	-29.22									
A0A1W2PQ72	success	243.89									
A0A1W2PQ73	success	455.51									
A0A1W2PQC6	success	-32.88									
A0A1W2PQD8	success	-37.54									
A0A1W2PQF6	success	-6.29									
A0A1W2PQJ5	success	-27.16									
A0A1W2PQL4	success	353.88									RepairPDB_failed_using_unrepaired
A0A1W2PQM1	success	80.22									
A0A1W2PQU2	success	-19.89									
A0A1W2PR19	success	-76.3									
A0A1W2PR48	success	228.85									
A0A1W2PR64	success	146.36									
A0A1W2PR75	success	-36.59									
A0A1W2PR82	success	244.18									
A0A1W2PR95	success	146.66									RepairPDB_failed_using_unrepaired
A0A1W2PRE2	success	33.1									
A0A1W2PRG0	success	-76.15									
A0A1W2PRN1	success	132.64									
A0A1W2PRN6	success	141.37									
A0A1W2PRP0	success	195.05									
A0A1W2PRS3	success	-21.19									
A0A1W2PRV1	success	156.41									
A0A1W2PS18	success	80.24									
A0A286YEU6	success	-32.89									
A0A286YEV6	success	149.42									
A0A286YEX9	success	156.54									
A0A286YEY9	success	113.74									
A0A286YF01	success	144.06									
A0A286YF18	success	140.54									
A0A286YF46	success	106.17									
A0A286YF58	success	342.62									
A0A286YF60	success	137.8									
A0A286YF77	success	126.47									
A0A286YFB4	success	174.4									
A0A286YFG1	success	140.88									
A0A286YFK9	success	9.46									
A0A2R8Y2Y2	success	109.89									
A0A2R8Y4L2	success	238.41									
A0A2R8Y4L6	success	-62.01									
A0A2R8Y4M2	success	-7.08									
A0A2R8Y4M4	success	95.89									
A0A2R8Y4Y8	success	75.87									
A0A2R8Y556	success	4.88									
A0A2R8Y619	success	57.18									
A0A2R8Y747	success	149.59									
A0A2R8Y7D0	success	10.37									
A0A2R8Y7Y5	success	337.99									
A0A2R8YCJ5	success	42.68									
A0A2R8YCY7	success	-7.77									
A0A2R8YD15	success	-0.45									
A0A2R8YE69	success	654.13									RepairPDB_failed_using_unrepaired
A0A2R8YED5	success	-88.93									
A0A2R8YEH3	success	-100.12									
A0A2R8YFL7	success	67.95									
A0A2R8YFM6	success	132.24									
A0A2R8YFR7	success	2987.21									RepairPDB_failed_using_unrepaired
A0A2U3TZM8	success	329.43									
A0A2Z4LIS9	success	494.17									
A0A376A8Z9	success	41.4									
A0A385XJ53	success	18.81									
A0A385XJE6	success	-60.64									
A0A385XJK5	success	36.94									
A0A385XJL2	success	37.53									
A0A385XJL4	success	1.67									
A0A3B3IRQ3	success	192.95									
A0A3B3IRS2	success	129.02									
A0A3B3IRV3	success	-30.45									
A0A3B3IS91	success	261.04									
A0A3B3IT33	success	166.06									RepairPDB_failed_using_unrepaired
A0A3B3IT45	success	-86.8									
A0A3B3IT52	success	95.1									
A0A3B3IU46	success	137.24									
A0A3B3IU63	success	73.82									
A0A3G1DIU6	success	22.99									
A0A3G1DJK2	success	6.02									
A0A3G1DJL1	success	30.48									
A0A3G1DJL7	success	25.98									
A0A3G1DJN1	success	17.36									
A0A3G1DJQ2	success	11.35									
A0A411D538	success	46.31									
A0A455ZAR2	success	86.12									
A0A494BZU2	success	4.05									
A0A494BZU4	success	-31.78									
A0A494C030	success	333.7									
A0A494C071	success	2279.31									RepairPDB_failed_using_unrepaired
A0A494C086	success	370.73									RepairPDB_failed_using_unrepaired
A0A494C0I6	success	-15.56									
A0A494C0N9	success	131.49									
A0A494C0Y3	success	159.94									
A0A494C0Z2	success	76.84									
A0A494C103	success	11.97									
A0A494C176	success	12.65									
A0A494C191	success	138.33									
A0A494C1I1	success	113.48									
A0A494C1R9	success	96.25									
A0A499FJF3	success	-0.77									
A0A539	success	19.26									
A0A576	success	23.0									
A0A577	success	18.38									
A0A578	success	15.71									
A0A584	success	21.68									
A0A589	success	15.46									
A0A590UJ96	success	3720.81									
A0A590UK24	success	96.39									
A0A590UK83	success	0.39									
A0A597	success	9.58									
A0A599	success	7.99									
A0A5A2	success	17.39									
A0A5A6	success	29.37									
A0A5B0	success	15.62									
A0A5B6	success	26.32									
A0A5B7	success	7.0									
A0A5B9	success	-20.61									
A0A5F9Z9Y6	success	-8.68									
A0A5F9ZGZ6	success	1234.16									
A0A5F9ZH02	success	14.78									
A0A5F9ZH88	success	-11.53									
A0A5F9ZHS0	success	51.7									
A0A5F9ZHS7	success	324.8									
A0A5K1VDZ0	success	115.33									
A0A669KAW2	success	2.13									
A0A669KB60	success	25.87									
A0A6I8PU40	success	95.96									
A0A6Q8PFC9	success	51.01									
A0A6Q8PFD8	success	47.29									
A0A6Q8PFQ6	success	11.07									
A0A6Q8PGL7	success	59.94									
A0A6Q8PGS0	success	70.95									
A0A6Q8PGZ7	success	1.11									
A0A6Q8PH20	success	1260.14									RepairPDB_failed_using_unrepaired
A0A6Q8PHA8	success	4.61									
A0A6Q8PHR7	success	40.2									
A0A6Q8PHS2	success	85.43									
A0A7I2V2S6	success	24.38									
A0A7I2V3R4	success	248.39									
A0A7I2V4U8	success	10.74									
A0A7I2V6D3	success	6.94									
A0A7L8Y648	success	45.92									
A0A7P0TAN4	success	675.95									RepairPDB_failed_using_unrepaired
A0A7P0TBJ1	success	211.08									
A0A804HI29	success	27.18									
A0A804HIB5	success	5.29									
A0A804HID5	success	18.73									
A0A804HJP8	success	18.53									
A0A804HLA8	success	30.02									
A0A8I5KQE6	success	61.52									
A0A8I5KTY6	success	119.22									
A0A8I5KW96	success	-33.0									
A0A8I5KXM2	success	91.79									
A0A8I5KY20	success	80.61									
A0A8I5KYS1	success	204.98									
A0A8I5KYW3	success	6.2									
A0A8I5QJS6	success	16.16									
A0A8I5QJV6	success	23.43									
A0A8I5QKQ9	success	181.69									
A0A8I5QKY2	success	16.99									
A0A8Q3SIZ7	success	4.25									
A0A8Q3WKH5	success	129.47									RepairPDB_failed_using_unrepaired
A0A8Q3WLD3	success	23.73									
A0A8V8TII8	success	26.54									
A0A8V8TLL3	success	429.35									
A0A8V8TLY5	success	73.25									
A0A8V8TMC4	success	38.41									
A0A8V8TNB9	success	20.49									
A0A8V8TND5	success	15.59									
A0A8V8TNH8	success	644.86									
A0A8V8TPC4	success	8.54									
A0A8V8TPE2	success	719.64									
A0A8V8TPP0	success	55.54									
A0A8V8TPW1	success	244.27									
A0A8V8TPW5	success	11.13									
A0A994J3T1	success	227.22									
A0A994J5G1	success	105.26									
A0A9L9P0W8	success	8.41									
A0A9L9PXP3	success	16.05									
A0A9L9PXS7	success	36.83									
A0A9L9PY30	success	169.09									
A0A9L9PY38	success	63.55									
A0A9L9PY65	success	20.97									
A0A9L9PY68	success	10.18									
A0AA34QVV6	success	18.44									
A0AA34QW00	success	-4.05									
A0AAG2SUK6	success	18.44									
A0AAG2SUX2	success	1047.11									RepairPDB_failed_using_unrepaired
A0AAG2SVG9	success	441.73									RepairPDB_failed_using_unrepaired
A0AAG2SVT6	success	-7.88									
A0AAG2SWI5	success	509.9									RepairPDB_failed_using_unrepaired
A0AAG2SWP8	success	48.64									
A0AAG2SWV4	success	-51.91									
A0AAG2SXN7	success	139.37									RepairPDB_failed_using_unrepaired
A0AAG2SXZ4	success	-21.36									
A0AAG2SYH1	success	572.56									
A0AAG2T1P6	success	643.11									
A0AAG2T1W8	success	25.34									
A0AAG2T2C3	success	101.87									
A0AAG2TCD0	success	199.37									RepairPDB_failed_using_unrepaired
A0AAG2TCG9	success	-52.79									
A0AAG2TG10	success	176.69									
A0AAG2TJA1	success	766.94									
A0AAG2TTM8	success	89.89									
A0AAG2TTP8	success	26.81									
A0AAG2TTZ7	success	611.67									RepairPDB_failed_using_unrepaired
A0AAG2TU05	success	-6.85									
A0AAG2TU48	success	21.29									
A0AAG2TU59	success	147.57									
A0AAG2TU67	success	50.21									
A0AAG2TU83	success	32.96									
A0AAG2TU99	success	281.72									
A0AAG2TUC4	success	152.21									
A0AAG2TUN3	success	199.3									RepairPDB_failed_using_unrepaired
A0AAG2TUP4	success	10.03									
A0AAG2TUQ4	success	88.42									
A0AAG2TUQ9	success	141.41									
A0AAG2TUS7	success	35.74									
A0AAG2TUV1	success	84.58									
A0AAG2TV02	success	10.69									
A0AAG2TV42	success	21.97									
A0AAG2TV48	success	149.32									
A0AAG2TV71	success	284.39									
A0AAG2TVC3	success	228.57									
A0AAG2TVE0	success	16.27									
A0AAG2TVH3	success	97.0									
A0AAG2TVH8	success	99.34									
A0AAG2TVJ1	success	360.01									RepairPDB_failed_using_unrepaired
A0AAG2TVR5	success	686.54									RepairPDB_failed_using_unrepaired
A0AAG2TVR6	success	-0.8									
A0AAG2TWA4	success	118.81									
A0AAG2TWI1	success	85.09									
A0AAG2TWJ7	success	96.61									
A0AAG2TWV3	success	184.77									
A0AAG2UUX9	success	346.02									RepairPDB_failed_using_unrepaired
A0AAG2UWQ9	success	561.68									RepairPDB_failed_using_unrepaired
A0AAG2UXD8	success	2794.8									RepairPDB_failed_using_unrepaired
A0AAG2UXJ6	success	942.61									RepairPDB_failed_using_unrepaired
A0AAG2UXK7	success	2570.01									RepairPDB_failed_using_unrepaired
A0AAG2UXS2	success	2606.26									RepairPDB_failed_using_unrepaired
A0AAG2UXZ5	success	2176.49									RepairPDB_failed_using_unrepaired
A0AAG2UYG2	success	617.44									
A0AAQ5BGE0	success	435.82									
A0AAQ5BGK1	success	21.85									
A0AAQ5BGL7	success	24.67									
A0AAQ5BH39	success	24.56									
A0AAQ5BH44	success	13.66									
A0AAQ5BHU3	success	605.65									RepairPDB_failed_using_unrepaired
A0AAQ5BHX6	success	19.49									
A0AAQ5BIC9	success	17.52									
A0AAQ5BID4	success	220.66									
A0AAQ5BIF5	success	353.91									
A0AAQ5BIG5	success	714.34									RepairPDB_failed_using_unrepaired
A0AAQ5BII1	success	-3.23									
A0ABB0MV19	success	344.76									RepairPDB_failed_using_unrepaired
A0ABB0MV24	success	78.58									
A0ABB0MV27	success	37.18									
A0ABB0MV46	success	78.37									
A0ABB0MV48	success	-1.44									
A0ABB0MV50	success	42.63									
A0ABB0MV52	success	597.3									RepairPDB_failed_using_unrepaired
A0ABB0MVD7	success	3143.33									RepairPDB_failed_using_unrepaired
A0ABB0MVE2	success	1678.0									
A0ABB0MVE3	success	3140.05									RepairPDB_failed_using_unrepaired
A0ABB0MVE8	success	2150.07									
A0ABB0MVE9	success	3870.03									RepairPDB_failed_using_unrepaired
A0ABB0MVF2	success	3132.25									RepairPDB_failed_using_unrepaired
A0ABB0MVF5	success	2853.93									RepairPDB_failed_using_unrepaired
A0ABB0MVG0	success	2835.34									RepairPDB_failed_using_unrepaired
A0ABB0MVG2	success	2877.73									RepairPDB_failed_using_unrepaired
A0AUZ9	success	1660.28									RepairPDB_failed_using_unrepaired
A0AV02	success	490.45									RepairPDB_failed_using_unrepaired
A0AV96	success	499.4									
A0AVF1	success	65.82									RepairPDB_failed_using_unrepaired
A0AVG0	success	179.51									
A0AVI2	success	1040.0									RepairPDB_failed_using_unrepaired
A0AVI4	success	-21.34									
A0AVK6	success	1435.89									RepairPDB_failed_using_unrepaired
A0AVT1	success	184.74									RepairPDB_failed_using_unrepaired
A0FGR8	success	595.3									RepairPDB_failed_using_unrepaired
A0FGR9	success	586.24									RepairPDB_failed_using_unrepaired
A0JD32	success	21.18									
A0JD36	success	16.95									
A0JD37	success	4.19									
A0JLT2	success	271.48									
A0JNW5	success	1421.52									RepairPDB_failed_using_unrepaired
A0JP26	success	503.53									RepairPDB_failed_using_unrepaired
A0M8Q6	success	-12.02									
A0MZ66	success	689.25									RepairPDB_failed_using_unrepaired
A0N4X2	success	12.44									
A0N4X5	success	12.24									
A0N4Z3	success	2.69									
A0N4Z7	success	13.57									
A0N4Z8	success	11.31									
A0PG75	success	93.0									
A0PJE2	success	-95.89									
A0PJK1	success	-147.72									
A0PJW6	success	68.74									
A0PJW8	success	84.78									
A0PJX0	success	-21.82									
A0PJX2	success	31.99									
A0PJX4	success	222.59									
A0PJX8	success	-15.87									
A0PJY2	success	602.54									RepairPDB_failed_using_unrepaired
A0PJZ0	success	12.88									
A0PJZ3	success	136.88									RepairPDB_failed_using_unrepaired
A0PK00	success	26.9									RepairPDB_failed_using_unrepaired
A0PK05	success	299.69									
A0PK11	success	-28.15									
A0ZSE6	success	58.9									
A1A4F0	success	44.95									
A1A4G5	success	180.47									
A1A4S6	success	458.98									RepairPDB_failed_using_unrepaired
A1A4V9	success	124.67									
A1A4Y4	success	17.22									
A1A519	success	395.66									
A1A580	success	85.99									
A1A5B4	success	233.31									RepairPDB_failed_using_unrepaired
A1A5C7	success	396.12									RepairPDB_failed_using_unrepaired
A1A5D9	success	323.5									RepairPDB_failed_using_unrepaired
A1E959	success	483.45									
A1IGU5	success	165.19									RepairPDB_failed_using_unrepaired
A1KXE4	success	240.57									
A1KZ92	success	567.06									RepairPDB_failed_using_unrepaired
A1L020	success	522.74									
A1L0T0	success	78.34									RepairPDB_failed_using_unrepaired
A1L157	success	-12.7									
A1L162	success	145.58									
A1L167	success	-6.11									
A1L168	success	58.15									
A1L170	success	422.35									
A1L188	success	5.17									
A1L190	success	-12.18									
A1L1A6	success	75.53									
A1L390	success	1818.41									RepairPDB_failed_using_unrepaired
A1L3X0	success	-44.32									
A1L3X4	success	35.04									
A1L429	success	153.27									
A1L443	success	1069.81									RepairPDB_failed_using_unrepaired
A1L453	success	87.55									
