accession	ft_transit	ft_signal	cc_subcellular_location
O95563			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:22628558, ECO:0000269|PubMed:26253029, ECO:0000269|PubMed:29472561}; Multi-pass membrane protein {ECO:0000269|PubMed:40044865, ECO:0000269|PubMed:40101766}.
O95571	"TRANSIT 1..7; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:19136963"""		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12398897}. Nucleus {ECO:0000269|PubMed:12398897}. Mitochondrion matrix {ECO:0000269|PubMed:14732903}.
O95721			SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23217709}. Golgi apparatus membrane {ECO:0000250|UniProtKB:Q9Z2P6}; Peripheral membrane protein {ECO:0000305}. Cytoplasmic vesicle, autophagosome membrane {ECO:0000269|PubMed:25686604}; Peripheral membrane protein {ECO:0000305}. Cell projection, cilium membrane {ECO:0000269|PubMed:25686250}; Peripheral membrane protein {ECO:0000305}. Note=Appears to be mostly membrane-bound, probably via interaction with syntaxins, but a significant portion is cytoplasmic. Localizes to the ciliary pocket from where the cilium protrudes. {ECO:0000269|PubMed:23217709, ECO:0000269|PubMed:25686250}.
O95822	"TRANSIT 1..39; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10417274}. Mitochondrion matrix {ECO:0000269|PubMed:10417274}. Peroxisome {ECO:0000269|PubMed:10417274}. Peroxisome matrix {ECO:0000250|UniProtKB:Q920F5}. Note=Enzymatically active in all three subcellular compartments. {ECO:0000250|UniProtKB:Q920F5}.
O95831	"TRANSIT 1..54; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:15775970, ECO:0000269|PubMed:16365034, ECO:0007744|PubMed:25944712"""		SUBCELLULAR LOCATION: Mitochondrion intermembrane space {ECO:0000269|PubMed:15775970, ECO:0000269|PubMed:24914854, ECO:0000269|PubMed:26004228}. Mitochondrion inner membrane. Cytoplasm {ECO:0000269|PubMed:15775970, ECO:0000269|PubMed:33168626}. Nucleus {ECO:0000269|PubMed:15775970, ECO:0000269|PubMed:17094969, ECO:0000269|PubMed:33168626}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:17094969}. Note=Proteolytic cleavage during or just after translocation into the mitochondrial intermembrane space (IMS) results in the formation of an inner-membrane-anchored mature form (AIFmit). During apoptosis, further proteolytic processing leads to a mature form, which is confined to the mitochondrial IMS in a soluble form (AIFsol). AIFsol is released to the cytoplasm in response to specific death signals, and translocated to the nucleus, where it induces nuclear apoptosis (PubMed:15775970). Release into the cytoplasm is mediated upon binding to poly-ADP-ribose chains (By similarity). Translocation into the nucleus is promoted by interaction with (auto-poly-ADP-ribosylated) processed form of PARP1 (PubMed:33168626). Colocalizes with EIF3G in the nucleus and perinuclear region (PubMed:17094969). {ECO:0000250|UniProtKB:Q9Z0X1, ECO:0000269|PubMed:15775970, ECO:0000269|PubMed:17094969, ECO:0000269|PubMed:33168626}.; SUBCELLULAR LOCATION: [Isoform 3]: Mitochondrion intermembrane space {ECO:0000269|PubMed:20111043}. Mitochondrion inner membrane {ECO:0000269|PubMed:20111043}. Note=Has a stronger membrane anchorage than isoform 1. {ECO:0000269|PubMed:20111043}.; SUBCELLULAR LOCATION: [Isoform 4]: Mitochondrion {ECO:0000269|PubMed:16644725}. Cytoplasm, cytosol {ECO:0000269|PubMed:16644725}. Note=In pro-apoptotic conditions, is released from mitochondria to cytosol in a calpain/cathepsin-dependent manner. {ECO:0000269|PubMed:16644725}.; SUBCELLULAR LOCATION: [Isoform 5]: Cytoplasm {ECO:0000269|PubMed:16365034}.
O95847			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:10025957}; Multi-pass membrane protein {ECO:0000255}. Note=Localizes to neuronal cell body and processes. Within mitochondrial inner membrane, it is mainly observed in the inner boundary membrane locally separated from F(1)F(0) ATP synthase, which is preferentially localized in cristae. {ECO:0000250|UniProtKB:Q9D6D0}.
O95900	"TRANSIT 1..10; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:27974379, ECO:0000269|PubMed:33023933}. Note=Localizes to mitochondrial RNA granules, platforms for post-transcriptional RNA modification and ribosome assembly. {ECO:0000269|PubMed:27974379, ECO:0000269|PubMed:28082677}.
O96000			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:28040730, ECO:0000305|PubMed:12611891}; Peripheral membrane protein {ECO:0000305}; Matrix side {ECO:0000305}.
O96008			SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000269|PubMed:15644312, ECO:0000269|PubMed:31206022, ECO:0000269|PubMed:40080546}; Multi-pass membrane protein {ECO:0000269|PubMed:40080546}. Note=Associates with the mitochondria-associated ER membrane via interaction with BCAP31. {ECO:0000269|PubMed:31206022}.
O96011			SUBCELLULAR LOCATION: Peroxisome membrane {ECO:0000269|PubMed:10704444, ECO:0000269|PubMed:20826455, ECO:0000269|PubMed:9792670, ECO:0000269|PubMed:9826565}; Single-pass membrane protein {ECO:0000269|PubMed:10704444, ECO:0000269|PubMed:9792670, ECO:0000269|PubMed:9826565}.
P00156			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P00157}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P00157}.
P00367	"TRANSIT 1..53; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:1286669, ECO:0000269|PubMed:429360, ECO:0007744|PubMed:25944712"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:19448744}. Endoplasmic reticulum {ECO:0000269|PubMed:19448744}. Note=Mostly translocates into the mitochondria, only a small amount of the protein localizes to the endoplasmic reticulum. {ECO:0000269|PubMed:19448744}.
P00387			SUBCELLULAR LOCATION: [Isoform 1]: Endoplasmic reticulum membrane {ECO:0000269|PubMed:9639531}; Lipid-anchor {ECO:0000250|UniProtKB:P20070}; Cytoplasmic side {ECO:0000250|UniProtKB:P20070}. Mitochondrion outer membrane {ECO:0000305|PubMed:9639531}; Lipid-anchor {ECO:0000250|UniProtKB:P20070}; Cytoplasmic side {ECO:0000250|UniProtKB:P20070}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000269|PubMed:9639531}.
P00390	"TRANSIT 1..43; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: [Isoform Mitochondrial]: Mitochondrion.; SUBCELLULAR LOCATION: [Isoform Cytoplasmic]: Cytoplasm.
P00395			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:30030519}; Multi-pass membrane protein {ECO:0000269|PubMed:30030519}.
P00403			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:30030519, ECO:0000305|PubMed:35750769}; Multi-pass membrane protein {ECO:0000269|PubMed:30030519}.
P00414			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:30030519}; Multi-pass membrane protein {ECO:0000269|PubMed:30030519}.
P00441			SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19741096}. Nucleus {ECO:0000269|PubMed:22496122}. Note=Predominantly cytoplasmic; the pathogenic variants ALS1 Arg-86 and Ala-94 gradually aggregates and accumulates in mitochondria. {ECO:0000269|PubMed:19741096}.
P00480	"TRANSIT 1..32; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:6372096"""		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:3895227}.
P00505	"TRANSIT 1..29; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:4052435, ECO:0007744|PubMed:25944712"""		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:9537447}. Cell membrane {ECO:0000269|PubMed:9537447}. Note=Exposure to alcohol promotes translocation to the cell membrane. {ECO:0000269|PubMed:9537447}.
P00846			SUBCELLULAR LOCATION: Mitochondrion inner membrane; Multi-pass membrane protein.
P02794			SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:26436293}. Lysosome {ECO:0000269|PubMed:26436293}. Cytoplasmic vesicle, autophagosome {ECO:0000269|PubMed:24695223}.
P03886			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P03887}; Multi-pass membrane protein {ECO:0000255}.
P03891			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P03892}; Multi-pass membrane protein {ECO:0000255}.
P03897			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P03898}; Multi-pass membrane protein {ECO:0000255}.
P03901			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P03902}; Multi-pass membrane protein {ECO:0000255}.
P03905			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P03910}; Multi-pass membrane protein {ECO:0000255}.
P03915			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P03920}; Multi-pass membrane protein {ECO:0000255}.
P03923			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P03924}; Multi-pass membrane protein {ECO:0000255}.
P03928			SUBCELLULAR LOCATION: Mitochondrion membrane; Single-pass membrane protein.
P04040			SUBCELLULAR LOCATION: Peroxisome matrix {ECO:0000269|PubMed:21976670, ECO:0000269|PubMed:8769411}.
P04179	"TRANSIT 1..24; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:6386798, ECO:0000269|PubMed:7498159, ECO:0000269|PubMed:7895732, ECO:0000269|PubMed:9150946"""		SUBCELLULAR LOCATION: Mitochondrion matrix.
P04181	"TRANSIT 1..35; /note=""Mitochondrion; in renal form""; /evidence=""ECO:0000269|PubMed:2507357""; TRANSIT 1..25; /note=""Mitochondrion; in hepatic form"""		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:23076989}.
P05091	"TRANSIT 1..17; /note=""Mitochondrion"""		SUBCELLULAR LOCATION: Mitochondrion matrix.
P05108	"TRANSIT 1..39; /note=""Mitochondrion""; /evidence=""ECO:0000250|UniProtKB:P00189"""		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P14137}; Peripheral membrane protein {ECO:0000305}. Note=Localizes to the matrix side of the mitochondrion inner membrane. {ECO:0000250|UniProtKB:P14137}.
P05141			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P02722}; Multi-pass membrane protein {ECO:0000255}. Membrane {ECO:0000269|PubMed:27641616}; Multi-pass membrane protein {ECO:0000255}. Note=May localize to non-mitochondrial membranes. {ECO:0000269|PubMed:27641616}.
P05165	"TRANSIT 1..52; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:16023992"""		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:10101253, ECO:0000269|PubMed:16023992}.
P05166	"TRANSIT 1..28; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:16023992"""		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000305|PubMed:16023992}.
P05496	"TRANSIT 1..61; /note=""Mitochondrion"""		SUBCELLULAR LOCATION: Mitochondrion membrane; Multi-pass membrane protein.
P06576	"TRANSIT 1..47; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:19892738"""		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:25168243}; Peripheral membrane protein {ECO:0000250|UniProtKB:P00829}; Matrix side {ECO:0000250|UniProtKB:P00829, ECO:0000269|PubMed:25168243}.
P06746			SUBCELLULAR LOCATION: Nucleus. Cytoplasm. Note=Cytoplasmic in normal conditions. Translocates to the nucleus following DNA damage.
P07108			SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000269|PubMed:17953517, ECO:0000269|PubMed:21698759}. Golgi apparatus {ECO:0000269|PubMed:17953517, ECO:0000269|PubMed:21698759}. Note=Golgi localization is dependent on ligand binding (PubMed:17953517). {ECO:0000269|PubMed:17953517}.
P07148			SUBCELLULAR LOCATION: Cytoplasm.
P07195			SUBCELLULAR LOCATION: Cytoplasm. Mitochondrion inner membrane {ECO:0000269|PubMed:27618187}; Peripheral membrane protein {ECO:0000305}.
P07203			SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P11352}. Mitochondrion {ECO:0000250|UniProtKB:P11352}.
P07237		"SIGNAL 1..17; /evidence=""ECO:0000269|PubMed:12665801, ECO:0000269|PubMed:2079031, ECO:0000269|PubMed:9150948, ECO:0000269|Ref.10, ECO:0007744|PubMed:25944712"""	SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000269|PubMed:23475612, ECO:0000269|PubMed:32149426}. Endoplasmic reticulum lumen {ECO:0000269|PubMed:10636893, ECO:0000269|PubMed:23475612}. Melanosome {ECO:0000269|PubMed:12643545, ECO:0000269|PubMed:17081065}. Cell membrane {ECO:0000269|PubMed:21670307}; Peripheral membrane protein {ECO:0000305}. Note=Highly abundant. In some cell types, seems to be also secreted or associated with the plasma membrane, where it undergoes constant shedding and replacement from intracellular sources (Probable). Localizes near CD4-enriched regions on lymphoid cell surfaces (PubMed:11181151). Identified by mass spectrometry in melanosome fractions from stage I to stage IV (PubMed:10636893). Colocalizes with MTTP in the endoplasmic reticulum (PubMed:23475612). {ECO:0000269|PubMed:10636893, ECO:0000269|PubMed:11181151, ECO:0000269|PubMed:23475612, ECO:0000305}.
P07919	"TRANSIT 1..13; /note=""Mitochondrion""; /evidence=""ECO:0000250|UniProtKB:P99028"""		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P00127}; Peripheral membrane protein {ECO:0000250|UniProtKB:P00127}; Intermembrane side {ECO:0000250|UniProtKB:P00127}.
P07954	"TRANSIT 1..44; /note=""Mitochondrion""; /evidence=""ECO:0000250|UniProtKB:P10173"""		SUBCELLULAR LOCATION: [Isoform Mitochondrial]: Mitochondrion {ECO:0000269|PubMed:27037871}.; SUBCELLULAR LOCATION: [Isoform Cytoplasmic]: Cytoplasm, cytosol {ECO:0000269|PubMed:20231875, ECO:0000269|PubMed:22509282, ECO:0000269|PubMed:26237645, ECO:0000269|PubMed:27037871}. Nucleus {ECO:0000269|PubMed:20231875, ECO:0000269|PubMed:26237645}. Chromosome {ECO:0000269|PubMed:26237645}. Note=Translocates to the nucleus in response to DNA damage: localizes to DNA double-strand breaks (DSBs) following phosphorylation by PRKDC. {ECO:0000269|PubMed:26237645}.
P08559	"TRANSIT 1..29; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:2748588"""		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000250|UniProtKB:P26284}.
P08574	"TRANSIT 1..84; /note=""Mitochondrion""; /evidence=""ECO:0007744|PubMed:25944712"""		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P07143}; Single-pass membrane protein {ECO:0000250|UniProtKB:P07143}.
P09110	"TRANSIT 1..26; /note=""Peroxisome""; /evidence=""ECO:0007744|PubMed:25944712"""		SUBCELLULAR LOCATION: Peroxisome {ECO:0000269|PubMed:22057399, ECO:0000269|PubMed:25538232}. Note=Transported into peroxisomes following association with PEX7. {ECO:0000269|PubMed:22057399, ECO:0000269|PubMed:25538232}.
P09417			
P09622	"TRANSIT 1..35; /note=""Mitochondrion""; /evidence=""ECO:0007744|PubMed:25944712"""		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000305|PubMed:29211711, ECO:0000305|PubMed:3693355}. Nucleus {ECO:0000269|PubMed:29211711}. Cell projection, cilium, flagellum {ECO:0000250|UniProtKB:Q811C4}. Cytoplasmic vesicle, secretory vesicle, acrosome {ECO:0000269|PubMed:15888450}. Note=Mainly localizes in the mitochondrion. A small fraction localizes to the nucleus, where the 2-oxoglutarate dehydrogenase complex is required for histone succinylation. {ECO:0000269|PubMed:29211711}.
P09669			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:30030519}; Single-pass membrane protein {ECO:0000269|PubMed:30030519}.
P0C7P0	"TRANSIT 1..14; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:17376863}.
P10109	"TRANSIT 1..60; /note=""Mitochondrion"""		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:20547883}.
P10176	"TRANSIT 1..25; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:2847943"""		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:30030519}; Single-pass membrane protein {ECO:0000269|PubMed:30030519}.
P10415			SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000269|PubMed:21358617, ECO:0000269|PubMed:2250705}; Single-pass membrane protein {ECO:0000255}. Nucleus membrane {ECO:0000269|PubMed:2250705}; Single-pass membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:21358617, ECO:0000269|PubMed:2250705}; Single-pass membrane protein {ECO:0000255}. Cytoplasm {ECO:0000250|UniProtKB:P10417}.
P10515	"TRANSIT 1..86; /note=""Mitochondrion"""		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000250|UniProtKB:P08461}.
P10606	"TRANSIT 1..31; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:8313870, ECO:0007744|PubMed:25944712"""		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:30030519}; Peripheral membrane protein {ECO:0000269|PubMed:30030519}; Matrix side {ECO:0000269|PubMed:30030519}.
P10620			SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:P08011}; Multi-pass membrane protein {ECO:0000255}. Mitochondrion outer membrane {ECO:0000250|UniProtKB:P08011}.
P10809	"TRANSIT 1..26; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:12665801, ECO:0000269|PubMed:1286669, ECO:0000269|PubMed:1731090, ECO:0000269|PubMed:2079031, ECO:0000269|PubMed:2907406, ECO:0000269|PubMed:7895732, ECO:0000269|PubMed:9150946"""		SUBCELLULAR LOCATION: Mitochondrion matrix.
P11177	"TRANSIT 1..30; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:2295468, ECO:0000269|PubMed:7895732"""		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000250|UniProtKB:P26284}.
P11182	"TRANSIT 1..61; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000250|UniProtKB:P11181}.
P11310	"TRANSIT 1..25; /note=""Mitochondrion""; /evidence=""ECO:0000305|PubMed:8823176"""		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:16020546}.
P11498	"TRANSIT 1..20; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000269|PubMed:9585002}.
P12074	"TRANSIT 1..24; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:1286669"""		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:30030519}; Single-pass membrane protein {ECO:0000269|PubMed:30030519}.
P12235			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:21586654}; Multi-pass membrane protein {ECO:0000255}. Membrane {ECO:0000269|PubMed:27641616}; Multi-pass membrane protein {ECO:0000255}. Note=The complex formed with ARL2BP, ARL2 and SLC25A4/ANT1 is expressed in mitochondria (By similarity). May localize to non-mitochondrial membranes (PubMed:27641616). {ECO:0000250|UniProtKB:P48962, ECO:0000269|PubMed:27641616}.
P12236			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:P02722}; Multi-pass membrane protein {ECO:0000255}. Membrane {ECO:0000269|PubMed:27641616}; Multi-pass membrane protein {ECO:0000255}. Note=The complex formed with ARL2BP, ARL2 and SLC25A6/ANT3 is expressed in mitochondria (By similarity). May localize to non-mitochondrial membranes (By similarity). {ECO:0000250|UniProtKB:P12235}.
P12694	"TRANSIT 1..45; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:7918575"""		SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000305|PubMed:10745006}.
P13051			SUBCELLULAR LOCATION: [Isoform 1]: Mitochondrion {ECO:0000269|PubMed:15967827, ECO:0000269|PubMed:17101234, ECO:0000269|PubMed:9016624, ECO:0000269|PubMed:9753728}.; SUBCELLULAR LOCATION: [Isoform 2]: Nucleus {ECO:0000269|PubMed:15967827, ECO:0000269|PubMed:17101234, ECO:0000269|PubMed:22521144, ECO:0000269|PubMed:9016624, ECO:0000269|PubMed:9753728}. Note=Localizes to S-phase replication foci. {ECO:0000269|PubMed:22521144}.
O94903			
O95178	"TRANSIT 1..33; /note=""Mitochondrion""; /evidence=""ECO:0000269|PubMed:19892738, ECO:0007744|PubMed:25944712"""		SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:12611891}; Peripheral membrane protein {ECO:0000305}; Matrix side {ECO:0000305}.
P09001	"TRANSIT 1..40; /note=""Mitochondrion""; /evidence=""ECO:0007744|PubMed:25944712"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:25278503, ECO:0000269|PubMed:25838379, ECO:0000269|PubMed:28892042}.
P0C7M7	"TRANSIT 1..22; /note=""Mitochondrion""; /evidence=""ECO:0000255"""		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q7TN78}.
P0DJ07	"TRANSIT 1..?; /note=""Mitochondrion"""		SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}. Mitochondrion {ECO:0000250|UniProtKB:P0DJE0}. Mitochondrion inner membrane {ECO:0000269|PubMed:24462369}.
P0DKB6			SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:27317664}; Multi-pass membrane protein {ECO:0000255}.
