uniprot_id	entry_name	description	uniprot_mass	entrez_gene_id	gene_name	present_-HS	present_+HS	mitocarta	matrix	IMS	functional_category	subcategory	ibaq_-HS	ibaq_+HS	log10_ibaq_-HS	log10_ibaq_+HS	log10_ibaq_HEK293	percent_occupancy	log10_ratio	silac_ratio_coIP1	silac_ratio_coIP2	silac_ratio_coIP3	median_silac_ratio	n_silac_replicates	n_ndic_replicates	median_silac_imputed	has_quantitative_data	flag	quality_tier
Q07021	C1QBP_HUMAN	Complement component 1 Q subcomponent-binding protein, mitochondrial (ASF/SF2-associated protein p32) (Glycoprotein gC1qBP) (C1qBP) (Hyaluronan-binding protein 1) (Mitochondrial matrix protein p32) (gC1q-R protein) (p33) (SF2AP32)	31.362	708.0	C1QBP	X	X	X	X	o	Multifunctional protein		10190943.333333334	5047960.0	7.00821438670508	6.703115904903251	8.286059	0.0181679056942347	0.845783790183618	42.716	22.92368704582445	67.92094002580995	42.716	3	0	42.716	True	candidate_substrate	Tier 1
P00403	COX2_HUMAN	Cytochrome c oxidase subunit 2 (Cytochrome c oxidase polypeptide II)	25.565	4513.0	MT-CO2	X	X	X	X	X	respiratory chain	complex IV subunit	9109600.0	5220950.0	6.9594993076418605	6.717749534078734	8.204171	0.016240140711102	0.8482879388596191	NDIC	12.78805084529016	22.24347710034033	17.515763972815243	3	1	22.24347710034033	True	candidate_substrate	Tier 1
Q04837	SSBP_HUMAN	Single-stranded DNA-binding protein, mitochondrial (Mt-SSB) (MtSSB) (PWP1-interacting protein 17)	17.26	6742.0	SSBP1	X	X	X	X	o	mitochondrial DNA replication		9095933.333333334	6119403.333333333	6.958847268624318	6.786709078734854	8.079214	0.0162157764591351	0.8613272613677911	30.153	24.165095935430863	10.03623079316332	24.165095935430863	3	0	24.165095935430863	True	candidate_substrate	Tier 1
Q13011	ECH1_HUMAN	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial (EC 5.3.3.-)	35.816	1891.0	ECH1	X	X	X	X	o	lipid metabolism	fatty acid oxidation	8840233.333333334	7013100.0	6.946463728139968	6.845910031560775	7.050752	0.0157599272473334	0.9852089150405472	41.048	24.321432045918865	24.68891961287774	24.68891961287774	3	0	24.68891961287774	True	candidate_substrate	Tier 1
P50213	IDH3A_HUMAN	Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial (EC 1.1.1.41) (Isocitric dehydrogenase subunit alpha) (NAD(+)-specific ICDH subunit alpha)	39.592	3419.0	IDH3A	X	X	X	X	o	tricarboxylic acid cycle	tricarboxylic acid cycle	6764133.333333333	4721400.0	6.830212159741818	6.674070795693659	7.478251	0.01205875967353	0.9133435290874587	27.053	67.87023211619383	39.43062182090611	39.43062182090611	3	0	39.43062182090611	True	candidate_substrate	Tier 1
P04181	OAT_HUMAN	Ornithine aminotransferase, mitochondrial (EC 2.6.1.13) (Ornithine delta-aminotransferase) (Ornithine--oxo-acid aminotransferase) [Cleaved into: Ornithine aminotransferase, hepatic form; Ornithine aminotransferase, renal form]	48.535	4942.0	OAT	X	X	X	X	o	amino acid metabolism		6483966.666666667	4655200.0	6.811840773523802	6.667938344185354	8.032233	0.0115592925082069	0.8480631442743011	28.296	42.51158440675084	10.000900081007291	28.296	3	0	28.296	True	candidate_substrate	Tier 1
P30084	ECHM_HUMAN	Enoyl-CoA hydratase, mitochondrial (EC 4.2.1.17) (Enoyl-CoA hydratase 1) (Short-chain enoyl-CoA hydratase) (SCEH)	31.387	1892.0	ECHS1	X	X	X	X	o	lipid metabolism	fatty acid oxidation	6398300.0	4402366.666666667	6.806064599188238	6.643686211474567	7.947232	0.0114065702458773	0.8564069350420672	19.658	8.716116098666435	9.523809523809524	9.523809523809524	3	0	9.523809523809524	True	candidate_substrate	Tier 1
Q9Y3D9	RT23_HUMAN	28S ribosomal protein S23, mitochondrial (MRP-S23) (S23mt) (Mitochondrial small ribosomal subunit protein mS23)	21.771	51649.0	MRPS23	X	X	X	X	o	mitochondrial protein synthesis	ribosomal subunit	6157700.0	3621733.3333333335	6.7894185264771645	6.558916470239407	7.273587333333332	0.0109776405612489	0.9334346609633292	51.331	13.121121068584099	39.955250119865745	39.95525011986575	3	0	39.95525011986575	True	candidate_substrate	Tier 1
P38117	ETFB_HUMAN	Electron transfer flavoprotein subunit beta (Beta-ETF)	27.844	2109.0	ETFB	X	X	X	X	o	lipid, amino acid and cholin metabolism		6009433.333333333	2921433.333333333	6.7788335216185125	6.465595980224992	7.947214	0.0107133181399096	0.8529823811990608	10.717	6.26527159952384	10.10468453174892	10.10468453174892	3	0	10.10468453174892	True	candidate_substrate	Tier 1
P48047	ATPO_HUMAN	ATP synthase subunit O, mitochondrial (ATP synthase peripheral stalk subunit OSCP) (Oligomycin sensitivity conferral protein) (OSCP)	23.277	539.0	ATP5O	X	X	X	X	o	respiratory chain	complex V subunit	5268700.0	4479800.0	6.72170347053069	6.651258625418846	7.691521000000001	0.0093927756832993	0.8739108260291676	22.991	12.669132924542645	45.772874994278396	22.991	3	0	22.991	True	candidate_substrate	Tier 1
Q96C36	P5CR2_HUMAN	Pyrroline-5-carboxylate reductase 2 (P5C reductase 2) (P5CR 2) (EC 1.5.1.2)	33.637	29920.0	PYCR2	X	X	X	X	o	amino acid metabolism		4868633.333333333	3355800.0	6.687407068177794	6.525796069711891	7.356820666666667	0.0086795567757196	0.9090077590824054	17.585	7.095217823187172	1.9074141186793063	7.095217823187172	3	0	7.095217823187172	True	candidate_substrate	Tier 1
Q5T9A4	ATD3B_HUMAN	ATPase family AAA domain-containing protein 3B (AAA-TOB3)	72.573	83858.0	ATAD3B	X	X	X	X	X	nucleoid binding?		4806300.0	3975466.6666666665	6.681810875140022	6.599388116354082	6.071037	0.0085684320167482	1.1006045384239995	13.006	35.22491105709958	37.11814706209866	35.22491105709958	3	0	35.22491105709958	True	candidate_substrate	Tier 1
O75390	CISY_HUMAN	Citrate synthase, mitochondrial (EC 2.3.3.1) (Citrate (Si)-synthase)	51.712	1431.0	CS	X	X	X	X	o	tricarboxylic acid cycle		4593466.666666667	3373566.6666666665	6.662140569185144	6.528089296877376	8.006026	0.0081890033611161	0.8321407611198295	35.669	12.75315002805693	14.773230905599055	14.773230905599055	3	0	14.773230905599055	True	candidate_substrate	Tier 1
Q9BYN8	RT26_HUMAN	28S ribosomal protein S26, mitochondrial (MRP-S26) (S26mt) (28S ribosomal protein S13, mitochondrial) (MRP-S13) (S13mt) (Mitochondrial small ribosomal subunit protein mS26)	24.212	64949.0	MRPS26	X	X	X	X	o	mitochondrial protein synthesis	ribosomal subunit	4523833.333333333	2528556.6666666665	6.655506596309344	6.402872690910969	6.827290333333333	0.0080648645260941	0.9748386653215436	31.44	26.933850463262228	15.80178244105935	26.933850463262228	3	0	26.933850463262228	True	candidate_substrate	Tier 1
Q9GZT3	SLIRP_HUMAN	SRA stem-loop-interacting RNA-binding protein, mitochondrial	12.349	81892.0	SLIRP	X	X	X	X	o	RNA-binding protein		4473600.0	2553916.6666666665	6.650657149729568	6.407206722294164	7.738645666666666	0.0079753110438643	0.8594084076463813		38.40245775729647	18.515775440675455	28.45911659898596	2	0	28.459116598985958	True	candidate_substrate	Tier 1
Q5U5X0	LYRM7_HUMAN	Complex III assembly factor LYRM7 (LYR motif-containing protein 7)	11.955	90624.0	LYRM7	X	X	X	X	o	respiratory chain	complex III assembly factor	4456600.0	3636340.0	6.6490036559420185	6.56066448324643	7.024481333333334	0.0079450042914175	0.9465472738023292		65.0110518788194	NDIC	65.0110518788194	2	1	78.01117621099526	True	candidate_substrate	Tier 1
P30049	ATPD_HUMAN	ATP synthase subunit delta, mitochondrial (ATP synthase F1 subunit delta) (F-ATPase delta subunit)	17.49	513.0	ATP5D	X	X	X	X	o	respiratory chain	complex V subunit	3919506.6666666665	4876515.0	6.593231407472656	6.688109564429427	7.187920000000001	0.0069875010741162	0.9172655521308885	NDIC	22.513395470304832	10.038850350857821	16.27612291058133	3	1	22.513395470304832	True	candidate_substrate	Tier 1
P10515	ODP2_HUMAN	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial (EC 2.3.1.12) (70 kDa mitochondrial autoantigen of primary biliary cirrhosis) (PBC) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (M2 antigen complex 70 kDa subunit) (Pyruvate dehydrogenase complex component E2) (PDC-E2) (PDCE2)	68.997	1737.0	DLAT	X	X	X	X	o	pyruvate metabolism		3799333.3333333335	2084310.0	6.579707397918148	6.318962312169242	7.256575333333334	0.0067732620468202	0.9067235018830482	35.959	8.376612497905846	44.25170369059209	35.959	3	0	35.959	True	candidate_substrate	Tier 1
P08559	ODPA_HUMAN	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial (EC 1.2.4.1) (PDHE1-A type I)	43.296	5160.0	PDHA1	X	X	X	X	o	pyruvate metabolism		3740366.6666666665	1990100.0	6.572914178003847	6.298874899704699	7.585681	0.0066681392133334	0.8664896636180518	23.049	12.029062214309773	15.531085467563328	15.531085467563328	3	0	15.531085467563328	True	candidate_substrate	Tier 1
P13804	ETFA_HUMAN	Electron transfer flavoprotein subunit alpha, mitochondrial (Alpha-ETF)	35.08	2108.0	ETFA	X	X	X	X	o	lipid, amino acid and cholin metabolism		3367233.333333333	3319633.333333333	6.527273211982979	6.521090116805203	7.954799333333334	0.0060029357096301	0.820545300826316	17.283	8.69338433452143	19.07960009158208	17.283	3	0	17.283	True	candidate_substrate	Tier 1
P42704	LPPRC_HUMAN	Leucine-rich PPR motif-containing protein, mitochondrial (130 kDa leucine-rich protein) (LRP 130) (GP130)	157.905	10128.0	LRPPRC	X	X	X	X	o	RNA metabolism?		3332100.0	2118100.0	6.52271802658724	6.325946460220463	7.583965666666667	0.0059403017545735	0.860066924518941	38.729	12.721675190189044	14.780436614097582	14.780436614097582	3	0	14.780436614097582	True	candidate_substrate	Tier 1
P42765	THIM_HUMAN	3-ketoacyl-CoA thiolase, mitochondrial (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase) (Mitochondrial 3-oxoacyl-CoA thiolase) (T1)	41.924	10449.0	ACAA2	X	X	X	X	o	lipid metabolism	fatty acid metabolism	3261700.0	1643390.0	6.513444013621447	6.215740639971162	6.903771333333334	0.0058147961444412	0.9434617253576638	19.408	13.779988700409266	0.1505457282649605	13.779988700409266	3	0	13.779988700409266	True	candidate_substrate	Tier 1
P00367	DHE3_HUMAN	Glutamate dehydrogenase 1, mitochondrial (GDH 1) (EC 1.4.1.3)	61.398	2746.0	GLUD1	X	X	X	X	o	amino acid metabolism		3231366.6666666665	2102933.333333333	6.509386240677825	6.322825505009485	7.590510666666667	0.0057607193900754	0.8575689471412584	29.892	24.764121740422475	32.044092671516005	29.892	3	0	29.892	True	candidate_substrate	Tier 1
P36776	LONM_HUMAN	Lon protease homolog, mitochondrial (EC 3.4.21.53) (LONHs) (Lon protease-like protein) (LONP) (Mitochondrial ATP-dependent protease Lon) (Serine protease 15)	106.489	9361.0	LONP1	X	X	X	X	o	protein quality control	protease	3078310.0	1881646.6666666667	6.488312353153083	6.274538075454982	7.148458333333333	0.0054878575955467	0.9076519790145544	34.342	14.80494485158043	2.5083402312689693	14.80494485158043	3	0	14.80494485158043	True	candidate_substrate	Tier 1
P23368	MAOM_HUMAN	NAD-dependent malic enzyme, mitochondrial (NAD-ME) (EC 1.1.1.38) (Malic enzyme 2)	65.444	4200.0	ME2	X	X	X	X	o	pyruvate metabolism		3013810.0	2236106.6666666665	6.479115869560385	6.349492516405721	6.897475666666668	0.0053728702112635	0.9393459553430418	11.529	16.078979949512004	11.257711532399693	11.529	3	0	11.529	True	candidate_substrate	Tier 1
P24539	AT5F1_HUMAN	ATP synthase F(0) complex subunit B1, mitochondrial (ATP synthase peripheral stalk-membrane subunit b) (ATP synthase proton-transporting mitochondrial F(0) complex subunit B1) (ATP synthase subunit b) (ATPase subunit b)	28.909	515.0	ATP5F1	X	X	X	X	o	respiratory chain	complex V subunit	2825200.0	2366336.6666666665	6.451049197579129	6.3740765332226	7.676490333333334	0.0050366257066178	0.8403644005864219	28.656	21.892377074302726	9.193711501333087	21.89237707430273	3	0	21.89237707430273	True	candidate_substrate	Tier 1
P09622	DLDH_HUMAN	Dihydrolipoyl dehydrogenase, mitochondrial (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (Glycine cleavage system L protein)	54.177	1738.0	DLD	X	X	X	X	o	tricarboxylic acid cycle	tricarboxylic acid cycle	2740600.0	1964246.6666666667	6.43784565339083	6.293196024818331	7.730303	0.0048858050444417	0.8328063794382742	11.586	7.531254707034192	4.0708324852432325	7.531254707034192	3	0	7.531254707034192	True	candidate_substrate	Tier 1
P36957	ODO2_HUMAN	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex component E2) (OGDC-E2) (Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex) (E2K)	48.755	1743.0	DLST	X	X	X	X	X	tricarboxylic acid cycle	tricarboxylic acid cycle	2691573.333333333	1529886.6666666667	6.430006216894839	6.1846592596644365	7.164013333333333	0.0047984027473855	0.8975424692437068		14.191442560136238	9.489466691971911	11.840454626054076	2	0	11.840454626054076	True	candidate_substrate	Tier 1
P24752	THIL_HUMAN	Acetyl-CoA acetyltransferase, mitochondrial (EC 2.3.1.9) (Acetoacetyl-CoA thiolase) (T2)	45.2	38.0	ACAT1	X	X	X	X	o	lipid metabolism	fatty acid oxidation	2669933.333333333	1488120.0	6.426500417421906	6.172637953546228	7.761088	0.004759824034271	0.8280411737918583	39.69	8.25082508250825	11.931038596909861	11.93103859690986	3	0	11.93103859690986	True	candidate_substrate	Tier 1
P42126	ECI1_HUMAN	Enoyl-CoA delta isomerase 1, mitochondrial (EC 5.3.3.8) (3,2-trans-enoyl-CoA isomerase) (Delta(3),Delta(2)-enoyl-CoA isomerase) (D3,D2-enoyl-CoA isomerase) (Dodecenoyl-CoA isomerase)	32.816	1632.0	ECI1	X	X	X	X	o	lipid metabolism	fatty acid oxidation	2616446.6666666665	1629003.3333333333	6.417711886559561	6.211921972980573	7.333612666666666	0.0046644706715729	0.8751091962805545	56.716	10.600182323135957	15.201033670289581	15.20103367028958	3	0	15.20103367028958	True	candidate_substrate	Tier 1
Q6PI48	SYDM_HUMAN	Aspartate--tRNA ligase, mitochondrial (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS)	73.563	55157.0	DARS2	X	X	X	X	o	mitochondrial protein synthesis	tRNA ligase	2557806.6666666665	2384843.333333333	6.407867714977281	6.377459854359936	6.870808666666666	0.0045599302031331	0.9326220574391314	22.281	7.551729346020238	12.09789617585502	12.09789617585502	3	0	12.09789617585502	True	candidate_substrate	Tier 1
O75947	ATP5H_HUMAN	ATP synthase subunit d, mitochondrial (ATPase subunit d) (ATP synthase peripheral stalk subunit d)	18.491	10476.0	ATP5H	X	X	X	X	o	respiratory chain	complex V subunit	2511350.0	2507090.0	6.399907243368457	6.399169924625067	8.062819666666668	0.0044771095739468	0.7937554736374636	NDIC	3.5076642463783365	NDIC	3.5076642463783365	3	2	80.33859999999999	True	candidate_substrate	Tier 1
O75439	MPPB_HUMAN	Mitochondrial-processing peptidase subunit beta (EC 3.4.24.64) (Beta-MPP) (P-52)	54.366	9512.0	PMPCB	X	X	X	X	o	transit peptide processing		2461800.0	1948516.6666666667	6.391252767350555	6.28970412488899	7.110594666666667	0.0043887743043153	0.8988351983149495	26.442	12.043549474901244	5.480052608505042	12.043549474901244	3	0	12.043549474901244	True	candidate_substrate	Tier 1
Q9Y2Z4	SYYM_HUMAN	Tyrosine--tRNA ligase, mitochondrial (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS)	53.199	51067.0	YARS2	X	X	X	X	o	mitochondrial protein synthesis	tRNA ligase	2287200.0	1763623.3333333333	6.359304142349932	6.246405836055212	6.775258999999999	0.0040775061291859	0.9386067960427686	40.683	19.020446980504044	8.253549026081215	19.020446980504044	3	0	19.020446980504044	True	candidate_substrate	Tier 1
Q9Y2S7	PDIP2_HUMAN	Polymerase delta-interacting protein 2 (38 kDa DNA polymerase delta interaction protein) (p38)	42.033	26073.0	POLDIP2	X	X	X	X	o	?		2269863.333333333	1795116.6666666667	6.355999709454808	6.254092679122162	7.036298	0.0040465991841908	0.9033158785279998	24.187	11.551479166907324	27.279919251439015	24.187	3	0	24.187	True	candidate_substrate	Tier 1
P22695	QCR2_HUMAN	Cytochrome b-c1 complex subunit 2, mitochondrial (Complex III subunit 2) (Core protein II) (Ubiquinol-cytochrome-c reductase complex core protein 2)	48.443	7385.0	UQCRC2	X	X	X	X	o	respiratory chain	complex III subunit	2078260.0	1438643.3333333333	6.317699878881316	6.157953137533039	7.642438333333334	0.0037050183141142	0.8266602363444627	11.381	10.358400662937642	6.679580522343197	10.358400662937642	3	0	10.358400662937642	True	candidate_substrate	Tier 1
Q16540	RM23_HUMAN	39S ribosomal protein L23, mitochondrial (L23mt) (MRP-L23) (L23 mitochondrial-related protein) (Mitochondrial large ribosomal subunit protein uL23m) (Ribosomal protein L23-like)	17.781	6150.0	MRPL23	X	X	X	X	o	mitochondrial protein synthesis	ribosomal subunit	1998540.0	428461.6666666667	6.30071284491808	5.6319119728173455	6.7614905	0.0035628974726405	0.931852650671931		5.683755825849721	5.394325169921244	5.539040497885482	2	0	5.539040497885482	True	candidate_substrate	Tier 1
O75489	NDUS3_HUMAN	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (Complex I-30kD) (CI-30kD) (NADH-ubiquinone oxidoreductase 30 kDa subunit)	30.242	4722.0	NDUFS3	X	X	X	X	o	respiratory chain	complex I subunit	1930330.0	1370183.3333333333	6.285631560265763	6.1367786805345625	7.435214999999999	0.0034412960853233	0.845386657987128	10.935	8.264462809917356	36.26736300003627	10.935	3	0	10.935	True	candidate_substrate	Tier 1
P43897	EFTS_HUMAN	Elongation factor Ts, mitochondrial (EF-Ts) (EF-TsMt)	35.391	10102.0	TSFM	X	X	X	X	o	mitochondrial protein synthesis	translation	1916500.0	1773526.6666666667	6.282508823590371	6.248837722889222	7.071250333333334	0.0034166406508328	0.8884579851423311	17.928	3.5563142359258864	9.521089212605922	9.521089212605922	3	0	9.521089212605922	True	candidate_substrate	Tier 1
P31040	SDHA_HUMAN	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial (EC 1.3.5.1) (Flavoprotein subunit of complex II) (Fp)	72.692	6389.0	SDHA	X	X	X	X	o	respiratory chain	complex II subunit, tricarboxylic acid cyle	1905000.0	1120156.6666666667	6.279894980011638	6.049278767947468	7.038228666666666	0.0033961390241777	0.8922550370881629		13.027788272384997	37.14986254550858	25.08882540894679	2	0	25.08882540894679	True	candidate_substrate	Tier 1
P51398	RT29_HUMAN	28S ribosomal protein S29, mitochondrial (MRP-S29) (S29mt) (Death-associated protein 3) (DAP-3) (Ionizing radiation resistance conferring protein) (Mitochondrial small ribosomal subunit protein mS29)	45.566	7818.0	DAP3	X	X	X	X	o	mitochondrial protein synthesis	ribosomal subunit	1857046.6666666667	939526.6666666666	6.268822817483005	5.972909111229336	7.325827	0.003310650212276	0.8557153775925919	30.671	6.33031588276255	17.254171195886606	17.254171195886606	3	0	17.254171195886606	True	candidate_substrate	Tier 1
Q10713	MPPA_HUMAN	Mitochondrial-processing peptidase subunit alpha (Alpha-MPP) (P-55)	58.253	23203.0	PMPCA	X	X	X	X	o	transit peptide processing		1836173.3333333333	1379970.0	6.263913675861414	6.139869645114223	6.884511333333333	0.0032734382742718	0.9098559610952895	38.239	9.846396218983852	21.56892349502836	21.56892349502836	3	0	21.56892349502836	True	candidate_substrate	Tier 1
Q9BPW8	NIPS1_HUMAN	Protein NipSnap homolog 1 (NipSnap1)	33.31	8508.0	NIPSNAP1	X	X	X	X	o	neurotransmitter binding		1811946.6666666667	1278166.6666666667	6.2581454103864615	6.106587487385988	7.198388333333334	0.003230248180785	0.8693814671552351	10.245	8.075587498990553	1.0907504363001745	8.075587498990553	3	0	8.075587498990553	True	candidate_substrate	Tier 1
O75306	NDUS2_HUMAN	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (Complex I-49kD) (CI-49kD) (NADH-ubiquinone oxidoreductase 49 kDa subunit)	52.546	4720.0	NDUFS2	X	X	X	X	o	respiratory chain	complex I subunit	1811636.6666666667	1476800.0	6.25807110201415	6.169321683681836	7.219108333333334	0.0032296955282403	0.8668759094690803	16.04	8.785802143735722	38.15192094921979	16.04	3	0	16.04	True	candidate_substrate	Tier 1
P49406	RM19_HUMAN	39S ribosomal protein L19, mitochondrial (L19mt) (MRP-L19) (39S ribosomal protein L15, mitochondrial) (L15mt) (MRP-L15) (Mitochondrial large ribosomal subunit protein bL19m)	33.535	9801.0	MRPL19	X	X	X	X	o	mitochondrial protein synthesis	ribosomal subunit	1751220.0	1097896.6666666667	6.243340708495941	6.040561466518172	6.868843999999999	0.0031219877070448	0.9089361628384546	31.004	25.903380391141045	20.26794219582886	25.903380391141045	3	0	25.903380391141045	True	candidate_substrate	Tier 1
Q9HAV7	GRPE1_HUMAN	GrpE protein homolog 1, mitochondrial (HMGE) (Mt-GrpE#1)	24.279	80273.0	GRPEL1	X	X	X	X	o	protein quality control	co-chaperone	1740689.3333333333	1274696.0	6.240721268039666	6.105406622993884	7.318383	0.0031032141595292	0.8527459232510332		13.921565897732176	17.724839590201707	15.823202743966942	2	0	15.823202743966942	True	co_chaperone	Excluded
P82932	RT06_HUMAN	28S ribosomal protein S6, mitochondrial (MRP-S6) (S6mt) (Mitochondrial small ribosomal subunit protein bS6m)	14.227	64968.0	MRPS6	X	o	X	X	o	mitochondrial protein synthesis	ribosomal subunit	1711130.0	923689.0	6.2332830055305415	5.965525771740489	6.974878333333334	0.0030505172537749	0.8936762345719113		11.001221135546047	3.010144185906505	7.005682660726276	2	0	7.0056826607262765	True	candidate_substrate	Tier 1
