uniprot_accession	model_path	model_version	file_size_bytes	has_structure	source_dataset	residues_modeled	mean_plddt	min_plddt	fraction_plddt_gt70
O14880	data/raw/alphafold/pilot/AF-O14880-F1-model_v6.cif	v6	146996	True	mito	152	92.2	41.38	0.9145
O14925	data/raw/alphafold/pilot/AF-O14925-F1-model_v6.cif	v6	189799	True	mito	209	59.21	34.06	0.2392
O14949	data/raw/alphafold/pilot/AF-O14949-F1-model_v6.cif	v6	90773	True	mito	82	94.48	60.44	0.9756
O14957	data/raw/alphafold/pilot/AF-O14957-F1-model_v6.cif	v6	64906	True	mito	56	88.41	51.56	0.8929
O15091	data/raw/alphafold/pilot/AF-O15091-F1-model_v6.cif	v6	553427	True	hsp60,matrix,mito	583	78.91	21.55	0.7633
O15229	data/raw/alphafold/pilot/AF-O15229-F1-model_v6.cif	v6	461014	True	mito	486	88.78	32.62	0.8745
O15235	data/raw/alphafold/pilot/AF-O15235-F1-model_v6.cif	v6	135951	True	hsp60,matrix,mito	138	86.45	42.53	0.7899
O15239	data/raw/alphafold/pilot/AF-O15239-F1-model_v6.cif	v6	76093	True	mito	70	97.22	81.56	1.0
O15270	data/raw/alphafold/pilot/AF-O15270-F1-model_v6.cif	v6	518982	True	mito	562	86.22	24.3	0.8594
O15382	data/raw/alphafold/pilot/AF-O15382-F1-model_v6.cif	v6	369961	True	hsp60,matrix,mito	392	93.14	33.81	0.9209
O15527	data/raw/alphafold/pilot/AF-O15527-F1-model_v6.cif	v6	326261	True	matrix,mito	345	92.34	31.11	0.913
O15528	data/raw/alphafold/pilot/AF-O15528-F1-model_v6.cif	v6	469350	True	mito	508	86.79	21.02	0.8878
O43169	data/raw/alphafold/pilot/AF-O43169-F1-model_v6.cif	v6	148731	True	mito	150	80.79	37.56	0.7
O43181	data/raw/alphafold/pilot/AF-O43181-F1-model_v6.cif	v6	175207	True	hsp60,mito	175	84.1	43.66	0.7143
O43236	data/raw/alphafold/pilot/AF-O43236-F1-model_v6.cif	v6	454349	True	mito	478	71.46	25.33	0.6444
O43272	data/raw/alphafold/pilot/AF-O43272-F1-model_v6.cif	v6	558072	True	mito	600	84.46	27.17	0.84
O43325	data/raw/alphafold/pilot/AF-O43325-F1-model_v6.cif	v6	128198	True	mito	122	85.6	36.25	0.8607
O43464	data/raw/alphafold/pilot/AF-O43464-F1-model_v6.cif	v6	407748	True	mito	458	74.45	29.84	0.6354
O43488	data/raw/alphafold/pilot/AF-O43488-F1-model_v6.cif	v6	333303	True	hsp60,matrix,mito	359	93.06	41.72	0.9109
O43521	data/raw/alphafold/pilot/AF-O43521-F1-model_v6.cif	v6	191038	True	mito	198	60.06	33.59	0.2677
O43572	data/raw/alphafold/pilot/AF-O43572-F1-model_v6.cif	v6	602364	True	mito	662	64.25	25.7	0.4728
O43615	data/raw/alphafold/pilot/AF-O43615-F1-model_v6.cif	v6	423596	True	hsp60,mito	452	63.92	29.25	0.3916
O43674	data/raw/alphafold/pilot/AF-O43674-F1-model_v6.cif	v6	187522	True	mito	189	83.22	39.56	0.7249
O43676	data/raw/alphafold/pilot/AF-O43676-F1-model_v6.cif	v6	102723	True	mito	98	86.9	38.78	0.8571
O43677	data/raw/alphafold/pilot/AF-O43677-F1-model_v6.cif	v6	81852	True	mito	76	82.34	44.47	0.6579
O43678	data/raw/alphafold/pilot/AF-O43678-F1-model_v6.cif	v6	98720	True	hsp60,mito	99	84.53	40.84	0.8283
O43708	data/raw/alphafold/pilot/AF-O43708-F1-model_v6.cif	v6	208657	True	matrix,mito	216	97.27	40.62	0.9861
O43715	data/raw/alphafold/pilot/AF-O43715-F1-model_v6.cif	v6	81462	True	mito	76	87.64	47.12	0.8684
O43716	data/raw/alphafold/pilot/AF-O43716-F1-model_v6.cif	v6	136049	True	matrix,mito	136	78.56	41.12	0.7206
O43766	data/raw/alphafold/pilot/AF-O43766-F1-model_v6.cif	v6	350920	True	matrix,mito	372	81.16	30.64	0.7581
O43772	data/raw/alphafold/pilot/AF-O43772-F1-model_v6.cif	v6	277888	True	mito	301	88.84	34.72	0.9635
O43819	data/raw/alphafold/pilot/AF-O43819-F1-model_v6.cif	v6	253796	True	mito	266	83.72	33.84	0.7932
O43824	data/raw/alphafold/pilot/AF-O43824-F1-model_v6.cif	v6	471019	True	matrix,mito	516	77.46	22.19	0.7713
O43837	data/raw/alphafold/pilot/AF-O43837-F1-model_v6.cif	v6	351972	True	matrix,mito	385	87.8	30.64	0.8597
O43847	data/raw/alphafold/pilot/AF-O43847-F1-model_v6.cif	v6	1104561	True	matrix,mito	1151	82.62	22.0	0.8297
O43865	data/raw/alphafold/pilot/AF-O43865-F1-model_v6.cif	v6	486630	True	mito	530	85.27	22.59	0.834
O43920	data/raw/alphafold/pilot/AF-O43920-F1-model_v6.cif	v6	113707	True	mito	106	94.4	73.81	1.0
O60218	data/raw/alphafold/pilot/AF-O60218-F1-model_v6.cif	v6	305716	True	mito	316	97.74	67.56	0.9968
O60220	data/raw/alphafold/pilot/AF-O60220-F1-model_v6.cif	v6	97852	True	mito	97	85.47	46.5	0.7629
O60238	data/raw/alphafold/pilot/AF-O60238-F1-model_v6.cif	v6	205361	True	mito	219	60.42	36.94	0.2511
O60260	data/raw/alphafold/pilot/AF-O60260-F1-model_v6.cif	v6	427597	True	mito	465	78.07	24.16	0.7957
O60313	data/raw/alphafold/pilot/AF-O60313-F1-model_v6.cif	v6	903363	True	mito	960	73.98	27.34	0.7188
O60783	data/raw/alphafold/pilot/AF-O60783-F1-model_v6.cif	v6	135221	True	matrix,mito	128	86.21	42.47	0.7891
O60830	data/raw/alphafold/pilot/AF-O60830-F1-model_v6.cif	v6	160985	True	mito	172	82.3	31.86	0.7791
O60930	data/raw/alphafold/pilot/AF-O60930-F1-model_v6.cif	v6	271851	True	matrix,mito	286	79.55	28.89	0.7273
O75027	data/raw/alphafold/pilot/AF-O75027-F1-model_v6.cif	v6	677024	True	mito	752	78.12	22.55	0.7726
O75127	data/raw/alphafold/pilot/AF-O75127-F1-model_v6.cif	v6	644027	True	matrix,mito	700	68.04	20.52	0.61
O75208	data/raw/alphafold/pilot/AF-O75208-F1-model_v6.cif	v6	296637	True	mito	318	77.6	32.69	0.6698
O75251	data/raw/alphafold/pilot/AF-O75251-F1-model_v6.cif	v6	203647	True	mito	213	81.72	27.98	0.7418
O75306	data/raw/alphafold/pilot/AF-O75306-F1-model_v6.cif	v6	435724	True	hsp60,mito	463	89.09	27.45	0.9158
O75323	data/raw/alphafold/pilot/AF-O75323-F1-model_v6.cif	v6	284648	True	matrix,mito	286	83.39	30.64	0.7727
O75380	data/raw/alphafold/pilot/AF-O75380-F1-model_v6.cif	v6	123950	True	mito	124	82.04	34.53	0.7742
O75390	data/raw/alphafold/pilot/AF-O75390-F1-model_v6.cif	v6	428811	True	hsp60,matrix,mito	466	94.03	29.86	0.9356
O75394	data/raw/alphafold/pilot/AF-O75394-F1-model_v6.cif	v6	73180	True	matrix,mito	65	91.28	63.12	0.9538
O75414	data/raw/alphafold/pilot/AF-O75414-F1-model_v6.cif	v6	185126	True	matrix,mito	186	93.15	37.75	0.9247
O75417	data/raw/alphafold/pilot/AF-O75417-F1-model_v6.cif	v6	2420021	True	matrix,mito	2590	59.33	14.86	0.4954
O75431	data/raw/alphafold/pilot/AF-O75431-F1-model_v6.cif	v6	253263	True	mito	263	92.15	25.61	0.9125
O75438	data/raw/alphafold/pilot/AF-O75438-F1-model_v6.cif	v6	67442	True	hsp60,mito	58	91.28	60.03	0.9655
O75439	data/raw/alphafold/pilot/AF-O75439-F1-model_v6.cif	v6	448879	True	hsp60,matrix,mito	489	87.23	22.69	0.863
O75489	data/raw/alphafold/pilot/AF-O75489-F1-model_v6.cif	v6	258179	True	hsp60,mito	264	82.43	25.52	0.7879
O75521	data/raw/alphafold/pilot/AF-O75521-F1-model_v6.cif	v6	363590	True	hsp60,matrix,mito	394	87.41	26.02	0.8528
O75570	data/raw/alphafold/pilot/AF-O75570-F1-model_v6.cif	v6	430255	True	matrix,mito	445	80.51	19.75	0.8202
O75600	data/raw/alphafold/pilot/AF-O75600-F1-model_v6.cif	v6	378565	True	hsp60,mito	419	93.4	34.06	0.9547
O75608	data/raw/alphafold/pilot/AF-O75608-F1-model_v6.cif	v6	212582	True	mito	230	95.5	33.78	0.9652
O75616	data/raw/alphafold/pilot/AF-O75616-F1-model_v6.cif	v6	402131	True	hsp60,matrix,mito	437	77.91	25.28	0.7346
O75648	data/raw/alphafold/pilot/AF-O75648-F1-model_v6.cif	v6	398522	True	hsp60,matrix,mito	421	89.38	41.62	0.867
O75746	data/raw/alphafold/pilot/AF-O75746-F1-model_v6.cif	v6	616571	True	mito	678	82.84	26.48	0.8481
O75828	data/raw/alphafold/pilot/AF-O75828-F1-model_v6.cif	v6	261315	True	matrix,mito	277	96.56	35.84	0.9856
O75879	data/raw/alphafold/pilot/AF-O75879-F1-model_v6.cif	v6	509869	True	matrix,mito	557	85.4	24.52	0.8707
O75880	data/raw/alphafold/pilot/AF-O75880-F1-model_v6.cif	v6	285732	True	mito	301	77.77	29.19	0.6744
O75891	data/raw/alphafold/pilot/AF-O75891-F1-model_v6.cif	v6	810891	True	matrix,mito	902	94.01	40.0	0.9812
O75947	data/raw/alphafold/pilot/AF-O75947-F1-model_v6.cif	v6	162757	True	hsp60,mito	161	86.85	40.72	0.9441
O75964	data/raw/alphafold/pilot/AF-O75964-F1-model_v6.cif	v6	105442	True	hsp60,mito	103	90.95	63.81	0.9903
O76031	data/raw/alphafold/pilot/AF-O76031-F1-model_v6.cif	v6	568607	True	hsp60,matrix,mito	633	66.59	25.05	0.5087
O94761	data/raw/alphafold/pilot/AF-O94761-F1-model_v6.cif	v6	1115166	True	matrix,mito	1208	67.39	21.58	0.5894
O94826	data/raw/alphafold/pilot/AF-O94826-F1-model_v6.cif	v6	551383	True	mito	608	80.06	20.72	0.7796
O94903	data/raw/alphafold/pilot/AF-O94903-F1-model_v6.cif	v6	258175	True	matrix,mito	275	89.34	29.02	0.8655
O94925	data/raw/alphafold/pilot/AF-O94925-F1-model_v6.cif	v6	603397	True	hsp60,mito	669	80.2	26.2	0.7474
O95139	data/raw/alphafold/pilot/AF-O95139-F1-model_v6.cif	v6	138737	True	mito	128	90.15	47.69	0.9844
O95140	data/raw/alphafold/pilot/AF-O95140-F1-model_v6.cif	v6	706847	True	mito	757	81.61	28.09	0.8217
O95167	data/raw/alphafold/pilot/AF-O95167-F1-model_v6.cif	v6	86403	True	mito	84	96.72	81.88	1.0
O95168	data/raw/alphafold/pilot/AF-O95168-F1-model_v6.cif	v6	136383	True	mito	129	94.59	62.91	0.9922
O95169	data/raw/alphafold/pilot/AF-O95169-F1-model_v6.cif	v6	189551	True	mito	186	87.83	42.81	0.8387
O95178	data/raw/alphafold/pilot/AF-O95178-F1-model_v6.cif	v6	111172	True	mito	105	71.67	44.34	0.5524
O95182	data/raw/alphafold/pilot/AF-O95182-F1-model_v6.cif	v6	114917	True	mito	113	86.77	44.34	0.8407
O95202	data/raw/alphafold/pilot/AF-O95202-F1-model_v6.cif	v6	675431	True	hsp60,mito	739	66.59	21.98	0.5765
O95258	data/raw/alphafold/pilot/AF-O95258-F1-model_v6.cif	v6	304146	True	mito	325	78.5	28.06	0.7877
O95298	data/raw/alphafold/pilot/AF-O95298-F1-model_v6.cif	v6	128134	True	mito	119	90.92	55.5	0.9412
O95299	data/raw/alphafold/pilot/AF-O95299-F1-model_v6.cif	v6	341478	True	hsp60,mito	355	84.01	23.19	0.8958
O95363	data/raw/alphafold/pilot/AF-O95363-F1-model_v6.cif	v6	435079	True	matrix,mito	451	89.64	24.2	0.898
O95563	data/raw/alphafold/pilot/AF-O95563-F1-model_v6.cif	v6	129372	True	mito	127	89.41	55.97	0.9843
O95571	data/raw/alphafold/pilot/AF-O95571-F1-model_v6.cif	v6	239027	True	matrix,mito	254	92.9	29.2	0.9134
O95721	data/raw/alphafold/pilot/AF-O95721-F1-model_v6.cif	v6	244435	True	mito	258	75.33	32.97	0.624
O95822	data/raw/alphafold/pilot/AF-O95822-F1-model_v6.cif	v6	456684	True	matrix,mito	493	89.92	28.98	0.9128
O95831	data/raw/alphafold/pilot/AF-O95831-F1-model_v6.cif	v6	553874	True	hsp60,mito	613	85.81	26.48	0.7798
O95847	data/raw/alphafold/pilot/AF-O95847-F1-model_v6.cif	v6	302548	True	mito	323	81.05	36.62	0.8421
O95900	data/raw/alphafold/pilot/AF-O95900-F1-model_v6.cif	v6	308929	True	hsp60,matrix,mito	331	85.36	27.84	0.858
O96000	data/raw/alphafold/pilot/AF-O96000-F1-model_v6.cif	v6	178768	True	hsp60,mito	172	90.75	35.81	0.9593
O96008	data/raw/alphafold/pilot/AF-O96008-F1-model_v6.cif	v6	319368	True	mito	361	78.36	19.25	0.7867
O96011	data/raw/alphafold/pilot/AF-O96011-F1-model_v6.cif	v6	241235	True	mito	259	88.82	36.62	0.8996
P00156	data/raw/alphafold/pilot/AF-P00156-F1-model_v6.cif	v6	358112	True	mito	380	97.74	71.56	1.0
P00350	data/raw/alphafold/pilot/AF-P00350-F1-model_v6.cif	v6	429555	True	groel	468	98.03	61.66	0.9979
P00363	data/raw/alphafold/pilot/AF-P00363-F1-model_v6.cif	v6	545030	True	groel	602	96.07	52.66	0.985
P00367	data/raw/alphafold/pilot/AF-P00367-F1-model_v6.cif	v6	507083	True	hsp60,matrix,mito	558	90.22	24.72	0.8925
P00387	data/raw/alphafold/pilot/AF-P00387-F1-model_v6.cif	v6	290115	True	mito	301	93.85	42.25	0.9336
P00390	data/raw/alphafold/pilot/AF-P00390-F1-model_v6.cif	v6	467011	True	hsp60,matrix,mito	522	91.62	32.03	0.8851
P00393	data/raw/alphafold/pilot/AF-P00393-F1-model_v6.cif	v6	396043	True	groel	434	89.79	37.88	0.924
P00395	data/raw/alphafold/pilot/AF-P00395-F1-model_v6.cif	v6	472768	True	mito	513	95.77	57.66	0.9903
P00403	data/raw/alphafold/pilot/AF-P00403-F1-model_v6.cif	v6	219536	True	hsp60,mito	227	94.74	38.5	0.9736
P00414	data/raw/alphafold/pilot/AF-P00414-F1-model_v6.cif	v6	254938	True	mito	261	97.97	62.41	0.9962
P00441	data/raw/alphafold/pilot/AF-P00441-F1-model_v6.cif	v6	144236	True	mito	154	97.93	70.94	1.0
P00480	data/raw/alphafold/pilot/AF-P00480-F1-model_v6.cif	v6	335076	True	matrix,mito	354	92.2	30.66	0.9068
P00490	data/raw/alphafold/pilot/AF-P00490-F1-model_v6.cif	v6	742337	True	groel	797	98.22	77.88	1.0
P00505	data/raw/alphafold/pilot/AF-P00505-F1-model_v6.cif	v6	395816	True	hsp60,mito	430	94.27	38.22	0.9326
P00846	data/raw/alphafold/pilot/AF-P00846-F1-model_v6.cif	v6	213016	True	hsp60,mito	226	88.93	47.0	0.9867
P00944	data/raw/alphafold/pilot/AF-P00944-F1-model_v6.cif	v6	415093	True	groel	440	97.85	58.25	0.9955
P02794	data/raw/alphafold/pilot/AF-P02794-F1-model_v6.cif	v6	183614	True	mito	183	95.33	32.56	0.9508
P02925	data/raw/alphafold/pilot/AF-P02925-F1-model_v6.cif	v6	263180	True	groel	296	94.51	38.97	0.9189
P02931	data/raw/alphafold/pilot/AF-P02931-F1-model_v6.cif	v6	332960	True	groel	362	94.28	25.8	0.9392
P03813	data/raw/alphafold/pilot/AF-P03813-F1-model_v6.cif	v6	216981	True	groel	230	97.43	78.81	1.0
P03886	data/raw/alphafold/pilot/AF-P03886-F1-model_v6.cif	v6	300208	True	mito	318	91.73	51.53	0.9811
P03891	data/raw/alphafold/pilot/AF-P03891-F1-model_v6.cif	v6	325090	True	mito	347	95.15	74.44	1.0
P03897	data/raw/alphafold/pilot/AF-P03897-F1-model_v6.cif	v6	118949	True	mito	115	91.86	61.56	0.9913
P03901	data/raw/alphafold/pilot/AF-P03901-F1-model_v6.cif	v6	95017	True	mito	98	88.65	65.88	0.9796
P03905	data/raw/alphafold/pilot/AF-P03905-F1-model_v6.cif	v6	426075	True	mito	459	93.94	42.69	0.9804
P03915	data/raw/alphafold/pilot/AF-P03915-F1-model_v6.cif	v6	550183	True	mito	603	92.67	57.81	0.9867
P03923	data/raw/alphafold/pilot/AF-P03923-F1-model_v6.cif	v6	163989	True	mito	174	84.8	34.25	0.8793
P03928	data/raw/alphafold/pilot/AF-P03928-F1-model_v6.cif	v6	74929	True	mito	68	73.65	48.84	0.4559
P04040	data/raw/alphafold/pilot/AF-P04040-F1-model_v6.cif	v6	497136	True	mito	527	95.79	36.06	0.9488
P04179	data/raw/alphafold/pilot/AF-P04179-F1-model_v6.cif	v6	213975	True	hsp60,matrix,mito	222	93.19	43.03	0.8964
P04181	data/raw/alphafold/pilot/AF-P04181-F1-model_v6.cif	v6	406466	True	hsp60,matrix,mito	439	94.08	35.0	0.9226
P05020	data/raw/alphafold/pilot/AF-P05020-F1-model_v6.cif	v6	327783	True	groel	348	97.01	45.0	0.9885
P05055	data/raw/alphafold/pilot/AF-P05055-F1-model_v6.cif	v6	633675	True	groel	711	92.25	33.22	0.9677
P05091	data/raw/alphafold/pilot/AF-P05091-F1-model_v6.cif	v6	469280	True	hsp60,matrix,mito	517	95.92	30.75	0.9555
P05108	data/raw/alphafold/pilot/AF-P05108-F1-model_v6.cif	v6	496097	True	mito	521	91.71	24.58	0.906
P05141	data/raw/alphafold/pilot/AF-P05141-F1-model_v6.cif	v6	277505	True	hsp60,mito	298	91.72	58.78	0.9933
P05165	data/raw/alphafold/pilot/AF-P05165-F1-model_v6.cif	v6	656756	True	matrix,mito	728	87.45	22.72	0.8984
P05166	data/raw/alphafold/pilot/AF-P05166-F1-model_v6.cif	v6	483381	True	hsp60,matrix,mito	539	93.3	50.72	0.9406
P05496	data/raw/alphafold/pilot/AF-P05496-F1-model_v6.cif	v6	127493	True	mito	136	74.01	29.33	0.5809
P06576	data/raw/alphafold/pilot/AF-P06576-F1-model_v6.cif	v6	470655	True	hsp60,mito	529	85.23	27.17	0.8885
P06746	data/raw/alphafold/pilot/AF-P06746-F1-model_v6.cif	v6	321325	True	matrix,mito	335	94.25	29.16	0.9672
P06959	data/raw/alphafold/pilot/AF-P06959-F1-model_v6.cif	v6	546447	True	groel	630	76.68	19.53	0.7746
P06987	data/raw/alphafold/pilot/AF-P06987-F1-model_v6.cif	v6	337721	True	groel	355	94.51	53.59	0.9887
P06996	data/raw/alphafold/pilot/AF-P06996-F1-model_v6.cif	v6	341405	True	groel	367	93.19	26.89	0.9428
P07108	data/raw/alphafold/pilot/AF-P07108-F1-model_v6.cif	v6	91389	True	mito	87	97.21	76.31	1.0
P07148	data/raw/alphafold/pilot/AF-P07148-F1-model_v6.cif	v6	127404	True	mito	127	95.09	75.0	1.0
P07195	data/raw/alphafold/pilot/AF-P07195-F1-model_v6.cif	v6	308452	True	mito	334	96.1	71.25	1.0
P07203			0	False	matrix,mito				
P07237	data/raw/alphafold/pilot/AF-P07237-F1-model_v6.cif	v6	474898	True	hsp60	508	88.48	31.97	0.9016
P07650	data/raw/alphafold/pilot/AF-P07650-F1-model_v6.cif	v6	394071	True	groel	440	96.74	59.09	0.9977
P07919	data/raw/alphafold/pilot/AF-P07919-F1-model_v6.cif	v6	95721	True	mito	91	87.64	48.69	0.8462
P07954	data/raw/alphafold/pilot/AF-P07954-F1-model_v6.cif	v6	452217	True	hsp60,matrix,mito	510	92.7	33.66	0.9059
P08202	data/raw/alphafold/pilot/AF-P08202-F1-model_v6.cif	v6	464761	True	groel	500	98.06	57.53	0.998
P08203	data/raw/alphafold/pilot/AF-P08203-F1-model_v6.cif	v6	220250	True	groel	231	96.91	49.16	0.9784
P08244	data/raw/alphafold/pilot/AF-P08244-F1-model_v6.cif	v6	226384	True	groel	245	93.25	37.66	0.9347
P08559	data/raw/alphafold/pilot/AF-P08559-F1-model_v6.cif	v6	361067	True	hsp60,matrix,mito	390	94.5	36.0	0.9282
P08574	data/raw/alphafold/pilot/AF-P08574-F1-model_v6.cif	v6	298497	True	hsp60,mito	325	84.92	31.89	0.8123
P08622	data/raw/alphafold/pilot/AF-P08622-F1-model_v6.cif	v6	344913	True	groel	376	85.94	29.19	0.8856
P09001	data/raw/alphafold/pilot/AF-P09001-F1-model_v6.cif	v6	326254	True	hsp60,matrix,mito	348	86.77	29.36	0.8736
P09053	data/raw/alphafold/pilot/AF-P09053-F1-model_v6.cif	v6	389751	True	groel	417	96.11	69.19	0.9976
P09110	data/raw/alphafold/pilot/AF-P09110-F1-model_v6.cif	v6	370901	True	mito	424	93.96	29.86	0.9245
P09372	data/raw/alphafold/pilot/AF-P09372-F1-model_v6.cif	v6	187471	True	groel	197	84.66	31.8	0.8122
P09417	data/raw/alphafold/pilot/AF-P09417-F1-model_v6.cif	v6	222629	True	matrix,mito	244	96.1	41.97	0.959
P09622	data/raw/alphafold/pilot/AF-P09622-F1-model_v6.cif	v6	450476	True	hsp60,matrix,mito	509	93.98	31.34	0.9293
P09669	data/raw/alphafold/pilot/AF-P09669-F1-model_v6.cif	v6	81372	True	mito	75	94.8	55.34	0.9733
P0A6A3	data/raw/alphafold/pilot/AF-P0A6A3-F1-model_v6.cif	v6	363081	True	groel	400	96.88	58.91	0.9975
P0A6B7	data/raw/alphafold/pilot/AF-P0A6B7-F1-model_v6.cif	v6	376690	True	groel	404	95.14	37.44	0.9703
P0A6C1	data/raw/alphafold/pilot/AF-P0A6C1-F1-model_v6.cif	v6	268064	True	groel	285	97.27	37.06	0.986
P0A6D7	data/raw/alphafold/pilot/AF-P0A6D7-F1-model_v6.cif	v6	170769	True	groel	173	92.52	34.44	0.948
P0A6J5	data/raw/alphafold/pilot/AF-P0A6J5-F1-model_v6.cif	v6	397586	True	groel	432	93.53	30.17	0.9745
P0A6L0	data/raw/alphafold/pilot/AF-P0A6L0-F1-model_v6.cif	v6	238137	True	groel	259	96.39	48.62	0.9653
P0A6L2	data/raw/alphafold/pilot/AF-P0A6L2-F1-model_v6.cif	v6	266124	True	groel	292	98.19	68.38	0.9966
P0A6L4	data/raw/alphafold/pilot/AF-P0A6L4-F1-model_v6.cif	v6	276828	True	groel	297	98.45	59.78	0.9966
P0A6M8	data/raw/alphafold/pilot/AF-P0A6M8-F1-model_v6.cif	v6	638588	True	groel	704	86.66	44.5	0.9034
P0A6P1	data/raw/alphafold/pilot/AF-P0A6P1-F1-model_v6.cif	v6	258037	True	groel	283	94.3	49.19	0.9682
P0A6P7	data/raw/alphafold/pilot/AF-P0A6P7-F1-model_v6.cif	v6	203965	True	groel	210	90.9	35.88	0.9524
P0A6P9	data/raw/alphafold/pilot/AF-P0A6P9-F1-model_v6.cif	v6	383406	True	groel	432	97.41	76.88	1.0
P0A6Q3	data/raw/alphafold/pilot/AF-P0A6Q3-F1-model_v6.cif	v6	167124	True	groel	172	97.1	63.12	0.9942
P0A6T5	data/raw/alphafold/pilot/AF-P0A6T5-F1-model_v6.cif	v6	213333	True	groel	222	96.69	44.66	0.9775
P0A6U3	data/raw/alphafold/pilot/AF-P0A6U3-F1-model_v6.cif	v6	574930	True	groel	629	93.96	28.0	0.9905
