accession	n_domains	top_superfamily	source
A0A0B4J234	1	2.60.40.10	InterPro_Gene3D
A0A0B4J235	1	2.60.40.10	InterPro_Gene3D
A0A0B4J237	1	2.60.40.10	InterPro_Gene3D
A0A0B4J238	1	2.60.40.10	InterPro_Gene3D
A0A0B4J240	1	2.60.40.10	InterPro_Gene3D
A0A0B4J241	1	2.60.40.10	InterPro_Gene3D
A0A0B4J244	1	2.60.40.10	InterPro_Gene3D
A0A0B4J245	1	2.60.40.10	InterPro_Gene3D
A0A0B4J248	1	2.60.40.10	InterPro_Gene3D
A0A0B4J249	1	2.60.40.10	InterPro_Gene3D
A0A0B4J262	1	2.60.40.10	InterPro_Gene3D
A0A0B4J263	1	2.60.40.10	InterPro_Gene3D
A0A0B4J264	1	2.60.40.10	InterPro_Gene3D
A0A0B4J265	1	2.60.40.10	InterPro_Gene3D
A0A0B4J266	1	2.60.40.10	InterPro_Gene3D
A0A0B4J268	1	2.60.40.10	InterPro_Gene3D
A0A0B4J271	1	2.60.40.10	InterPro_Gene3D
A0A0B4J272	1	2.60.40.10	InterPro_Gene3D
A0A0B4J273	1	2.60.40.10	InterPro_Gene3D
A0A0B4J274	1	2.60.40.10	InterPro_Gene3D
A0A0B4J275	1	2.60.40.10	InterPro_Gene3D
A0A0B4J276	1	2.60.40.10	InterPro_Gene3D
A0A0B4J277	1	2.60.40.10	InterPro_Gene3D
A0A0B4J279	1	2.60.40.10	InterPro_Gene3D
A0A0B4J280	1	2.60.40.10	InterPro_Gene3D
A0A0B4J2A2	1	2.40.100.10	InterPro_Gene3D
A0A0B4J2B5	1	2.60.40.10	InterPro_Gene3D
A0A0B4J2B6	1	2.60.40.10	InterPro_Gene3D
A0A0B4J2B8	1	2.60.40.10	InterPro_Gene3D
A0A0B4J2D9	1	2.60.40.10	InterPro_Gene3D
A0A0B4J2E0	1	2.60.40.10	InterPro_Gene3D
A0A0B4J2H0	1	2.60.40.10	InterPro_Gene3D
A0A0C4DH24	1	2.60.40.10	InterPro_Gene3D
A0A0C4DH25	1	2.60.40.10	InterPro_Gene3D
A0A0C4DH26	1	2.60.40.10	InterPro_Gene3D
A0A0C4DH27	1	2.60.40.10	InterPro_Gene3D
A0A0C4DH28	1	2.60.40.10	InterPro_Gene3D
A0A0C4DH29	1	2.60.40.10	InterPro_Gene3D
A0A0C4DH30	1	2.60.40.10	InterPro_Gene3D
A0A0C4DH31	1	2.60.40.10	InterPro_Gene3D
A0A0C4DH32	1	2.60.40.10	InterPro_Gene3D
A0A0C4DH33	1	2.60.40.10	InterPro_Gene3D
A0A0C4DH34	1	2.60.40.10	InterPro_Gene3D
A0A0C4DH35	1	2.60.40.10	InterPro_Gene3D
A0A0C4DH36	1	2.60.40.10	InterPro_Gene3D
A0A0C4DH38	1	2.60.40.10	InterPro_Gene3D
A0A0C4DH39	1	2.60.40.10	InterPro_Gene3D
A0A0C4DH41	1	2.60.40.10	InterPro_Gene3D
A0A0C4DH42	1	2.60.40.10	InterPro_Gene3D
A0A0C4DH43	1	2.60.40.10	InterPro_Gene3D
A0A0C4DH55	1	2.60.40.10	InterPro_Gene3D
A0A0C4DH59	1	2.60.40.10	InterPro_Gene3D
A0A0C4DH67	1	2.60.40.10	InterPro_Gene3D
A0A0C4DH68	1	2.60.40.10	InterPro_Gene3D
A0A0C4DH69	1	2.60.40.10	InterPro_Gene3D
A0A0C4DH72	1	2.60.40.10	InterPro_Gene3D
A0A0C4DH73	1	2.60.40.10	InterPro_Gene3D
A0A0C4DH90	1	2.60.40.10	InterPro_Gene3D
A0A0G2JLG4	1	2.60.470.10	InterPro_Gene3D
A0A0G2JMD5	1	3.80.10.10	InterPro_Gene3D
A0A0G2JMH3	1	3.40.50.300	InterPro_Gene3D
A0A0G2JMI3	1	2.60.40.10	InterPro_Gene3D
A0A0G2JMM0	3	2.60.40.10	InterPro_Gene3D
A0A0G2JN01	3	2.60.40.10	InterPro_Gene3D
A0A0G2JN68	2	2.60.40.10	InterPro_Gene3D
A0A0G2JNF4	2	2.60.40.10	InterPro_Gene3D
A0A0G2JNH3	1	1.20.1070.10	InterPro_Gene3D
A0A0G2JRQ6	1	2.60.40.10	InterPro_Gene3D
A0A0G2JS06	1	2.60.40.10	InterPro_Gene3D
A0A0J9YVY3	1	2.60.40.10	InterPro_Gene3D
A0A0J9YW62	1	2.60.40.10	InterPro_Gene3D
A0A0J9YWU9	1	2.60.40.10	InterPro_Gene3D
A0A0J9YX35	1	2.60.40.10	InterPro_Gene3D
A0A0J9YX57	2	1.10.10.1200	InterPro_Gene3D
A0A0J9YX75	1	2.60.40.10	InterPro_Gene3D
A0A0J9YXX1	1	2.60.40.10	InterPro_Gene3D
A0A0J9YXY3	1	2.60.40.10	InterPro_Gene3D
A0A0J9YY99	1	2.60.40.10	InterPro_Gene3D
A0A0K0K1A3	1	2.60.40.10	InterPro_Gene3D
A0A0K0K1A5	1	2.60.40.10	InterPro_Gene3D
A0A0K0K1B3	1	2.60.40.10	InterPro_Gene3D
A0A0K0K1C0	1	2.60.40.10	InterPro_Gene3D
A0A0K0K1C4	1	2.60.40.10	InterPro_Gene3D
A0A0K0K1D8	1	2.60.40.10	InterPro_Gene3D
A0A0K0K1E9	1	2.60.40.10	InterPro_Gene3D
A0A0K0K1G6	1	2.60.40.10	InterPro_Gene3D
A0A0K0K1G8	1	2.60.40.10	InterPro_Gene3D
A0A0K2S4Q6	1	2.60.40.10	InterPro_Gene3D
A0A0U1RQE8	1	3.40.630.30	InterPro_Gene3D
A0A0U1RQI7	5	2.150.10.10	InterPro_Gene3D
A0A0U1RR11	1	2.170.150.70	InterPro_Gene3D
A0A0U1RRI6	1	2.170.150.70	InterPro_Gene3D
A0A0X1KG70	1	1.20.1070.10	InterPro_Gene3D
A0A140TA62	3	1.20.5.1160	InterPro_Gene3D
A0A191URJ7	2	2.60.40.10	InterPro_Gene3D
A0A1B0GTH9	2	3.30.160.60	InterPro_Gene3D
A0A1B0GTS1	1	1.10.10.10	InterPro_Gene3D
A0A1B0GTU1	1	4.10.1000.10	InterPro_Gene3D
A0A1B0GTW7	2	3.10.170.20	InterPro_Gene3D
A0A1B0GUS4	1	3.10.110.10	InterPro_Gene3D
A0A1B0GUV8	1	2.40.128.20	InterPro_Gene3D
A0A1B0GV85	1	2.60.40.4060	InterPro_Gene3D
A0A1B0GVH4	2	2.40.10.10	InterPro_Gene3D
A0A1B0GW35	1	2.30.29.90	InterPro_Gene3D
A0A1B0GWH4	1	1.10.10.10	InterPro_Gene3D
A0A1B0GWK0	1	1.10.238.10	InterPro_Gene3D
A0A1B0GX31	1	2.60.40.10	InterPro_Gene3D
A0A1B0GX49	1	2.60.40.10	InterPro_Gene3D
A0A1B0GX51	1	2.60.40.10	InterPro_Gene3D
A0A1B0GX56	1	2.60.40.10	InterPro_Gene3D
A0A1B0GX68	1	2.60.40.10	InterPro_Gene3D
A0A1B0GX78	1	2.60.40.10	InterPro_Gene3D
A0A1B0GX95	1	2.60.40.10	InterPro_Gene3D
A0A1B0GXF2	1	2.60.40.10	InterPro_Gene3D
A0A1W2PP81	1	1.10.20.10	InterPro_Gene3D
A0A1W2PPD8	1	2.60.120.650	InterPro_Gene3D
A0A1W2PPE2	1	1.10.20.10	InterPro_Gene3D
A0A1W2PPF3	2	1.10.10.60	InterPro_Gene3D
A0A1W2PPG7	2	4.10.260.10	InterPro_Gene3D
A0A1W2PPH5	1	1.10.20.10	InterPro_Gene3D
A0A1W2PPK0	1	1.10.10.60	InterPro_Gene3D
A0A1W2PPL8	1	1.10.20.10	InterPro_Gene3D
A0A1W2PPM1	1	1.10.10.60	InterPro_Gene3D
A0A1W2PPW3	1	1.10.20.10	InterPro_Gene3D
A0A1W2PQ09	1	1.10.20.10	InterPro_Gene3D
A0A1W2PQ27	2	3.40.50.2300	InterPro_Gene3D
A0A1W2PQ64	2	3.40.50.2300	InterPro_Gene3D
A0A1W2PQ72	1	1.10.10.60	InterPro_Gene3D
A0A1W2PQ73	1	1.10.10.10	InterPro_Gene3D
A0A1W2PQC6	2	3.40.50.2300	InterPro_Gene3D
A0A1W2PQD8	2	3.40.50.2300	InterPro_Gene3D
A0A1W2PQF6	2	2.60.40.10	InterPro_Gene3D
A0A1W2PQJ5	2	3.40.50.2300	InterPro_Gene3D
A0A1W2PQL4	8	3.30.160.60	InterPro_Gene3D
A0A1W2PR19	2	1.20.1050.10	InterPro_Gene3D
A0A1W2PR48	1	2.130.10.10	InterPro_Gene3D
A0A1W2PR64	1	1.10.20.10	InterPro_Gene3D
A0A1W2PR75	2	3.40.50.2300	InterPro_Gene3D
A0A1W2PR95	3	1.25.40.540	InterPro_Gene3D
A0A1W2PRG0	2	1.20.1050.10	InterPro_Gene3D
A0A1W2PRN1	1	1.20.5.1700	InterPro_Gene3D
A0A1W2PRN6	1	1.10.20.10	InterPro_Gene3D
A0A1W2PRP0	1	1.10.10.10	InterPro_Gene3D
A0A1W2PRS3	2	2.60.40.10	InterPro_Gene3D
A0A1W2PRV1	1	1.10.20.10	InterPro_Gene3D
A0A286YEU6	1	1.20.1070.10	InterPro_Gene3D
A0A2R8Y4L2	2	3.30.70.330	InterPro_Gene3D
A0A2R8Y4L6	1	1.20.1070.10	InterPro_Gene3D
A0A2R8Y4M4	1	3.30.40.10	InterPro_Gene3D
A0A2R8Y619	1	1.10.20.10	InterPro_Gene3D
A0A2R8Y7D0	1	3.10.20.90	InterPro_Gene3D
A0A2R8YCY7	2	2.60.40.10	InterPro_Gene3D
A0A2R8YE69	1	1.20.5.340	InterPro_Gene3D
A0A2R8YED5	1	1.20.1070.10	InterPro_Gene3D
A0A2R8YEH3	1	1.20.1070.10	InterPro_Gene3D
A0A2R8YFL7	1	2.60.40.3210	InterPro_Gene3D
A0A2R8YFR7	2	1.20.900.10	InterPro_Gene3D
A0A2Z4LIS9	1	1.10.10.10	InterPro_Gene3D
A0A376A8Z9	2	2.60.40.10	InterPro_Gene3D
A0A3B3IRV3	1	3.10.400.20	InterPro_Gene3D
A0A3B3IT33	3	2.60.120.920	InterPro_Gene3D
A0A3B3IT45	1	1.20.1070.10	InterPro_Gene3D
A0A3B3IU63	1	1.10.20.10	InterPro_Gene3D
A0A494C071	2	2.30.30.140	InterPro_Gene3D
A0A494C103	1	2.60.120.290	InterPro_Gene3D
A0A494C1R9	2	1.20.5.1500	InterPro_Gene3D
A0A499FJF3	1	1.10.555.10	InterPro_Gene3D
A0A539	1	2.60.40.10	InterPro_Gene3D
A0A576	1	2.60.40.10	InterPro_Gene3D
A0A577	1	2.60.40.10	InterPro_Gene3D
A0A578	1	2.60.40.10	InterPro_Gene3D
A0A584	1	2.60.40.10	InterPro_Gene3D
A0A589	1	2.60.40.10	InterPro_Gene3D
A0A597	1	2.60.40.10	InterPro_Gene3D
A0A599	1	2.60.40.10	InterPro_Gene3D
A0A5A2	1	2.60.40.10	InterPro_Gene3D
A0A5A6	1	2.60.40.10	InterPro_Gene3D
A0A5B0	1	2.60.40.10	InterPro_Gene3D
A0A5B6	1	2.60.40.10	InterPro_Gene3D
A0A5B7	1	2.60.40.10	InterPro_Gene3D
A0A5B9	1	2.60.40.10	InterPro_Gene3D
A0A5F9Z9Y6	2	2.60.40.10	InterPro_Gene3D
A0A5F9ZH88	2	2.60.40.10	InterPro_Gene3D
A0A5F9ZHS7	1	1.20.5.170	InterPro_Gene3D
A0A5K1VDZ0	2	2.60.40.10	InterPro_Gene3D
A0A7I2V3R4	1	3.30.40.10	InterPro_Gene3D
A0A7P0TAN4	15	3.30.160.60	InterPro_Gene3D
A0A804HLA8	1	4.10.260.10	InterPro_Gene3D
A0A8I5KQE6	1	3.40.50.10490	InterPro_Gene3D
A0A8I5KTY6	8	3.30.160.60	InterPro_Gene3D
A0A8I5KW96	1	3.40.50.300	InterPro_Gene3D
A0A8Q3WKH5	1	1.10.20.10	InterPro_Gene3D
A0A8V8TLY5	1	2.60.40.10	InterPro_Gene3D
A0A8V8TMC4	1	1.10.472.10	InterPro_Gene3D
A0AAG2SUK6	1	3.30.70.330	InterPro_Gene3D
A0AAG2SVG9	1	1.25.40.20	InterPro_Gene3D
A0AAG2SVT6	1	2.60.40.10	InterPro_Gene3D
A0AAG2SWI5	10	1.50.10.20	InterPro_Gene3D
A0AAG2SWP8	1	2.80.10.50	InterPro_Gene3D
A0AAG2SXN7	3	3.20.20.220	InterPro_Gene3D
A0AAG2SXZ4	1	2.60.40.10	InterPro_Gene3D
A0AAG2TCG9	1	1.25.10.10	InterPro_Gene3D
A0AAG2TTP8	2	3.10.290.70	InterPro_Gene3D
A0AAG2TU05	1	2.60.40.10	InterPro_Gene3D
A0AAG2TU59	1	3.30.40.10	InterPro_Gene3D
A0AAG2TV02	1	2.60.40.10	InterPro_Gene3D
A0AAG2TVE0	1	2.60.40.10	InterPro_Gene3D
A0AAG2TWA4	2	1.25.40.20	InterPro_Gene3D
A0AAG2UUX9	5	2.10.25.10	InterPro_Gene3D
A0AAG2UWQ9	3	3.30.1370.50	InterPro_Gene3D
A0AAG2UXJ6	1	1.20.5.1700	InterPro_Gene3D
A0AAG2UXZ5	3	2.60.120.200	InterPro_Gene3D
A0AAQ5BHU3	9	1.10.10.200	InterPro_Gene3D
A0AAQ5BIG5	4	1.10.1200.30	InterPro_Gene3D
A0ABB0MV19	2	1.20.1730.10	InterPro_Gene3D
A0AUZ9	1	6.10.250.3170	InterPro_Gene3D
A0AV02	1	1.20.1740.10	InterPro_Gene3D
A0AV96	3	3.30.70.330	InterPro_Gene3D
A0AVF1	3	1.25.40.10	InterPro_Gene3D
A0AVI2	6	2.60.40.150	InterPro_Gene3D
A0AVK6	2	1.10.10.10	InterPro_Gene3D
A0AVT1	9	1.10.10.2660	InterPro_Gene3D
A0FGR8	3	2.60.40.150	InterPro_Gene3D
A0FGR9	3	2.60.40.150	InterPro_Gene3D
A0JD32	1	2.60.40.10	InterPro_Gene3D
A0JD36	1	2.60.40.10	InterPro_Gene3D
A0JD37	1	2.60.40.10	InterPro_Gene3D
A0JP26	3	1.25.40.20	InterPro_Gene3D
A0M8Q6	1	2.60.40.10	InterPro_Gene3D
A0MZ66	2	1.20.5.1160	InterPro_Gene3D
A0PJE2	1	3.40.50.720	InterPro_Gene3D
A0PJK1	1	1.20.1730.10	InterPro_Gene3D
A0PJX0	2	1.10.238.10	InterPro_Gene3D
A0PJY2	6	3.30.160.60	InterPro_Gene3D
A0PJZ0	1	1.25.40.20	InterPro_Gene3D
A0PJZ3	1	3.90.550.10	InterPro_Gene3D
A0PK11	1	1.20.140.150	InterPro_Gene3D
A1A4F0	1	1.20.1280.290	InterPro_Gene3D
A1A4S6	4	1.10.555.10	InterPro_Gene3D
A1A4Y4	1	3.40.50.300	InterPro_Gene3D
A1A5C7	1	1.20.1250.20	InterPro_Gene3D
A1IGU5	4	1.20.1270.60	InterPro_Gene3D
A1KZ92	7	1.10.640.10	InterPro_Gene3D
A1L020	3	3.30.1370.10	InterPro_Gene3D
A1L0T0	3	3.40.50.1220	InterPro_Gene3D
A1L157	1	1.10.1450.10	InterPro_Gene3D
A1L167	1	3.10.110.10	InterPro_Gene3D
A1L1A6	1	2.60.40.10	InterPro_Gene3D
A1L390	2	1.20.900.10	InterPro_Gene3D
A1L3X4	1	4.10.10.10	InterPro_Gene3D
A1L453	1	2.40.10.10	InterPro_Gene3D
A1L4H1	5	3.10.250.10	InterPro_Gene3D
A1L4K1	4	2.60.120.920	InterPro_Gene3D
A1X283	5	2.30.30.40	InterPro_Gene3D
A1XBS5	1	1.20.1270.60	InterPro_Gene3D
A1YPR0	5	3.30.160.60	InterPro_Gene3D
A1Z1Q3	1	3.40.220.10	InterPro_Gene3D
A2A288	1	3.40.50.11980	InterPro_Gene3D
A2A2Y4	3	1.20.80.10	InterPro_Gene3D
A2A2Z9	2	1.25.40.20	InterPro_Gene3D
A2A368	2	1.10.10.1200	InterPro_Gene3D
A2A3K4	1	3.90.190.10	InterPro_Gene3D
A2A3L6	2	1.25.40.10	InterPro_Gene3D
A2A3N6	6	3.30.800.10	InterPro_Gene3D
A2CJ06	3	1.10.238.10	InterPro_Gene3D
A2NJV5	1	2.60.40.10	InterPro_Gene3D
A2PYH4	4	1.10.10.10	InterPro_Gene3D
A2RRD8	14	3.30.160.60	InterPro_Gene3D
A2RRH5	3	2.130.10.10	InterPro_Gene3D
A2RRP1	2	2.130.10.10	InterPro_Gene3D
A2RTX5	4	3.10.20.30	InterPro_Gene3D
A2RTY3	2	1.25.10.10	InterPro_Gene3D
A2RU49	2	3.30.200.20	InterPro_Gene3D
A2RU54	1	1.10.10.60	InterPro_Gene3D
A2RUC4	2	2.60.120.650	InterPro_Gene3D
A2RUH7	3	2.60.40.10	InterPro_Gene3D
A2RUS2	3	2.130.10.10	InterPro_Gene3D
A2RUU4	1	2.10.80.10	InterPro_Gene3D
A2VCK2	2	3.10.20.230	InterPro_Gene3D
A2VDF0	1	3.40.1650.10	InterPro_Gene3D
A2VDJ0	1	2.60.40.10	InterPro_Gene3D
A2VEC9	49	2.10.25.10	InterPro_Gene3D
A3KFT3	1	1.20.1070.10	InterPro_Gene3D
A3KMH1	4	3.40.50.300	CATH_pilot
A3KN83	1	3.40.50.300	InterPro_Gene3D
A3QJZ6	1	3.80.10.10	InterPro_Gene3D
A3QJZ7	1	3.80.10.10	InterPro_Gene3D
A4D0S4	13	2.10.25.10	InterPro_Gene3D
A4D126	1	3.90.550.10	InterPro_Gene3D
A4D1E9	2	2.70.210.12	CATH_pilot
A4D1F6	7	1.10.533.10	InterPro_Gene3D
A4D1P6	2	2.130.10.10	InterPro_Gene3D
A4D1S0	1	3.10.100.10	InterPro_Gene3D
A4D1S5	1	3.40.50.300	InterPro_Gene3D
A4D1T9	3	2.40.10.10	InterPro_Gene3D
A4D1Z8	1	2.60.120.200	InterPro_Gene3D
A4D256	2	3.90.190.10	InterPro_Gene3D
A4D2B0	1	3.60.15.10	InterPro_Gene3D
A4D2B8	1	3.30.565.10	InterPro_Gene3D
A4D2G3	1	1.20.1070.10	InterPro_Gene3D
A4D2H0	1	1.20.5.340	InterPro_Gene3D
A4D2P6	5	1.20.1160.20	InterPro_Gene3D
A4FU28	1	1.20.5.340	InterPro_Gene3D
A4FU49	1	2.30.30.40	InterPro_Gene3D
A4FU69	2	1.10.238.10	InterPro_Gene3D
A4GXA9	2	1.10.150.670	InterPro_Gene3D
A4QPB2	1	2.120.10.30	InterPro_Gene3D
A4QPH2	3	1.10.1070.11	InterPro_Gene3D
A5A3E0	6	1.25.40.20	InterPro_Gene3D
A5D8T8	3	2.10.25.10	InterPro_Gene3D
A5D8V6	1	1.10.287.660	InterPro_Gene3D
A5D8W1	2	1.25.10.10	InterPro_Gene3D
A5LHX3	1	3.60.20.10	InterPro_Gene3D
A5PKW4	2	1.10.1000.11	InterPro_Gene3D
A5PLK6	1	1.10.167.10	InterPro_Gene3D
A5PLL1	1	1.25.40.20	InterPro_Gene3D
A5X5Y0	2	1.20.58.390	InterPro_Gene3D
A5YKK6	4	1.25.40.180	InterPro_Gene3D
A5YM72	2	3.30.470.20	InterPro_Gene3D
A6BM72	6	2.10.25.10	InterPro_Gene3D
A6H8M9	4	2.60.40.60	InterPro_Gene3D
A6NC05	1	3.40.30.10	CATH_pilot
A6NC42	1	3.30.1370.10	InterPro_Gene3D
A6NC57	2	1.25.40.20	InterPro_Gene3D
A6NC86	2	2.10.60.10	InterPro_Gene3D
A6NC98	1	1.10.418.10	InterPro_Gene3D
A6NCE7	1	3.10.20.90	InterPro_Gene3D
A6NCF5	3	1.25.40.420	InterPro_Gene3D
A6NCF6	2	1.10.10.1200	InterPro_Gene3D
A6NCI4	3	3.40.50.410	InterPro_Gene3D
A6NCK2	3	2.60.120.920	InterPro_Gene3D
A6NCL1	1	1.20.5.1180	InterPro_Gene3D
A6NCL2	1	4.10.40.50	InterPro_Gene3D
A6NCL7	1	1.25.40.20	InterPro_Gene3D
A6NCM1	2	1.10.8.60	InterPro_Gene3D
A6NCN2	3	1.20.5.1160	InterPro_Gene3D
A6NCQ9	1	3.30.40.10	InterPro_Gene3D
A6NCS4	1	1.10.10.60	InterPro_Gene3D
A6NCV1	1	1.20.1070.10	InterPro_Gene3D
A6NCW0	1	3.90.70.10	InterPro_Gene3D
A6NCW7	1	3.90.70.10	InterPro_Gene3D
A6ND36	1	3.30.870.10	InterPro_Gene3D
