accession	source	n_domains	top_superfamily	cath_class	datasets
O15229	CATH	1	3.50.50.60		mito_bg
O15235	CATH	1	2.40.50.140		hsp60,matrix_bg,mito_bg
O15239	CATH	0			mito_bg
O15270	CATH	2	3.90.1150.10|3.40.640.10		mito_bg
O15382	CATH	2	3.30.470.10|3.20.10.10		hsp60,matrix_bg,mito_bg
O15527	CATH	3	3.30.310.40|1.10.1670.10|1.10.340.30		matrix_bg,mito_bg
O15528	CATH	1	1.10.630.10		mito_bg
O43169	CATH	1	3.10.120.10		mito_bg
O43181	CATH	1	3.30.160.190		hsp60,mito_bg
O43236	CATH	1	3.40.50.300		mito_bg
O43272	CATH	2	3.20.20.220|3.20.20.220		mito_bg
O43325	CATH	0			mito_bg
O43464	CATH	2	2.40.10.120|2.30.42.10		mito_bg
O43488	CATH	1	3.20.20.100		hsp60,matrix_bg,mito_bg
O43521	CATH	0			mito_bg
O43572	CATH	3	1.10.167.10|1.10.167.10|1.10.167.10		mito_bg
O43615	CATH	1	3.10.450.240		hsp60,mito_bg
O43674	CATH	0			mito_bg
O43676	CATH	0			mito_bg
O43677	CATH	0			mito_bg
O43678	CATH	1	3.40.30.10		hsp60,mito_bg
O43708	CATH	2	3.40.30.10|1.20.1050.10		matrix_bg,mito_bg
O43715	CATH	0			mito_bg
O43716	CATH	0			matrix_bg,mito_bg
O43766	CATH	1	3.20.20.70		matrix_bg,mito_bg
O43772	CATH	2	1.50.40.10|1.50.40.10		mito_bg
O43819	CATH	1	3.40.30.10		mito_bg
O43824	CATH	2	3.40.50.11060|3.40.50.300		matrix_bg,mito_bg
O43837	CATH	1	3.40.718.10		matrix_bg,mito_bg
O43847	CATH	4	3.30.830.10|3.30.830.10|3.30.830.10|3.30.830.10		matrix_bg,mito_bg
O43865	CATH	4	3.40.50.1480|3.40.50.1480|3.40.50.720|3.40.50.1480		mito_bg
O43920	CATH	0			mito_bg
O60218	CATH	1	3.20.20.100		mito_bg
O60220	CATH	1	1.10.287.810		mito_bg
O60238	CATH	1	6.10.250.1020		mito_bg
O60260	CATH	3	3.10.20.90|2.20.25.20|1.20.120.1750		mito_bg
O60313	CATH	1	3.40.50.300		mito_bg
O60783	CATH	1	1.10.287.1480		matrix_bg,mito_bg
O60830	CATH	0			mito_bg
O60930	CATH	2	3.40.970.10|3.30.420.10		matrix_bg,mito_bg
O75027	CATH	2	1.20.1560.10|3.40.50.300		mito_bg
O75127	CATH	3	1.25.40.10|1.25.40.10|1.25.40.10		matrix_bg,mito_bg
O75208	CATH	1	1.10.357.10		mito_bg
O75251	CATH	1	3.40.50.12280		mito_bg
O75306	CATH	1	1.10.645.10		hsp60,mito_bg
O75323	CATH	2	3.30.70.100|3.30.70.100		matrix_bg,mito_bg
O75380	CATH	1	2.60.260.40		mito_bg
O75390	CATH	2	1.10.580.10|1.10.230.10		hsp60,matrix_bg,mito_bg
O75394	CATH	1	2.20.28.120		matrix_bg,mito_bg
O75414	CATH	1	3.30.70.141		matrix_bg,mito_bg
O75417	CATH	7	3.40.50.300|3.40.50.300|1.10.3380.20|3.30.420.10|1.20.1060.10|3.30.70.370|1.10.150.20		matrix_bg,mito_bg
O75431	CATH	1	1.20.1050.10		mito_bg
O75438	CATH	0			hsp60,mito_bg
O75439	CATH	2	3.30.830.10|3.30.830.10		hsp60,matrix_bg,mito_bg
O75489	CATH	1	3.30.460.80		hsp60,mito_bg
O75521	CATH	3	1.20.80.10|3.90.226.10|1.10.12.10		hsp60,matrix_bg,mito_bg
O75570	CATH	4	6.10.140.1950|3.30.70.1660|3.30.160.20|3.30.70.1660		matrix_bg,mito_bg
O75600	CATH	2	3.90.1150.10|3.40.640.10		hsp60,mito_bg
O75608	CATH	1	3.40.50.1820		mito_bg
O75616	CATH	2	3.40.50.300|3.30.300.20		hsp60,matrix_bg,mito_bg
O75648	CATH	3	3.40.50.620|2.30.30.280|2.40.30.10		hsp60,matrix_bg,mito_bg
O75746	CATH	3	1.10.238.10|1.10.238.10|1.50.40.10		mito_bg
O75828	CATH	1	3.40.50.720		matrix_bg,mito_bg
O75879	CATH	1	1.10.10.410		matrix_bg,mito_bg
O75880	CATH	1	3.40.30.10		mito_bg
O75891	CATH	5	3.40.50.170|3.10.25.10|1.10.1200.10|3.40.605.10|3.40.309.10		matrix_bg,mito_bg
O75947	CATH	1	6.10.280.70		hsp60,mito_bg
O75964	CATH	0			hsp60,mito_bg
O76031	CATH	2	3.40.50.300|1.10.8.60		hsp60,matrix_bg,mito_bg
O94761	CATH	3	1.10.10.1460|3.40.50.300|3.40.50.300		matrix_bg,mito_bg
O94826	CATH	2	1.25.40.10|1.25.40.10		mito_bg
O94903	CATH	1	3.20.20.10		matrix_bg,mito_bg
O94925	CATH	3	1.10.238.210|3.40.710.10|1.25.40.20		hsp60,mito_bg
O95139	CATH	0			mito_bg
O95140	CATH	2	3.40.50.300|1.20.5.110		mito_bg
O95167	CATH	0			mito_bg
O95168	CATH	0			mito_bg
O95169	CATH	0			mito_bg
O95178	CATH	0			mito_bg
O95182	CATH	0			mito_bg
O95202	CATH	1	1.10.238.10		hsp60,mito_bg
O95258	CATH	1	1.50.40.10		mito_bg
O95298	CATH	0			mito_bg
O95299	CATH	1	3.40.50.300		hsp60,mito_bg
O95363	CATH	2	3.30.930.10|3.30.70.380		matrix_bg,mito_bg
O95563	CATH	0			mito_bg
O95571	CATH	1	3.60.15.10		matrix_bg,mito_bg
O95721	CATH	2	1.20.5.110|1.20.5.110		mito_bg
O95822	CATH	2	1.20.140.90|3.40.630.150		matrix_bg,mito_bg
O95831	CATH	3	3.50.50.60|3.50.50.60|3.30.390.30		hsp60,mito_bg
O95847	CATH	1	1.50.40.10		mito_bg
O95900	CATH	1	3.30.2350.10		hsp60,matrix_bg,mito_bg
O96000	CATH	0			hsp60,mito_bg
O96008	CATH	1	2.40.160.10		mito_bg
O96011	CATH	0			mito_bg
P00156	CATH	1	1.20.810.10		mito_bg
P00350	CATH	3	3.40.50.720|1.10.1040.10|1.20.5.320		groel
P00363	CATH	4	3.50.50.60|3.90.700.10|1.20.58.100|4.10.80.40		groel
P00367	CATH	3	1.10.287.140|3.40.50.10860|3.40.50.720		hsp60,matrix_bg,mito_bg
P00387	CATH	2	2.40.30.10|3.40.50.80		mito_bg
P00390	CATH	3	3.50.50.60|3.50.50.60|3.30.390.30		hsp60,matrix_bg,mito_bg
P00393	CATH	1	3.50.50.100		groel
P00395	CATH	1	1.20.210.10		mito_bg
P00403	CATH	2	1.10.287.90|2.60.40.420		hsp60,mito_bg
P00414	CATH	2	1.10.287.70|1.20.120.80		mito_bg
P00441	CATH	1	2.60.40.200		mito_bg
P00480	CATH	2	3.40.50.1370|3.40.50.1370		matrix_bg,mito_bg
P00490	CATH	2	3.40.50.2000|3.40.50.2000		groel
P00505	CATH	2	3.90.1150.10|3.40.640.10		hsp60,mito_bg
P00846	CATH	1	1.20.120.220		hsp60,mito_bg
P00944	CATH	1	3.20.20.150		groel
P02794	CATH	1	1.20.1260.10		mito_bg
P02925	CATH	2	3.40.50.2300|3.40.50.2300		groel
P02931	CATH	1	2.40.160.10		groel
P03813	CATH	2	3.40.50.1860|3.40.50.1860		groel
P03886	CATH	0			mito_bg
P03891	CATH	0			mito_bg
P03897	CATH	1	1.20.58.1610		mito_bg
P03901	CATH	1	1.10.287.3510		mito_bg
P03905	CATH	0			mito_bg
P03915	CATH	0			mito_bg
P03923	CATH	0			mito_bg
P03928	CATH	0			mito_bg
P04040	CATH	1	2.40.180.10		mito_bg
P04179	CATH	2	1.10.287.990|3.55.40.20		hsp60,matrix_bg,mito_bg
P04181	CATH	2	3.90.1150.10|3.40.640.10		hsp60,matrix_bg,mito_bg
P05020	CATH	1	3.20.20.140		groel
P05055	CATH	4	3.30.230.70|3.30.230.70|3.30.1370.10|2.40.50.140		groel
P05091	CATH	2	3.40.605.10|3.40.309.10		hsp60,matrix_bg,mito_bg
P05108	CATH	1	1.10.630.10		mito_bg
P05141	CATH	1	1.50.40.10		hsp60,mito_bg
P05165	CATH	5	3.40.50.20|3.30.1490.20|3.30.470.20|3.30.700.30|2.40.50.100		matrix_bg,mito_bg
P05166	CATH	2	3.90.226.10|3.90.226.10		hsp60,matrix_bg,mito_bg
P05496	CATH	1	1.20.20.10		mito_bg
P06576	CATH	3	2.40.10.170|3.40.50.300|1.10.1140.10		hsp60,mito_bg
P06746	CATH	4	1.10.150.110|1.10.150.20|3.30.460.10|3.30.210.10		matrix_bg,mito_bg
P06959	CATH	5	2.40.50.100|2.40.50.100|2.40.50.100|4.10.320.10|3.30.559.10		groel
P06987	CATH	3	3.40.50.1000|3.30.230.40|3.30.230.40		groel
P06996	CATH	1	2.40.160.10		groel
P07108	CATH	1	1.20.80.10		mito_bg
P07148	CATH	1	2.40.128.20		mito_bg
P07195	CATH	2	3.40.50.720|3.90.110.10		mito_bg
P07203	CATH	1	3.40.30.10		matrix_bg,mito_bg
P07237	CATH	4	3.40.30.10|3.40.30.10|3.40.30.10|3.40.30.10		hsp60
P07650	CATH	3	1.20.970.10|3.40.1030.10|3.90.1170.30		groel
P07919	CATH	1	1.10.287.20		mito_bg
P07954	CATH	3	1.10.275.10|1.20.200.10|1.10.40.30		hsp60,matrix_bg,mito_bg
P08202	CATH	1	3.40.50.10940		groel
P08203	CATH	1	3.40.225.10		groel
P08244	CATH	1	3.20.20.70		groel
P08559	CATH	1	3.40.50.970		hsp60,matrix_bg,mito_bg
P08574	CATH	2	1.10.760.10|1.20.5.100		hsp60,mito_bg
P08622	CATH	4	1.10.287.110|2.60.260.20|2.10.230.10|2.60.260.20		groel
P09001	CATH	2	2.40.30.10|2.40.30.10		hsp60,matrix_bg,mito_bg
P09053	CATH	1	3.40.640.10		groel
P09110	CATH	1	3.40.47.10		mito_bg
P09372	CATH	2	3.90.20.20|2.30.22.10		groel
P09417	CATH	1	3.40.50.720		matrix_bg,mito_bg
P09622	CATH	3	3.50.50.60|3.50.50.60|3.30.390.30		hsp60,matrix_bg,mito_bg
P09669	CATH	1	4.10.93.10		mito_bg
P0A6A3	CATH	2	3.30.420.40|3.30.420.40		groel
P0A6B7	CATH	2	3.90.1150.10|3.40.640.10		groel
P0A6C1	CATH	1	3.20.20.150		groel
P0A6D7	CATH	1	3.40.50.300		groel
P0A6J5	CATH	3	3.50.50.60|3.50.50.60|3.30.9.10		groel
P0A6L0	CATH	1	3.20.20.70		groel
P0A6L2	CATH	1	3.20.20.70		groel
P0A6L4	CATH	1	3.20.20.70		groel
P0A6M8	CATH	5	3.40.50.300|2.40.30.10|3.30.70.870|3.30.230.10|3.30.70.240		groel
P0A6P1	CATH	4	1.10.8.10|3.30.479.20|3.30.479.20|1.10.286.20		groel
P0A6P7	CATH	1	3.40.50.300		groel
P0A6P9	CATH	2	3.30.390.10|3.20.20.120		groel
P0A6Q3	CATH	1	3.10.129.10		groel
P0A6T5	CATH	2	1.10.286.10|3.30.1130.10		groel
P0A6U3	CATH	4	3.50.50.60|3.50.50.60|1.10.10.1800|1.10.150.570		groel
P0A6W5	CATH	2	1.10.287.180|3.10.50.30		groel
P0A6Y5	CATH	3	3.55.30.10|1.10.287.480|3.90.1280.10		groel
P0A6Y8	CATH	5	3.30.420.40|3.30.420.40|3.90.640.10|2.60.34.10|1.20.1270.10		groel
P0A6Z6	CATH	2	1.10.1220.10|3.30.70.1150		groel
P0A705	CATH	5	3.30.56.50|3.40.50.300|2.40.30.10|3.40.50.10050|2.40.30.10		groel
P0A707	CATH	2	3.10.20.80|3.30.110.10		groel
P0A715	CATH	1	3.20.20.70		groel
P0A717	CATH	2	3.40.50.2020|3.40.50.2020		groel
P0A722	CATH	2	2.160.10.10|1.20.1180.10		groel
P0A738	CATH	1	3.30.70.640		groel
P0A776	CATH	1	3.90.79.10		groel
P0A799	CATH	2	3.40.50.1260|3.40.50.1260		groel
P0A7A9	CATH	1	3.90.80.10		groel
P0A7D1	CATH	1	3.40.50.1470		groel
P0A7D4	CATH	3	3.40.440.10|1.10.300.10|3.90.170.10		groel
P0A7X6	CATH	2	2.40.30.60|2.30.30.240		groel
P0A7Z4	CATH	3	3.30.1360.10|2.170.120.12|1.10.150.20		groel
P0A805	CATH	2	1.10.132.20|3.30.1360.40		groel
P0A817	CATH	3	3.30.300.10|3.30.300.10|3.30.300.10		groel
P0A825	CATH	2	3.90.1150.10|3.40.640.10		groel
P0A832	CATH	1	2.40.280.10		groel
P0A850	CATH	3	3.30.70.1050|1.10.3120.10|3.10.50.40		groel
P0A853	CATH	2	3.90.1150.10|3.40.640.10		groel
P0A862	CATH	1	3.40.30.10		groel
P0A873	CATH	2	3.40.1280.10|1.10.1270.20		groel
P0A894	CATH	1	3.40.50.300		groel
P0A8E1	CATH	1	3.40.50.1820		groel
P0A8G3	CATH	2	3.20.20.140|1.10.2020.10		groel
P0A8I5	CATH	1	3.40.50.150		groel
P0A8J8	CATH	2	3.40.50.300|3.40.50.300		groel
P0A8M0	CATH	2	2.40.50.140|3.30.930.10		groel
P0A8M3	CATH	5	3.10.20.30|3.30.980.10|3.30.54.20|3.30.930.10|3.40.50.800		groel
P0A8S1	CATH	2	1.10.10.10|3.40.190.290		groel
P0A8T7	CATH	10	4.10.860.120|2.40.40.20|1.10.40.90|1.10.274.100|1.10.132.30|2.40.50.100|2.40.50.100|1.10.1790.20|2.40.50.100|1.10.150.390		groel
P0A8U2	CATH	1	3.60.10.10		groel
P0A8V2	CATH	9	3.90.1100.10|3.90.1110.10|3.90.1100.10|2.30.150.10|2.40.50.100|2.40.50.150|6.10.140.1670|2.40.270.10|3.90.1800.10		groel
P0A8W8	CATH	2	1.10.287.680|1.10.3190.10		groel
P0A8Y3	CATH	2	3.40.50.1000|1.10.150.240		groel
P0A910	CATH	2	2.40.160.20|3.30.1330.60		groel
P0A948	CATH	1	3.40.630.30		groel
P0A953	CATH	2	3.40.47.10|3.40.47.10		groel
P0A959	CATH	2	3.90.1150.10|3.40.640.10		groel
P0A991	CATH	1	3.20.20.70		groel
P0A9B2	CATH	2	3.40.50.720|3.30.360.10		groel
P0A9D4	CATH	2	1.10.3130.10|2.160.10.10		groel
P0A9E0	CATH	3	2.60.120.280|1.10.10.60|1.10.10.60		groel
P0A9F3	CATH	3	1.10.10.10|3.40.190.10|3.40.190.10		groel
P0A9H1	CATH	1	3.40.470.10		groel
P0A9J8	CATH	4	1.20.59.10|3.40.190.10|3.40.190.10|3.30.70.260		groel
P0A9K3	CATH	1	3.40.50.300		groel
P0A9L5	CATH	1	3.10.50.40		groel
P0A9M0	CATH	6	2.30.130.40|1.20.58.1480|1.20.5.5270|3.40.50.300|1.10.8.60|3.30.230.10		groel
P0A9N4	CATH	1	3.20.20.70		groel
P0A9P0	CATH	3	3.50.50.60|3.50.50.60|3.30.390.30		groel
P0A9P6	CATH	3	3.40.50.300|3.40.50.300|3.30.70.330		groel
P0A9Q7	CATH	4	3.40.605.10|3.40.309.10|3.40.50.1970|1.20.1090.10		groel
P0A9Q9	CATH	2	3.40.50.720|3.30.360.10		groel
P0A9R7	CATH	1	3.40.50.300		groel
P0A9S3	CATH	2	3.90.180.10|3.40.50.720		groel
P0A9T0	CATH	3	3.40.50.720|3.40.50.720|3.30.70.260		groel
P0A9T4	CATH	1	3.20.20.100		groel
P0A9X4	CATH	3	3.30.420.40|3.30.420.40|3.30.420.40		groel
P0AA16	CATH	3	3.40.50.2300|6.10.250.690|1.10.10.10		groel
P0AA39	CATH	2	3.10.290.10|3.30.2350.10		groel
P0AAG8	CATH	2	3.40.50.300|3.40.50.300		groel
P0AAH0	CATH	1	3.40.50.300		groel
P0AAI5	CATH	1	3.40.47.10		groel
P0AAR3	CATH	1	3.90.960.10		groel
P0AAZ4	CATH	4	3.40.50.300|1.10.8.60|1.20.272.10|1.10.3710.10		groel
P0AB71	CATH	1	3.20.20.70		groel
P0ABD5	CATH	1	3.90.226.10		groel
P0ABF1	CATH	2	3.30.460.10|1.10.3090.10		groel
P0ABH7	CATH	3	2.20.28.60|1.10.580.10|1.10.230.10		groel
P0ABP8	CATH	1	3.40.50.1580		groel
P0ABT2	CATH	1	1.20.1260.10		groel
P0ABT5	CATH	2	3.20.20.70|1.10.1200.80		groel
P0AC41	CATH	4	3.50.50.60|3.90.700.10|1.20.58.100|4.10.80.40		groel
P0AC59	CATH	2	3.40.30.10|1.20.1050.10		groel
P0AC69	CATH	1	3.40.30.10		groel
P0ACB2	CATH	1	3.20.20.70		groel
P0ACB4	CATH	1	3.40.50.360		groel
P0ACI0	CATH	3	1.10.10.60|1.10.10.60|3.20.80.10		groel
P0ACJ8	CATH	2	2.60.120.10|1.10.10.10		groel
P0ACK8	CATH	2	1.10.10.10|3.40.50.1360		groel
P0ACL5	CATH	2	1.10.10.10|1.20.120.530		groel
P0ACQ4	CATH	3	1.10.10.10|3.40.190.10|3.40.190.10		groel
P0AD61	CATH	3	3.20.20.60|2.40.33.10|3.40.1380.20		groel
P0ADG4	CATH	2	3.30.540.10|3.40.190.80		groel
P0AE08	CATH	1	3.40.30.10		groel
P0AE88	CATH	3	3.40.50.2300|6.10.250.690|1.10.10.10		groel
P0AED5	CATH	1	3.40.50.2300		groel
P0AEJ2	CATH	1	3.60.120.10		groel
P0AEJ6	CATH	3	2.30.170.30|1.10.220.70|3.20.20.70		groel
P0AEK2	CATH	1	3.40.50.720		groel
P0AES4	CATH	4	3.90.199.10|3.30.1360.40|1.10.268.10|2.120.10.90		groel
P0AEU7	CATH	1	3.30.910.20		groel
P0AEZ1	CATH	1	3.20.20.220		groel
P0AEZ9	CATH	1	3.40.980.10		groel
P0AF48	CATH	1	2.60.120.460		groel
P0AFD1	CATH	2	1.10.10.1590|3.40.30.10		groel
P0AFG0	CATH	2	3.30.70.940|2.30.30.30		groel
P0AFG3	CATH	4	1.10.287.1150|3.40.50.970|3.40.50.12470|3.40.50.11610		groel
P0AFG6	CATH	3	2.40.50.100|4.10.320.10|3.30.559.10		groel
P0AFG8	CATH	3	3.40.50.970|3.40.50.970|3.40.50.920		groel
P0AFI2	CATH	4	3.90.199.10|3.30.1360.40|1.10.268.10|2.120.10.90		groel
P0AFK0	CATH	1	3.30.2290.10		groel
P0AFQ7	CATH	1	3.20.20.140		groel
P0AFR4	CATH	1	3.90.870.10		groel
P0AFX4	CATH	1	1.20.120.1370		groel
P0AFY8	CATH	2	1.10.1220.10|1.20.1380.10		groel
P0AG24	CATH	4	1.10.3210.10|3.30.460.10|3.10.20.30|3.30.70.260		groel
P0AG30	CATH	3	1.10.720.10|2.40.50.140|3.40.50.300		groel
P0AGG4	CATH	2	2.30.30.380|3.40.30.10		groel
P0AGG8	CATH	1	3.30.2290.10		groel
P0AGJ2	CATH	1	3.40.1280.10		groel
P0AGJ5	CATH	2	3.30.1330.30|3.40.1280.10		groel
P0AGK8	CATH	1	1.10.10.10		groel
P0C0K3	CATH	3	3.30.200.70|1.10.510.10|1.20.1270.170		groel
P0C7M7	CATH	2	3.40.50.12780|3.30.300.30		matrix_bg,mito_bg
P0C7P0	CATH	2	3.40.5.90|3.40.5.90		matrix_bg,mito_bg
P0C8J6	CATH	1	3.20.20.70		groel
P0C8J8	CATH	2	3.20.20.70|1.10.400.20		groel
P0CE49	CATH	0			groel
P0DJ07	CATH	0			mito_bg
P0DKB6	CATH	0			mito_bg
P0DPI2	CATH	1	3.40.50.880		hsp60
P0DTT0	CATH	5	3.40.50.300|2.40.30.10|3.30.70.870|3.30.70.240|2.40.50.250		groel
P10109	CATH	1	3.10.20.30		matrix_bg,mito_bg
P10176	CATH	1	4.10.81.10		mito_bg
P10415	CATH	1	1.10.437.10		mito_bg
P10515	CATH	4	2.40.50.100|2.40.50.100|4.10.320.10|3.30.559.10		hsp60,matrix_bg,mito_bg
P10606	CATH	1	2.60.11.10		mito_bg
P10620	CATH	1	1.20.120.550		mito_bg
P10809	CATH	3	1.10.560.10|3.30.260.10|3.50.7.10		matrix_bg,mito_bg
P11177	CATH	2	3.40.50.970|3.40.50.920		hsp60,matrix_bg,mito_bg
P11182	CATH	3	2.40.50.100|4.10.320.10|3.30.559.10		matrix_bg,mito_bg
P11310	CATH	3	1.10.540.10|2.40.110.10|1.20.140.10		matrix_bg,mito_bg
P11498	CATH	4	3.30.470.20|3.20.20.70|3.10.600.10|2.40.50.100		hsp60,matrix_bg,mito_bg
P12074	CATH	1	4.10.95.10		mito_bg
P12235	CATH	1	1.50.40.10		mito_bg
P12236	CATH	1	1.50.40.10		hsp60,mito_bg
P12694	CATH	1	3.40.50.970		hsp60,mito_bg
P12998	CATH	2	3.90.1150.10|3.40.640.10		groel
P13033	CATH	1	3.50.50.60		groel
P13051	CATH	1	3.40.470.10		matrix_bg,mito_bg
P13073	CATH	1	1.10.442.10		hsp60,mito_bg
P13196	CATH	2	3.40.640.10|3.90.1150.10		matrix_bg,mito_bg
P13804	CATH	2	3.40.50.620|3.40.50.1220		hsp60,matrix_bg,mito_bg
P13857	CATH	1	3.40.630.30		groel
P13995	CATH	2	3.40.50.720|3.40.50.10860		hsp60,matrix_bg,mito_bg
P14324	CATH	1	1.10.600.10		mito_bg
P14406	CATH	1	4.10.91.10		mito_bg
P14735	CATH	4	3.30.830.10|3.30.830.10|3.30.830.10|3.30.830.10		matrix_bg,mito_bg
P14854	CATH	1	1.10.10.140		mito_bg
P14927	CATH	1	1.10.1090.10		mito_bg
P15254	CATH	6	1.10.8.750|3.30.1330.10|3.90.650.10|3.30.1330.10|3.90.650.10|3.40.50.880		groel
P15538	CATH	1	1.10.630.10		mito_bg
P15954	CATH	1	4.10.49.10		mito_bg
P16219	CATH	3	1.10.540.10|2.40.110.10|1.20.140.10		matrix_bg,mito_bg
P16260	CATH	1	1.50.40.10		mito_bg
P17152	CATH	0			mito_bg
P17315	CATH	2	2.170.130.10|2.40.170.20		groel
P17540	CATH	2	1.10.135.10|3.30.590.10		mito_bg
P17568	CATH	0			mito_bg
P17612	CATH	2	3.30.200.20|1.10.510.10		mito_bg
P18859	CATH	1	1.10.246.110		mito_bg
P19099	CATH	1	1.10.630.10		mito_bg
P19404	CATH	2	1.10.10.1590|3.40.30.10		hsp60,mito_bg
P20674	CATH	1	1.25.40.40		mito_bg
P21151	CATH	2	3.40.47.10|3.40.47.10		groel
P21165	CATH	2	3.40.350.10|3.90.230.10		groel
P21397	CATH	4	3.50.50.60|3.90.660.10|1.10.405.10|6.10.250.130		mito_bg
P21499	CATH	3	2.40.50.140|2.40.50.140|2.40.50.140		groel
P21515	CATH	0			groel
P21549	CATH	2	3.90.1150.10|3.40.640.10		matrix_bg,mito_bg
P21796	CATH	1	2.40.160.10		mito_bg
P21912	CATH	2	3.10.20.30|1.10.1060.10		hsp60,mito_bg
P21953	CATH	2	3.40.50.970|3.40.50.920		hsp60,mito_bg
P21964	CATH	1	3.40.50.150		mito_bg
P22033	CATH	2	3.20.20.240|3.40.50.280		matrix_bg,mito_bg
P22234	CATH	3	3.30.200.20|3.30.470.20|3.40.50.1970		matrix_bg,mito_bg
P22307	CATH	2	3.40.47.10|3.30.1050.10		mito_bg
P22333	CATH	1	3.20.20.140		groel
P22557	CATH	3	4.10.92.10|3.90.1150.10|3.40.640.10		matrix_bg,mito_bg
P22570	CATH	2	3.40.50.720|3.50.50.60		hsp60,matrix_bg,mito_bg
P22695	CATH	2	3.30.830.10|3.30.830.10		hsp60,mito_bg
P22830	CATH	2	3.40.50.1400|3.40.50.1400		hsp60,mito_bg
P23003	CATH	2	3.40.50.150|2.40.50.1070		groel
P23368	CATH	2	3.40.50.10380|3.40.50.720		hsp60,matrix_bg,mito_bg
P23378	CATH	4	3.90.1150.10|3.40.640.10|3.40.640.10|3.90.1150.10		matrix_bg,mito_bg
P23434	CATH	1	2.40.50.100		matrix_bg,mito_bg
P23721	CATH	2	3.40.640.10|3.90.1150.10		groel
P23786	CATH	4	1.10.275.20|3.30.559.70|1.20.1280.180|3.30.559.10		hsp60,mito_bg
P23836	CATH	3	3.40.50.2300|6.10.250.690|1.10.10.10		groel
P23843	CATH	3	3.40.190.10|3.90.76.10|3.10.105.10		groel
P23869	CATH	1	2.40.100.10		groel
P23893	CATH	2	3.90.1150.10|3.40.640.10		groel
P23908	CATH	2	3.40.630.10|3.30.70.360		groel
P23919	CATH	1	3.40.50.300		matrix_bg,mito_bg
P24182	CATH	3	3.30.470.20|3.30.1490.20|3.30.470.20		groel
P24310	CATH	1	4.10.91.10		mito_bg
P24311	CATH	1	4.10.51.10		mito_bg
P24539	CATH	1	1.20.5.2210		hsp60,mito_bg
P24752	CATH	1	3.40.47.10		hsp60,matrix_bg,mito_bg
P25325	CATH	2	3.40.250.10|3.40.250.10		mito_bg
P25397	CATH	1	3.40.50.150		groel
P25705	CATH	3	2.40.30.20|3.40.50.300|1.20.150.20		hsp60,mito_bg
P25874	CATH	1	1.50.40.10		mito_bg
P25888	CATH	2	3.40.50.300|3.40.50.300		groel
P26440	CATH	3	1.10.540.10|2.40.110.10|1.20.140.10		matrix_bg,mito_bg
P26602	CATH	1	3.40.1410.10		groel
