uniprot_accession	cluster_id	cluster_representative	cluster_size	organism	dataset_labels
A0A0B4J274	15	A0A0A6YYK6	44	unknown	background
A0A0B4J275	15	A0A0A6YYK6	44	unknown	background
A0A0B4J276	15	A0A0A6YYK6	44	unknown	background
A0A0B4J277	15	A0A0A6YYK6	44	unknown	background
A0A0B4J279	15	A0A0A6YYK6	44	unknown	background
A0A0B4J280	15	A0A0A6YYK6	44	unknown	background
A0A0B4J2A2	66	Q9H2H8	18	unknown	background
A0A0B4J2B5	6	P0DTE2	80	unknown	background
A0A0B4J2B6	6	P0DTE2	80	unknown	background
A0A0B4J2B8	6	P0DTE2	80	unknown	background
A0A0B4J2D9	5	P01715	92	unknown	background
A0A0B4J2E0	13	A0A0K0K1B3	52	unknown	background
A0A0B4J2F0	3988	A0A0B4J2F0	1	human	mito
A0A0B4J2H0	6	P0DTE2	80	unknown	background
A0A0C4DGP1	3989	A0A0C4DGP1	1	unknown	background
A0A0C4DH24	5	P01715	92	unknown	background
A0A0C4DH25	5	P01715	92	unknown	background
A0A0C4DH26	5	P01715	92	unknown	background
A0A0C4DH27	433	A0A0C4DH27	6	unknown	background
A0A0C4DH28	433	A0A0C4DH27	6	unknown	background
A0A0C4DH29	6	P0DTE2	80	unknown	background
A0A0C4DH30	6	P0DTE2	80	unknown	background
A0A0C4DH31	6	P0DTE2	80	unknown	background
A0A0C4DH32	6	P0DTE2	80	unknown	background
A0A0C4DH33	6	P0DTE2	80	unknown	background
A0A0C4DH34	6	P0DTE2	80	unknown	background
A0A0C4DH35	6	P0DTE2	80	unknown	background
A0A0C4DH36	6	P0DTE2	80	unknown	background
A0A0C4DH38	6	P0DTE2	80	unknown	background
A0A0C4DH39	6	P0DTE2	80	unknown	background
A0A0C4DH41	6	P0DTE2	80	unknown	background
A0A0C4DH42	6	P0DTE2	80	unknown	background
A0A0C4DH43	6	P0DTE2	80	unknown	background
A0A0C4DH55	5	P01715	92	unknown	background
A0A0C4DH59	13	A0A0K0K1B3	52	unknown	background
A0A0C4DH62	3990	A0A0C4DH62	1	unknown	background
A0A0C4DH63	3991	A0A0C4DH63	1	unknown	background
A0A0C4DH67	5	P01715	92	unknown	background
A0A0C4DH68	5	P01715	92	unknown	background
A0A0C4DH69	5	P01715	92	unknown	background
A0A0C4DH72	5	P01715	92	unknown	background
A0A0C4DH73	5	P01715	92	unknown	background
A0A0C4DH90	5	P01715	92	unknown	background
A0A0C5B5G6	3992	A0A0C5B5G6	1	unknown	background
A0A0D9SF12	3993	A0A0D9SF12	1	unknown	background
A0A0G2JKW9	3994	A0A0G2JKW9	1	unknown	background
A0A0G2JLG4	1861	A0A0G2JLG4	2	unknown	background
A0A0G2JLW4	3995	A0A0G2JLW4	1	unknown	background
A0A0G2JMD5	33	Q5VWM6	24	unknown	background
A0A0G2JMH3	1579	Q8IVW1	3	unknown	background
A0A0G2JMI3	6	P0DTE2	80	unknown	background
A0A0G2JMM0	24	A0A376A8Z9	27	unknown	background
A0A0G2JN01	24	A0A376A8Z9	27	unknown	background
A0A0G2JN53	3996	A0A0G2JN53	1	unknown	background
A0A0G2JN68	82	O75019	16	unknown	background
A0A0G2JND7	3997	A0A0G2JND7	1	unknown	background
A0A0G2JNF4	24	A0A376A8Z9	27	unknown	background
A0A0G2JNH3	1	Q8NGQ4	371	unknown	background
A0A0G2JNJ9	3998	A0A0G2JNJ9	1	unknown	background
A0A0G2JPN4	3999	A0A0G2JPN4	1	unknown	background
A0A0G2JQF1	4000	A0A0G2JQF1	1	unknown	background
A0A0G2JQZ4	4001	A0A0G2JQZ4	1	unknown	background
A0A0G2JRQ6	5	P01715	92	unknown	background
A0A0G2JS06	5	P01715	92	unknown	background
A0A0J9YVY3	6	P0DTE2	80	unknown	background
A0A0J9YW62	6	P0DTE2	80	unknown	background
A0A0J9YWL9	1862	A0A0J9YY54	2	unknown	background
A0A0J9YWP8	4002	A0A0J9YWP8	1	unknown	background
A0A0J9YWU9	6	P0DTE2	80	unknown	background
A0A0J9YWX3	4003	A0A0J9YWX3	1	unknown	background
A0A0J9YX35	6	P0DTE2	80	unknown	background
A0A0J9YX57	29	Q9BZ81	26	unknown	background
A0A0J9YX75	13	A0A0K0K1B3	52	unknown	background
A0A0J9YX94	183	P0CW24	10	unknown	background
A0A0J9YXG5	4004	A0A0J9YXG5	1	unknown	background
A0A0J9YXM7	4005	A0A0J9YXM7	1	unknown	background
A0A0J9YXQ4	183	P0CW24	10	unknown	background
A0A0J9YXV3	4006	A0A0J9YXV3	1	unknown	background
A0A0J9YXX1	6	P0DTE2	80	unknown	background
A0A0J9YXY3	13	A0A0K0K1B3	52	unknown	background
A0A0J9YY54	1862	A0A0J9YY54	2	unknown	background
A0A0J9YY99	6	P0DTE2	80	unknown	background
A0A0K0K1A3	13	A0A0K0K1B3	52	unknown	background
A0A0K0K1A5	13	A0A0K0K1B3	52	unknown	background
A0A0K0K1B3	13	A0A0K0K1B3	52	unknown	background
A0A0K0K1C0	13	A0A0K0K1B3	52	unknown	background
A0A0K0K1C4	13	A0A0K0K1B3	52	unknown	background
A0A0K0K1D8	13	A0A0K0K1B3	52	unknown	background
A0A0K0K1E9	13	A0A0K0K1B3	52	unknown	background
A0A0K0K1G6	13	A0A0K0K1B3	52	unknown	background
A0A0K0K1G8	13	A0A0K0K1B3	52	unknown	background
A0A0K2S4Q6	297	A8K4G0	7	unknown	background
A0A0M3HER8	1897	A6NI86	2	unknown	background
A0A0U1RQE8	659	Q6IB77	5	unknown	background
A0A0U1RQF7	4007	A0A0U1RQF7	1	unknown	background
A0A0U1RQG5	4008	A0A0U1RQG5	1	unknown	background
A0A0U1RQI7	4009	A0A0U1RQI7	1	unknown	background
A0A0U1RQS6	4010	A0A0U1RQS6	1	unknown	background
A0A0U1RR11	813	P0DPI3	4	unknown	background
A0A0U1RR37	4011	A0A0U1RR37	1	unknown	background
A0A0U1RRA0	4012	A0A0U1RRA0	1	unknown	background
A0A0U1RRE5	4013	A0A0U1RRE5	1	unknown	background
A0A0U1RRI6	813	P0DPI3	4	unknown	background
A0A0U1RRK4	4014	A0A0U1RRK4	1	unknown	background
A0A0U1RRL7	4015	A0A0U1RRL7	1	unknown	background
A0A0U1RRN3	4016	A0A0U1RRN3	1	unknown	background
A0A0X1KG70	1	Q8NGQ4	371	unknown	background
A0A140TA62	4017	A0A140TA62	1	unknown	background
A0A140TA64	3631	Q9BYR3	2	unknown	background
A0A140TA67	4018	A0A140TA67	1	unknown	background
A0A183	4019	A0A183	1	unknown	background
A0A191URJ7	24	A0A376A8Z9	27	unknown	background
A0A1B0GTB2	4020	A0A1B0GTB2	1	unknown	background
A0A1B0GTC6	4021	A0A1B0GTC6	1	unknown	background
A0A1B0GTD5	4022	A0A1B0GTD5	1	unknown	background
A0A1B0GTH6	4023	A0A1B0GTH6	1	unknown	background
A0A1B0GTH9	4024	A0A1B0GTH9	1	unknown	background
A0A1B0GTI1	4025	A0A1B0GTI1	1	unknown	background
A0A1B0GTI8	4026	A0A1B0GTI8	1	unknown	background
A0A1B0GTJ6	4027	A0A1B0GTJ6	1	unknown	background
A0A1B0GTK4	1863	A0A1B0GVD1	2	unknown	background
A0A1B0GTK5	4028	A0A1B0GTK5	1	unknown	background
A0A1B0GTL2	4029	A0A1B0GTL2	1	unknown	background
A0A1B0GTQ1	43	Q7Z449	22	unknown	background
A0A1B0GTQ4	4030	A0A1B0GTQ4	1	unknown	background
A0A1B0GTR0	4031	A0A1B0GTR0	1	unknown	background
A0A1B0GTR3	4032	A0A1B0GTR3	1	unknown	background
A0A1B0GTR4	4033	A0A1B0GTR4	1	unknown	background
A0A1B0GTS1	1864	A0A1B0GWH4	2	unknown	background
A0A1B0GTU1	1266	P0DQW0	3	unknown	background
A0A1B0GTU2	4034	A0A1B0GTU2	1	unknown	background
A0A1B0GTW7	4035	A0A1B0GTW7	1	unknown	background
A0A1B0GTY4	4036	A0A1B0GTY4	1	unknown	background
A0A1B0GTZ2	4037	A0A1B0GTZ2	1	unknown	background
A0A1B0GU29	4038	A0A1B0GU29	1	unknown	background
A0A1B0GU33	4039	A0A1B0GU33	1	unknown	background
A0A1B0GU71	4040	A0A1B0GU71	1	unknown	background
A0A1B0GUA5	4041	A0A1B0GUA5	1	unknown	background
A0A1B0GUA6	4042	A0A1B0GUA6	1	unknown	background
A0A1B0GUA7	4043	A0A1B0GUA7	1	unknown	background
A0A1B0GUA9	4044	A0A1B0GUA9	1	unknown	background
A0A1B0GUC4	4045	A0A1B0GUC4	1	unknown	background
A0A1B0GUI7	4046	A0A1B0GUI7	1	unknown	background
A0A1B0GUJ8	4047	A0A1B0GUJ8	1	unknown	background
A0A1B0GUQ0	4048	A0A1B0GUQ0	1	unknown	background
A0A1B0GUS0	4049	A0A1B0GUS0	1	unknown	background
A0A1B0GUS4	37	P63279	23	unknown	background
A0A1B0GUT2	4050	A0A1B0GUT2	1	unknown	background
A0A1B0GUU1	4051	A0A1B0GUU1	1	unknown	background
A0A1B0GUV1	4052	A0A1B0GUV1	1	unknown	background
A0A1B0GUV7	4053	A0A1B0GUV7	1	unknown	background
A0A1B0GUV8	4054	A0A1B0GUV8	1	unknown	background
A0A1B0GUW6	4055	A0A1B0GUW6	1	unknown	background
A0A1B0GUW7	4056	A0A1B0GUW7	1	unknown	background
A0A1B0GUX0	4057	A0A1B0GUX0	1	unknown	background
A0A1B0GUY1	4058	A0A1B0GUY1	1	unknown	background
A0A1B0GUZ9	4059	A0A1B0GUZ9	1	unknown	background
A0A1B0GV03	4060	A0A1B0GV03	1	unknown	background
A0A1B0GV22	4061	A0A1B0GV22	1	unknown	background
A0A1B0GV85	4062	A0A1B0GV85	1	unknown	background
A0A1B0GV90	4063	A0A1B0GV90	1	unknown	background
A0A1B0GV96	4064	A0A1B0GV96	1	unknown	background
A0A1B0GVB3	4065	A0A1B0GVB3	1	unknown	background
A0A1B0GVD1	1863	A0A1B0GVD1	2	unknown	background
A0A1B0GVG4	4066	A0A1B0GVG4	1	unknown	background
A0A1B0GVG6	4067	A0A1B0GVG6	1	unknown	background
A0A1B0GVH4	4068	A0A1B0GVH4	1	unknown	background
A0A1B0GVH6	4069	A0A1B0GVH6	1	unknown	background
A0A1B0GVH7	4070	A0A1B0GVH7	1	unknown	background
A0A1B0GVK7	4071	A0A1B0GVK7	1	unknown	background
A0A1B0GVM5	4072	A0A1B0GVM5	1	unknown	background
A0A1B0GVM6	4073	A0A1B0GVM6	1	unknown	background
A0A1B0GVN3	4074	A0A1B0GVN3	1	unknown	background
A0A1B0GVQ0	4075	A0A1B0GVQ0	1	unknown	background
A0A1B0GVQ3	4076	A0A1B0GVQ3	1	unknown	background
A0A1B0GVR7	4077	A0A1B0GVR7	1	unknown	background
A0A1B0GVS7	4078	A0A1B0GVS7	1	unknown	background
A0A1B0GVT2	4079	A0A1B0GVT2	1	unknown	background
A0A1B0GVV1	4080	A0A1B0GVV1	1	unknown	background
A0A1B0GVX0	4081	A0A1B0GVX0	1	unknown	background
A0A1B0GVY2	4082	A0A1B0GVY2	1	unknown	background
A0A1B0GVY4	4083	A0A1B0GVY4	1	unknown	background
A0A1B0GVY7	4084	A0A1B0GVY7	1	unknown	background
A0A1B0GVZ2	4085	A0A1B0GVZ2	1	unknown	background
A0A1B0GVZ6	1062	A0A1B0GVZ6	3	unknown	background
A0A1B0GVZ9	4086	A0A1B0GVZ9	1	unknown	background
A0A1B0GW15	4087	A0A1B0GW15	1	unknown	background
A0A1B0GW35	4088	A0A1B0GW35	1	unknown	background
A0A1B0GW54	4089	A0A1B0GW54	1	unknown	background
A0A1B0GW64	4090	A0A1B0GW64	1	unknown	background
A0A1B0GWB2	4091	A0A1B0GWB2	1	unknown	background
A0A1B0GWG4	4092	A0A1B0GWG4	1	unknown	background
A0A1B0GWH4	1864	A0A1B0GWH4	2	unknown	background
A0A1B0GWH6	4093	A0A1B0GWH6	1	unknown	background
A0A1B0GWI6	4094	A0A1B0GWI6	1	unknown	background
A0A1B0GWK0	808	P0CE72	4	unknown	background
A0A1B0GX31	13	A0A0K0K1B3	52	unknown	background
A0A1B0GX49	13	A0A0K0K1B3	52	unknown	background
A0A1B0GX51	13	A0A0K0K1B3	52	unknown	background
A0A1B0GX56	15	A0A0A6YYK6	44	unknown	background
A0A1B0GX68	13	A0A0K0K1B3	52	unknown	background
A0A1B0GX78	13	A0A0K0K1B3	52	unknown	background
A0A1B0GX95	13	A0A0K0K1B3	52	unknown	background
A0A1B0GXF2	13	A0A0K0K1B3	52	unknown	background
A0A1W2PNU3	4095	A0A1W2PNU3	1	unknown	background
A0A1W2PP81	89	A0A1W2PP81	15	unknown	background
A0A1W2PP97	4096	A0A1W2PP97	1	unknown	background
A0A1W2PPD8	434	A0A1W2PPD8	6	unknown	background
A0A1W2PPE2	89	A0A1W2PP81	15	unknown	background
A0A1W2PPE3	4097	A0A1W2PPE3	1	unknown	background
A0A1W2PPF3	693	Q96PT3	5	unknown	background
A0A1W2PPG7	767	O60262	4	unknown	background
A0A1W2PPH5	89	A0A1W2PP81	15	unknown	background
A0A1W2PPK0	1865	A0A1W2PPK0	2	unknown	background
A0A1W2PPL8	89	A0A1W2PP81	15	unknown	background
A0A1W2PPM1	1865	A0A1W2PPK0	2	unknown	background
A0A1W2PPW3	89	A0A1W2PP81	15	unknown	background
A0A1W2PQ09	89	A0A1W2PP81	15	unknown	background
A0A1W2PQ27	296	A0A1W2PQJ5	7	unknown	background
A0A1W2PQ64	296	A0A1W2PQJ5	7	unknown	background
A0A1W2PQ72	4098	A0A1W2PQ72	1	unknown	background
A0A1W2PQ73	536	A0A1W2PQ73	5	unknown	background
A0A1W2PQC6	296	A0A1W2PQJ5	7	unknown	background
A0A1W2PQD8	296	A0A1W2PQJ5	7	unknown	background
A0A1W2PQF6	24	A0A376A8Z9	27	unknown	background
A0A1W2PQJ5	296	A0A1W2PQJ5	7	unknown	background
A0A1W2PQL4	2	A6NM28	207	unknown	background
A0A1W2PQM1	24	A0A376A8Z9	27	unknown	background
A0A1W2PQU2	4099	A0A1W2PQU2	1	unknown	background
A0A1W2PR19	537	A0A1W2PRG0	5	unknown	background
A0A1W2PR48	4100	A0A1W2PR48	1	unknown	background
A0A1W2PR64	89	A0A1W2PP81	15	unknown	background
A0A1W2PR75	296	A0A1W2PQJ5	7	unknown	background
A0A1W2PR82	4101	A0A1W2PR82	1	unknown	background
A0A1W2PR95	2802	P78318	2	unknown	background
A0A1W2PRE2	4102	A0A1W2PRE2	1	unknown	background
A0A1W2PRG0	537	A0A1W2PRG0	5	unknown	background
A0A1W2PRN1	4103	A0A1W2PRN1	1	unknown	background
A0A1W2PRN6	89	A0A1W2PP81	15	unknown	background
A0A1W2PRP0	23	A0A1W2PRP0	27	unknown	background
A0A1W2PRS3	24	A0A376A8Z9	27	unknown	background
A0A1W2PRV1	89	A0A1W2PP81	15	unknown	background
A0A1W2PS18	4104	A0A1W2PS18	1	unknown	background
A0A286YEU6	1	Q8NGQ4	371	unknown	background
A0A286YEV6	1866	A0A286YF01	2	unknown	background
A0A286YEX9	4105	A0A286YEX9	1	unknown	background
A0A286YEY9	716	A0A286YF46	4	unknown	background
A0A286YF01	1866	A0A286YF01	2	unknown	background
A0A286YF18	4106	A0A286YF18	1	unknown	background
A0A286YF46	716	A0A286YF46	4	unknown	background
A0A286YF58	4107	A0A286YF58	1	unknown	background
A0A286YF60	716	A0A286YF46	4	unknown	background
A0A286YF77	4108	A0A286YF77	1	unknown	background
A0A286YFB4	4109	A0A286YFB4	1	unknown	background
A0A286YFG1	4110	A0A286YFG1	1	unknown	background
A0A286YFK9	4111	A0A286YFK9	1	unknown	background
A0A2R8Y2Y2	4112	A0A2R8Y2Y2	1	unknown	background
A0A2R8Y4L2	150	Q32P51	12	unknown	background
A0A2R8Y4L6	1	Q8NGQ4	371	unknown	background
A0A2R8Y4M2	4113	A0A2R8Y4M2	1	unknown	background
A0A2R8Y4M4	4114	A0A2R8Y4M4	1	unknown	background
A0A2R8Y4Y8	4115	A0A2R8Y4Y8	1	unknown	background
A0A2R8Y556	4116	A0A2R8Y556	1	unknown	background
A0A2R8Y619	190	Q6DRA6	10	unknown	background
A0A2R8Y747	4117	A0A2R8Y747	1	unknown	background
A0A2R8Y7D0	4118	A0A2R8Y7D0	1	unknown	background
A0A2R8Y7Y5	4119	A0A2R8Y7Y5	1	unknown	background
A0A2R8YCJ5	4120	A0A2R8YCJ5	1	unknown	background
A0A2R8YCY7	24	A0A376A8Z9	27	unknown	background
A0A2R8YD15	2363	P0DPQ6	2	unknown	background
A0A2R8YE69	435	A0A2R8YE69	6	unknown	background
A0A2R8YED5	1	Q8NGQ4	371	unknown	background
A0A2R8YEH3	1	Q8NGQ4	371	unknown	background
A0A2R8YFL7	4121	A0A2R8YFL7	1	unknown	background
A0A2R8YFM6	4122	A0A2R8YFM6	1	unknown	background
A0A2R8YFR7	2854	Q12774	2	unknown	background
A0A2U3TZM8	4123	A0A2U3TZM8	1	unknown	background
A0A2Z4LIS9	4124	A0A2Z4LIS9	1	unknown	background
A0A376A8Z9	24	A0A376A8Z9	27	unknown	background
A0A385XJ53	240	A0A385XJ53	8	unknown	background
A0A385XJE6	142	P0CE49	12	unknown	background
A0A385XJK5	4125	A0A385XJK5	1	unknown	background
A0A385XJL2	4126	A0A385XJL2	1	unknown	background
A0A385XJL4	385	P0CF25	7	unknown	background
A0A3B3IRQ3	1063	A0A3B3IRS2	3	unknown	background
A0A3B3IRS2	1063	A0A3B3IRS2	3	unknown	background
A0A3B3IRV3	3877	Q9ULC4	2	unknown	background
A0A3B3IS91	4127	A0A3B3IS91	1	unknown	background
A0A3B3IT33	137	A6NI03	12	unknown	background
A0A3B3IT45	9	Q9H340	62	unknown	background
A0A3B3IT52	4128	A0A3B3IT52	1	unknown	background
A0A3B3IU46	3603	Q9BTL3	2	unknown	background
A0A3B3IU63	1867	A0A3B3IU63	2	unknown	background
A0A3G1DIU6	4129	A0A3G1DIU6	1	unknown	background
A0A3G1DJK2	4130	A0A3G1DJK2	1	unknown	background
A0A3G1DJL1	4131	A0A3G1DJL1	1	unknown	background
A0A3G1DJL7	4132	A0A3G1DJL7	1	unknown	background
A0A3G1DJN1	4133	A0A3G1DJN1	1	unknown	background
A0A3G1DJQ2	4134	A0A3G1DJQ2	1	unknown	background
A0A411D538	4135	A0A411D538	1	unknown	background
A0A455ZAR2	4136	A0A455ZAR2	1	unknown	background
A0A494BZU2	4137	A0A494BZU2	1	unknown	background
