uniprot_accession	domain_index	domain_start	domain_end	domain_length	cath_superfamily	domain_frac_helix	domain_frac_strand	domain_frac_coil	domain_mean_plddt	domain_min_plddt	domain_frac_plddt_gt70	domain_frac_plddt_gt90
O43847	4	897	1151	255	3.30.830.10	0.3882	0.2275	0.3843	86.95	24.66	0.9176	0.6588
O43865	1	91	240	150	3.40.50.1480	0.48	0.1467	0.3733	95.53	78.88	1.0	0.9267
O43865	2	241	294	54	3.40.50.1480	0.537	0.1296	0.3333	94.9	89.69	1.0	0.9815
O43865	3	449	530	82	3.40.50.1480	0.5122	0.0366	0.4512	94.44	83.06	1.0	0.9268
O43865	4	295	448	154	3.40.50.720	0.3377	0.2597	0.4026	96.16	76.88	1.0	0.9286
O60218	1	1	316	316	3.20.20.100	0.3924	0.1582	0.4494	97.74	67.56	0.9968	0.9905
O60220	1	23	85	63	1.10.287.810	0.8571	0.0	0.1429	96.74	87.5	1.0	0.9841
O60238	1	183	214	32	6.10.250.1020	0.9375	0.0	0.0625	88.05	59.81	0.9375	0.5625
O60260	1	395	464	70	1.20.120.1750	0.2429	0.2286	0.5286	82.46	45.5	0.8714	0.1714
O60260	2	330	384	55	2.20.25.20	0.0	0.2	0.8	80.65	46.12	0.8182	0.1273
O60260	3	1	76	76	3.10.20.90	0.2368	0.3421	0.4211	85.59	53.84	0.9605	0.1711
O60313	1	258	605	348	3.40.50.300	0.4626	0.1523	0.3851	83.9	35.94	0.9138	0.2184
O60783	1	28	118	91	1.10.287.1480	0.5934	0.044	0.3626	95.39	81.06	1.0	0.978
O60930	1	134	286	153	3.30.420.10	0.3922	0.2484	0.3595	95.96	65.06	0.9935	0.9346
O60930	2	26	76	51	3.40.970.10	0.3333	0.2745	0.3922	88.28	42.91	0.9412	0.6863
O75027	1	109	457	349	1.20.1560.10	0.8682	0.0	0.1318	87.63	37.88	0.937	0.553
O75027	2	466	728	263	3.40.50.300	0.3992	0.2395	0.3612	87.6	38.81	0.9202	0.6312
O75127	1	143	224	82	1.25.40.10	0.7195	0.0	0.2805	92.87	87.44	1.0	0.8293
O75127	2	225	387	163	1.25.40.10	0.6933	0.0	0.3067	77.75	22.61	0.7853	0.3558
O75127	3	448	637	190	1.25.40.10	0.6526	0.0105	0.3368	87.41	54.94	0.9316	0.4263
O75208	1	94	282	189	1.10.357.10	0.7884	0.0	0.2116	96.23	78.5	1.0	0.9365
O75251	1	58	213	156	3.40.50.12280	0.4936	0.141	0.3654	95.59	85.81	1.0	0.9808
O75306	1	79	463	385	1.10.645.10	0.5143	0.1325	0.3532	94.28	73.62	1.0	0.9558
O75323	1	65	182	118	3.30.70.100	0.4237	0.339	0.2373	94.66	61.69	0.9746	0.9153
O75323	2	183	286	104	3.30.70.100	0.3654	0.3558	0.2788	94.64	83.06	1.0	0.9231
O75380	1	71	121	51	2.60.260.40	0.1373	0.3333	0.5294	93.23	84.88	1.0	0.902
O75390	1	304	418	115	1.10.230.10	0.6435	0.0174	0.3391	96.67	78.44	1.0	0.9478
O75390	2	37	450	414	1.10.580.10	0.6329	0.0338	0.3333	97.89	78.44	1.0	0.9855
O75394	1	1	65	65	2.20.28.120	0.0615	0.5231	0.4154	91.28	63.12	0.9538	0.8
O75414	1	11	162	152	3.30.70.141	0.5263	0.1711	0.3026	97.08	90.94	1.0	1.0
O75417	1	2334	2477	144	1.10.150.20	0.75	0.0417	0.2083	83.28	63.56	0.9722	0.1806
O75417	2	629	812	184	1.10.3380.20	0.7065	0.0	0.2935	86.59	55.34	0.9511	0.25
O75417	3	2090	2221	132	1.20.1060.10	0.5076	0.0606	0.4318	70.86	25.81	0.7273	0.0606
O75417	4	1832	2088	257	3.30.420.10	0.393	0.1362	0.4708	73.05	24.92	0.6693	0.179
O75417	5	2311	2582	272	3.30.70.370	0.5699	0.136	0.2941	81.82	27.38	0.8934	0.2684
O75417	6	75	289	215	3.40.50.300	0.4884	0.1767	0.3349	83.93	38.06	0.9116	0.2465
O75417	7	300	506	207	3.40.50.300	0.3865	0.1739	0.4396	82.73	28.95	0.8937	0.2657
O75431	1	101	251	151	1.20.1050.10	0.7417	0.0	0.2583	96.68	85.62	1.0	0.9735
O75439	1	39	265	227	3.30.830.10	0.5066	0.185	0.3084	91.33	34.38	0.9163	0.8767
O75439	2	282	489	208	3.30.830.10	0.476	0.1923	0.3317	93.99	51.38	0.9712	0.8558
O75489	1	36	186	151	3.30.460.80	0.298	0.2781	0.4238	91.97	30.41	0.9536	0.9272
O75521	1	339	390	52	1.10.12.10	0.8846	0.0	0.1154	96.24	81.06	1.0	0.9038
O75521	2	34	126	93	1.20.80.10	0.5699	0.0	0.4301	85.61	31.05	0.8925	0.5376
O75521	3	127	338	212	3.90.226.10	0.434	0.1981	0.3679	94.42	30.23	0.9481	0.8962
O75570	1	300	353	54	3.30.160.20	0.3333	0.3148	0.3519	92.18	81.31	1.0	0.8148
O75570	2	181	299	119	3.30.70.1660	0.3193	0.3613	0.3193	91.16	63.97	0.9832	0.6807
O75570	3	354	445	92	3.30.70.1660	0.6522	0.1522	0.1957	90.32	50.72	0.9783	0.6522
O75570	4	63	179	117	6.10.140.1950	0.8376	0.0	0.1624	83.8	32.34	0.8803	0.3077
O75600	1	81	316	236	3.40.640.10	0.4534	0.178	0.3686	97.17	84.75	1.0	0.9788
O75600	2	67	412	346	3.90.1150.10	0.4538	0.185	0.3613	96.18	76.5	1.0	0.9335
O75608	1	1	230	230	3.40.50.1820	0.3609	0.2	0.4391	95.5	33.78	0.9652	0.9348
O75616	1	341	437	97	3.30.300.20	0.5052	0.2784	0.2165	95.21	79.44	1.0	0.9381
O75616	2	108	338	231	3.40.50.300	0.2468	0.2121	0.5411	85.78	26.56	0.8701	0.7056
O75648	1	236	299	64	2.30.30.280	0.0781	0.375	0.5469	95.03	85.94	1.0	0.9531
O75648	2	300	387	88	2.40.30.10	0.0795	0.6023	0.3182	97.03	87.56	1.0	0.9773
O75648	3	1	234	234	3.40.50.620	0.4188	0.1282	0.453	88.76	42.91	0.8547	0.7436
O75746	1	8	127	120	1.10.238.10	0.5167	0.0833	0.4	90.08	66.0	0.9833	0.6833
O75746	2	128	260	133	1.10.238.10	0.6466	0.0677	0.2857	90.43	60.38	0.9624	0.6992
O75746	3	322	607	286	1.50.40.10	0.7622	0.0	0.2378	83.31	43.72	0.9056	0.1503
O75828	1	5	277	273	3.40.50.720	0.4982	0.1685	0.3333	97.25	78.94	1.0	0.956
O75879	1	495	556	62	1.10.10.410	0.7742	0.0	0.2258	85.89	73.19	1.0	0.1452
O75880	1	135	301	167	3.40.30.10	0.3413	0.2515	0.4072	93.16	50.16	0.976	0.8862
O75891	1	318	398	81	1.10.1200.10	0.6173	0.0247	0.358	85.6	55.0	0.963	0.358
O75891	2	206	307	102	3.10.25.10	0.1275	0.3725	0.5	89.98	68.62	0.9902	0.6275
O75891	3	676	867	192	3.40.309.10	0.3698	0.1823	0.4479	98.36	93.0	1.0	1.0
O75891	4	1	205	205	3.40.50.170	0.3171	0.2293	0.4537	92.75	71.12	1.0	0.7805
O75891	5	425	897	473	3.40.605.10	0.4228	0.2072	0.37	98.02	84.38	1.0	0.9894
O75947	1	2	124	123	6.10.280.70	0.6911	0.0	0.3089	87.99	40.72	0.935	0.5854
O76031	1	508	610	103	1.10.8.60	0.5437	0.1359	0.3204	87.38	35.28	0.9515	0.4951
O76031	2	159	507	349	3.40.50.300	0.4585	0.1032	0.4384	73.76	30.53	0.6189	0.3095
O94761	1	1	54	54	1.10.10.1460	0.8333	0.0	0.1667	89.39	52.88	0.963	0.6481
O94761	2	449	663	215	3.40.50.300	0.4279	0.1302	0.4419	86.96	55.94	0.9349	0.4233
O94761	3	668	818	151	3.40.50.300	0.3179	0.2252	0.457	87.39	40.0	0.8742	0.6358
O94826	1	105	217	113	1.25.40.10	0.7876	0.0	0.2124	94.79	41.47	0.9646	0.9292
O94826	2	220	604	385	1.25.40.10	0.7299	0.0	0.2701	89.79	30.8	0.9429	0.6961
O94903	1	10	260	251	3.20.20.10	0.4502	0.1833	0.3665	94.34	43.22	0.9482	0.8645
O94925	1	136	216	81	1.10.238.210	0.679	0.0494	0.2716	90.63	56.28	0.9506	0.716
O94925	2	553	645	93	1.25.40.20	0.6237	0.0	0.3763	92.05	73.88	1.0	0.7957
O94925	3	217	546	330	3.40.710.10	0.4364	0.1333	0.4303	95.78	52.53	0.9818	0.9394
O95140	1	693	754	62	1.20.5.110	0.9839	0.0	0.0161	90.63	78.44	1.0	0.6935
O95140	2	99	320	222	3.40.50.300	0.3874	0.2117	0.4009	89.43	73.12	1.0	0.5901
O95202	1	535	734	200	1.10.238.10	0.74	0.05	0.21	74.82	28.75	0.755	0.07
O95258	1	42	324	283	1.50.40.10	0.8057	0.0	0.1943	84.53	42.44	0.9011	0.2756
O95299	1	57	277	221	3.40.50.300	0.5701	0.1131	0.3167	90.57	68.81	0.9955	0.6878
O95363	1	354	449	96	3.30.70.380	0.3438	0.3125	0.3438	95.78	75.81	1.0	0.9271
O95363	2	46	353	308	3.30.930.10	0.3182	0.2662	0.4156	96.47	53.75	0.9968	0.9448
O95571	1	19	249	231	3.60.15.10	0.2381	0.2814	0.4805	97.88	65.81	0.9957	0.987
O95721	1	39	116	78	1.20.5.110	0.9872	0.0	0.0128	88.77	52.84	0.9487	0.6923
O95721	2	194	258	65	1.20.5.110	0.9538	0.0	0.0462	93.6	75.31	1.0	0.8615
O95822	1	33	191	159	1.20.140.90	0.7484	0.0	0.2516	95.54	67.81	0.9937	0.9245
O95822	2	192	490	299	3.40.630.150	0.4916	0.1839	0.3244	92.84	44.19	0.9699	0.806
O95831	1	481	613	133	3.30.390.30	0.2256	0.2632	0.5113	90.98	42.81	0.8797	0.812
O95831	2	135	471	337	3.50.50.60	0.3056	0.2938	0.4006	97.98	92.56	1.0	1.0
O95831	3	172	397	226	3.50.50.60	0.2965	0.3097	0.3938	97.83	92.56	1.0	1.0
O95847	1	20	319	300	1.50.40.10	0.77	0.0067	0.2233	83.21	41.72	0.9033	0.2233
O95900	1	4	301	298	3.30.2350.10	0.3523	0.302	0.3456	90.72	39.25	0.953	0.6678
O96008	1	70	360	291	2.40.160.10	0.0344	0.6735	0.2921	90.94	26.88	0.9725	0.7354
P00156	1	1	379	379	1.20.810.10	0.7203	0.0211	0.2586	97.81	80.12	1.0	0.9947
P00350	1	181	434	254	1.10.1040.10	0.7008	0.0157	0.2835	98.23	84.31	1.0	0.9921
P00350	2	435	467	33	1.20.5.320	0.3636	0.0606	0.5758	98.34	95.69	1.0	1.0
P00350	3	1	180	180	3.40.50.720	0.4389	0.2222	0.3389	97.76	61.66	0.9944	0.9889
P00363	1	423	542	120	1.20.58.100	0.6417	0.0667	0.2917	96.88	85.88	1.0	0.9667
P00363	2	7	409	403	3.50.50.60	0.3449	0.2208	0.4342	97.12	90.25	1.0	1.0
P00363	3	237	366	130	3.90.700.10	0.3538	0.1769	0.4692	96.32	90.25	1.0	1.0
P00363	4	543	577	35	4.10.80.40	0.0	0.4	0.6	96.25	87.81	1.0	0.9143
P00367	1	54	113	60	1.10.287.140	0.6167	0.0	0.3833	91.0	45.41	0.9	0.8167
P00367	2	114	262	149	3.40.50.10860	0.3758	0.2685	0.3557	98.18	91.06	1.0	1.0
P00367	3	263	558	296	3.40.50.720	0.5236	0.1014	0.375	96.82	60.34	0.9966	0.9561
P00387	1	30	145	116	2.40.30.10	0.069	0.4138	0.5172	97.06	69.88	0.9914	0.9655
P00387	2	147	301	155	3.40.50.80	0.3677	0.2774	0.3548	97.88	92.25	1.0	1.0
P00390	1	410	522	113	3.30.390.30	0.354	0.292	0.354	98.68	95.62	1.0	1.0
P00390	2	65	390	326	3.50.50.60	0.3221	0.2577	0.4202	98.38	87.06	1.0	0.9969
P00390	3	205	333	129	3.50.50.60	0.2481	0.3411	0.4109	98.53	96.38	1.0	1.0
P00393	1	5	413	409	3.50.50.100	0.3545	0.2958	0.3496	90.72	37.88	0.9364	0.7066
P00395	1	1	513	513	1.20.210.10	0.7173	0.0078	0.2749	95.77	57.66	0.9903	0.924
P00403	1	1	91	91	1.10.287.90	0.6923	0.0	0.3077	95.9	71.12	1.0	0.9341
P00403	2	92	222	131	2.60.40.420	0.1069	0.4656	0.4275	95.72	68.5	0.9924	0.9313
P00414	1	1	70	70	1.10.287.70	0.7	0.0	0.3	97.16	62.41	0.9857	0.9429
P00414	2	71	261	191	1.20.120.80	0.7801	0.0	0.2199	98.26	90.0	1.0	0.9948
P00441	1	2	154	153	2.60.40.200	0.0588	0.4118	0.5294	98.1	83.56	1.0	0.9869
P00480	1	40	338	299	3.40.50.1370	0.4515	0.1672	0.3813	97.62	76.31	1.0	0.9666
P00480	2	171	329	159	3.40.50.1370	0.4277	0.1572	0.4151	97.4	76.31	1.0	0.9434
P00490	1	60	794	735	3.40.50.2000	0.5347	0.1483	0.317	98.26	77.88	1.0	0.9905
P00490	2	452	780	329	3.40.50.2000	0.5805	0.0881	0.3313	98.34	90.0	1.0	0.997
P00505	1	76	348	273	3.40.640.10	0.4835	0.1685	0.348	98.46	87.69	1.0	0.9963
P00505	2	42	425	384	3.90.1150.10	0.4766	0.1458	0.3776	97.83	79.06	1.0	0.9792
P00846	1	62	226	165	1.20.120.220	0.8485	0.0	0.1515	89.59	72.5	1.0	0.6121
P00944	1	3	440	438	3.20.20.150	0.4817	0.121	0.3973	97.98	64.5	0.9977	0.9954
P02794	1	1	183	183	1.20.1260.10	0.7049	0.0	0.2951	95.33	32.56	0.9508	0.929
P02925	1	31	281	251	3.40.50.2300	0.4861	0.2032	0.3108	98.34	92.31	1.0	1.0
P02925	2	127	262	136	3.40.50.2300	0.5074	0.2132	0.2794	98.44	95.75	1.0	1.0
P02931	1	23	362	340	2.40.160.10	0.0441	0.6029	0.3529	98.16	81.69	1.0	0.9971
P03813	1	2	222	221	3.40.50.1860	0.5928	0.1448	0.2624	97.39	78.81	1.0	0.9729
P03813	2	104	215	112	3.40.50.1860	0.5893	0.1429	0.2679	96.9	78.81	1.0	0.9554
P03897	1	1	115	115	1.20.58.1610	0.6435	0.0174	0.3391	91.86	61.56	0.9913	0.6696
P03901	1	1	98	98	1.10.287.3510	0.8469	0.0204	0.1327	88.65	65.88	0.9796	0.5714
P04040	1	24	502	479	2.40.180.10	0.3319	0.1691	0.499	98.65	94.56	1.0	1.0
P04179	1	43	106	64	1.10.287.990	0.8906	0.0156	0.0938	98.58	97.44	1.0	1.0
P04179	2	107	222	116	3.55.40.20	0.4655	0.2069	0.3276	98.03	82.75	1.0	0.9828
P04181	1	94	344	251	3.40.640.10	0.3865	0.1434	0.4701	98.7	95.81	1.0	1.0
P04181	2	47	427	381	3.90.1150.10	0.3596	0.1995	0.4409	98.53	87.31	1.0	0.9974
P05020	1	5	348	344	3.20.20.140	0.3808	0.1715	0.4477	97.4	67.25	0.9971	0.9535
P05055	1	621	691	71	2.40.50.140	0.1127	0.507	0.3803	82.16	65.62	0.9296	0.0141
P05055	2	550	620	71	3.30.1370.10	0.507	0.2254	0.2676	89.43	70.19	1.0	0.6338
P05055	3	2	234	233	3.30.230.70	0.2961	0.3262	0.3777	96.22	82.38	1.0	0.9227
P05055	4	235	549	315	3.30.230.70	0.4127	0.254	0.3333	95.36	83.44	1.0	0.8984
P05091	1	290	479	190	3.40.309.10	0.3789	0.1947	0.4263	98.69	96.19	1.0	1.0
P05091	2	51	508	458	3.40.605.10	0.4367	0.2096	0.3537	98.74	96.19	1.0	1.0
P05108	1	42	521	480	1.10.630.10	0.5833	0.1	0.3167	96.9	28.89	0.9833	0.9604
P05141	1	3	298	296	1.50.40.10	0.8007	0.0	0.1993	91.89	58.78	0.9966	0.7466
P05165	1	664	728	65	2.40.50.100	0.0	0.5231	0.4769	86.9	62.41	0.9538	0.3846
P05165	2	193	263	71	3.30.1490.20	0.4225	0.2113	0.3662	85.12	55.44	0.9155	0.4366
P05165	3	264	509	246	3.30.470.20	0.2805	0.3293	0.3902	95.46	73.62	1.0	0.9106
P05165	4	512	648	137	3.30.700.30	0.2117	0.4307	0.3577	91.24	62.53	0.9343	0.7591
P05165	5	60	192	133	3.40.50.20	0.4662	0.1729	0.3609	95.34	78.44	1.0	0.9173
P05166	1	25	286	262	3.90.226.10	0.4733	0.187	0.3397	95.15	50.72	0.9695	0.958
P05166	2	287	539	253	3.90.226.10	0.4071	0.1858	0.4071	95.0	79.25	1.0	0.8617
P05496	1	63	134	72	1.20.20.10	0.9861	0.0	0.0139	95.12	90.56	1.0	1.0
P06576	1	408	528	121	1.10.1140.10	0.6694	0.0	0.3306	92.48	74.5	1.0	0.8678
P06576	2	47	131	85	2.40.10.170	0.0	0.4941	0.5059	84.94	30.14	0.8588	0.7176
P06576	3	132	407	276	3.40.50.300	0.3514	0.2101	0.4384	90.35	71.69	1.0	0.6558
P06746	1	1	91	91	1.10.150.110	0.6154	0.0	0.3846	88.54	29.16	0.9011	0.8132
P06746	2	92	148	57	1.10.150.20	0.6842	0.0	0.3158	97.04	91.31	1.0	1.0
P06746	3	269	334	66	3.30.210.10	0.4242	0.1212	0.4545	96.07	85.0	1.0	0.9242
P06746	4	149	268	120	3.30.460.10	0.35	0.2833	0.3667	96.45	64.94	0.9833	0.9333
P06959	1	1	78	78	2.40.50.100	0.0	0.5128	0.4872	78.62	37.25	0.9103	0.0
P06959	2	104	183	80	2.40.50.100	0.0	0.525	0.475	73.5	22.23	0.8125	0.0
