accession	source	n_domains	first_domain_start	first_domain_end
P32695	CATH	2	25	266
P33121	CATH	1	84	555
P33232	CATH	1	3	380
P33316	CATH	1	105	251
P33371	CATH	2	1	242
P33599	CATH	2	5	153
P33667	CATH	1	5	134
P33897	CATH	1	463	710
P34897	CATH	2	53	499
P34913	CATH	3	5	214
P35218	CATH	1	34	304
P35232	CATH	1	55	189
P35270	CATH	1	6	261
P35914	CATH	1	26	324
P36404	CATH	1	4	183
P36542	CATH	2	29	294
P36548	CATH	1	45	278
P36551	CATH	1	110	454
P36776	CATH	6	119	229
P36928	CATH	3	1	228
P36957	CATH	2	67	168
P36969	CATH	1	27	197
P37326	CATH	3	1	84
P37339	CATH	2	3	386
P37685	CATH	2	31	498
P37745	CATH	1	1	184
P37765	CATH	2	1	61
P38104	CATH	2	8	400
P38117	CATH	1	1	255
P38646	CATH	6	56	423
P39177	CATH	1	1	142
P39406	CATH	2	1	158
P39407	CATH	2	17	111
P39408	CATH	1	1	259
P40305	CATH	1	31	114
P40926	CATH	2	23	169
P40939	CATH	3	39	359
P41250	CATH	5	66	110
P42126	CATH	2	42	246
P42574	CATH	1	29	277
P42596	CATH	2	8	182
P42704	CATH	4	136	330
P42765	CATH	2	7	279
P43155	CATH	2	35	615
P43304	CATH	4	68	442
P43329	CATH	3	28	252
P43897	CATH	3	43	102
P45577	CATH	1	1	119
P45578	CATH	1	1	171
P45880	CATH	1	2	294
P45954	CATH	3	51	171
P46199	CATH	4	176	350
P47985	CATH	3	1	78
P48047	CATH	1	36	129
P48201	CATH	1	69	140
P48728	CATH	4	34	268
P48735	CATH	1	41	451
P49189	CATH	2	30	483
P49247	CATH	2	82	301
P49327	CATH	10	1	406
P49406	CATH	1	84	205
P49411	CATH	3	58	253
P49419	CATH	2	63	517
P49448	CATH	3	54	113
P49590	CATH	2	45	405
P49675	CATH	1	65	284
P49748	CATH	4	91	211
P49753	CATH	2	46	192
P49773	CATH	1	1	126
P49789	CATH	1	1	147
P49821	CATH	3	85	264
P49914	CATH	1	1	203
P49916	CATH	6	91	186
P50213	CATH	1	28	366
P50336	CATH	1	1	477
P50416	CATH	3	1	49
P50440	CATH	1	64	423
P50583	CATH	1	1	146
P51530	CATH	3	125	403
P51553	CATH	1	40	393
P51648	CATH	2	9	423
P51649	CATH	2	74	524
P51659	CATH	5	2	249
P51687	CATH	3	80	166
P52758	CATH	1	2	137
P52815	CATH	2	63	120
P53007	CATH	1	27	310
P53370	CATH	3	43	134
P53396	CATH	5	1	236
P53597	CATH	2	44	168
P54098	CATH	5	134	340
P54819	CATH	1	1	239
P54868	CATH	1	49	508
P54886	CATH	3	60	358
P55084	CATH	1	44	471
P55211	CATH	2	1	105
P55789	CATH	1	81	205
P55809	CATH	2	40	272
P55851	CATH	1	13	307
P55916	CATH	1	13	310
P55957	CATH	1	1	195
P56277	CATH	1	1	68
P56381	CATH	1	2	51
P56962	CATH	1	158	228
P57105	CATH	1	1	112
P58557	CATH	1	9	157
P60716	CATH	1	82	298
P61517	CATH	1	1	220
P61604	CATH	1	1	102
P62072	CATH	1	1	90
P62244	CATH	2	1	69
P62269	CATH	2	1	80
P62593	CATH	1	25	286
P62707	CATH	1	2	250
P63020	CATH	2	1	98
P64530	CATH	1	1	90
P64588	CATH	1	52	154
P68767	CATH	2	1	180
P69408	CATH	2	1	147
P69776	CATH	1	22	77
P69783	CATH	1	9	169
P69908	CATH	3	1	65
P75736	CATH	1	1	253
P75821	CATH	1	1	335
P75823	CATH	2	1	244
P75849	CATH	1	1	210
P75864	CATH	4	6	246
P75949	CATH	1	1	341
P76085	CATH	2	1	327
P76116	CATH	1	31	353
P76143	CATH	1	1	291
P76187	CATH	1	1	298
P76250	CATH	2	6	90
P76344	CATH	1	24	216
P76550	CATH	1	22	82
P77333	CATH	2	5	91
P77395	CATH	3	1	112
P77444	CATH	2	10	396
P77475	CATH	2	8	183
P77581	CATH	2	27	389
P77730	CATH	3	2	97
P77735	CATH	1	1	322
P77739	CATH	2	1	92
P78540	CATH	1	21	341
P78549	CATH	2	112	220
P80404	CATH	2	48	489
P82663	CATH	1	9	127
P82664	CATH	1	74	176
P82675	CATH	2	212	279
P82912	CATH	1	59	194
P82914	CATH	1	98	188
P82921	CATH	1	24	59
P82932	CATH	1	1	124
P82933	CATH	1	262	396
P83111	CATH	2	112	257
P84085	CATH	1	7	180
P86397	CATH	1	22	168
P99999	CATH	1	1	105
Q00059	CATH	2	43	151
Q00325	CATH	1	66	340
Q02127	CATH	1	32	395
Q02218	CATH	4	120	216
Q02221	CATH	1	13	97
Q02252	CATH	2	44	493
Q02318	CATH	1	50	530
Q02338	CATH	1	55	330
Q02978	CATH	1	21	310
Q04837	CATH	1	17	148
Q05932	CATH	2	39	326
Q06055	CATH	1	68	139
Q07021	CATH	1	74	282
Q07812	CATH	1	1	167
Q07817	CATH	1	1	209
Q07820	CATH	1	170	319
Q07973	CATH	1	52	514
Q08257	CATH	2	15	325
Q08426	CATH	3	1	280
Q08AE8	CATH	1	34	236
Q08AH1	CATH	2	39	469
Q08AH3	CATH	2	34	465
Q08J23	CATH	1	40	429
Q09013	CATH	3	19	369
Q10713	CATH	2	57	273
Q12849	CATH	3	139	236
Q12887	CATH	1	160	330
Q12931	CATH	4	82	294
Q12983	CATH	1	159	190
Q13011	CATH	2	50	265
Q13057	CATH	2	195	344
Q13084	CATH	1	87	151
Q13085	CATH	8	83	242
Q13162	CATH	1	74	271
Q13232	CATH	1	20	169
Q13268	CATH	1	24	277
Q13405	CATH	1	34	166
Q13423	CATH	3	60	413
Q13472	CATH	5	21	196
Q13505	CATH	1	292	387
Q13686	CATH	1	114	347
Q13825	CATH	2	68	279
Q13907	CATH	1	1	227
Q14061	CATH	1	1	63
Q14154	CATH	1	247	445
Q14197	CATH	1	66	205
Q14249	CATH	1	59	287
Q14318	CATH	2	58	205
Q14596	CATH	4	3	85
Q14790	CATH	3	1	97
Q15031	CATH	4	57	80
Q15046	CATH	2	73	215
Q15118	CATH	2	30	214
Q15119	CATH	2	15	186
Q15120	CATH	2	7	182
Q15388	CATH	1	51	145
Q15785	CATH	2	6	135
Q16134	CATH	3	67	451
Q16526	CATH	4	1	129
Q16540	CATH	1	1	153
Q16548	CATH	1	1	151
Q16595	CATH	1	82	210
Q16611	CATH	1	16	186
Q16654	CATH	2	18	189
Q16698	CATH	1	34	335
Q16740	CATH	1	57	261
Q16762	CATH	2	2	157
Q16774	CATH	1	1	195
Q16775	CATH	1	49	308
Q16795	CATH	1	48	265
Q16798	CATH	2	48	302
Q16822	CATH	3	47	285
Q16836	CATH	2	13	217
Q16854	CATH	1	37	277
Q16881	CATH	4	52	157
Q32NB8	CATH	2	94	310
Q32P41	CATH	2	182	259
Q330K2	CATH	1	57	309
Q3KQZ1	CATH	1	1	299
Q3SXM5	CATH	1	61	287
Q3SY17	CATH	1	31	297
Q3SY69	CATH	5	23	227
Q3ZCQ8	CATH	1	133	317
Q46851	CATH	1	15	346
Q49AM1	CATH	1	140	371
Q4G0N4	CATH	2	68	236
Q4G176	CATH	2	48	471
Q4J6C6	CATH	2	85	698
Q53FZ2	CATH	2	50	478
Q53H12	CATH	1	52	190
Q53H82	CATH	2	1	204
Q53S33	CATH	1	27	107
Q5EBM0	CATH	1	248	448
Q5H9E4	CATH	1	29	306
Q5HYK3	CATH	1	74	327
Q5JPH6	CATH	2	30	362
Q5JRX3	CATH	4	24	293
Q5JTJ3	CATH	1	38	114
Q5JTZ9	CATH	4	37	281
Q5ST30	CATH	5	102	298
Q5SVS4	CATH	1	7	290
Q5T160	CATH	3	4	113
Q5T1C6	CATH	1	31	240
Q5T2R2	CATH	1	88	415
Q5T440	CATH	1	43	348
Q5T653	CATH	2	61	166
Q5T9A4	CATH	1	308	494
Q5TEU4	CATH	1	50	247
Q5THJ4	CATH	1	2625	2681
Q5VTE6	CATH	1	127	544
Q5VWZ2	CATH	1	1	237
Q68CK6	CATH	2	34	463
Q6DKK2	CATH	1	163	378
Q6IAN0	CATH	1	44	323
Q6IB77	CATH	1	161	279
Q6IN84	CATH	2	44	125
Q6J4K2	CATH	2	135	258
Q6JQN1	CATH	7	44	242
Q6KCM7	CATH	3	26	93
Q6L8Q7	CATH	1	279	609
Q6NUK1	CATH	3	22	99
Q6NUN0	CATH	2	44	472
Q6NVY1	CATH	1	31	386
Q6P087	CATH	1	77	331
Q6P1L8	CATH	1	31	145
Q6P1S2	CATH	1	102	227
Q6P4F2	CATH	1	64	178
Q6P4H8	CATH	1	67	215
Q6P587	CATH	1	1	221
Q6PI48	CATH	3	40	155
Q6PIV7	CATH	1	6	303
Q6PML9	CATH	2	105	195
Q6Q0C1	CATH	2	1	95
Q6UB28	CATH	1	52	333
Q6UB35	CATH	6	77	200
Q6UXN7	CATH	1	57	150
Q6YFQ2	CATH	1	10	88
Q6YN16	CATH	2	1	275
Q6YP21	CATH	2	53	445
Q6ZT89	CATH	1	8	308
Q709F0	CATH	5	19	124
Q70CQ3	CATH	1	55	503
Q70HW3	CATH	1	6	272
Q7KZF4	CATH	6	15	183
Q7L0Y3	CATH	1	191	380
Q7L2E3	CATH	5	52	145
Q7L311	CATH	1	377	632
Q7L3T8	CATH	2	59	357
Q7L592	CATH	1	31	425
Q7Z3D6	CATH	3	26	256
Q7Z434	CATH	1	1	94
Q7Z4L0	CATH	1	29	71
Q7Z4W1	CATH	1	1	244
Q7Z6M4	CATH	1	75	320
Q7Z7F7	CATH	1	34	78
Q7Z7H8	CATH	1	30	197
Q86SX6	CATH	1	44	146
Q86TW2	CATH	1	153	381
Q86U28	CATH	1	49	154
Q86U90	CATH	1	58	266
Q86UT6	CATH	2	76	300
Q86UY8	CATH	1	245	440
Q86VD7	CATH	1	26	316
Q86VU5	CATH	1	34	262
Q86WA6	CATH	1	38	290
Q86WU2	CATH	5	7	119
Q86X67	CATH	2	28	196
Q86X76	CATH	1	49	319
Q86XE3	CATH	2	131	372
Q86XE5	CATH	1	24	327
Q86Y79	CATH	1	27	209
Q86YB7	CATH	2	24	232
Q86YH6	CATH	1	57	397
Q8IUA7	CATH	2	474	745
Q8IVH4	CATH	3	70	135
Q8IVS2	CATH	2	65	355
Q8IVS8	CATH	2	51	305
Q8IW45	CATH	1	50	345
Q8IWA4	CATH	2	78	311
Q8IWL3	CATH	2	29	143
Q8IWW8	CATH	2	38	232
Q8IXI1	CATH	4	3	170
Q8IXI2	CATH	4	1	178
Q8IXL7	CATH	1	37	179
Q8IXQ9	CATH	1	82	251
Q8IYB8	CATH	5	46	174
Q8IYQ7	CATH	4	54	228
Q8IYU8	CATH	2	85	270
Q8N0U4	CATH	1	68	242
Q8N0V3	CATH	1	79	184
Q8N0X4	CATH	1	33	340
Q8N0Z8	CATH	2	12	125
Q8N159	CATH	2	96	377
Q8N1Q8	CATH	1	52	247
Q8N2A8	CATH	1	32	212
Q8N2F6	CATH	2	88	181
Q8N3J5	CATH	1	88	359
Q8N3Z0	CATH	1	135	299
Q8N413	CATH	1	2	287
Q8N442	CATH	5	65	248
Q8N465	CATH	5	54	152
Q8N490	CATH	1	119	385
Q8N4E7	CATH	1	61	242
Q8N4Q0	CATH	2	38	368
Q8N4Q1	CATH	1	32	110
Q8N4T8	CATH	1	1	237
Q8N573	CATH	1	89	154
Q8N5M1	CATH	2	42	103
Q8N5S1	CATH	1	85	368
Q8N5Z0	CATH	1	1	425
Q8N8R3	CATH	1	1	281
Q8N983	CATH	1	1	158
Q8N9F0	CATH	1	144	276
Q8NBN7	CATH	1	32	321
Q8NBU5	CATH	2	87	348
Q8NC60	CATH	1	199	401
Q8NCN5	CATH	5	45	421
Q8NCW5	CATH	1	56	288
Q8NE22	CATH	1	127	298
Q8NE62	CATH	2	43	565
Q8NFF5	CATH	2	109	273
Q8NFU3	CATH	1	5	115
Q8NFV4	CATH	1	51	305
Q8NI37	CATH	1	55	297
Q8TAA5	CATH	2	45	159
Q8TAE8	CATH	1	25	152
Q8TB22	CATH	3	61	229
Q8TB36	CATH	2	22	130
Q8TB37	CATH	1	62	316
Q8TBP6	CATH	1	11	334
Q8TCC3	CATH	1	68	120
Q8TCG5	CATH	3	1	50
Q8TCS8	CATH	5	41	267
Q8TD30	CATH	3	49	522
Q8TF08	CATH	1	26	81
Q8WUD6	CATH	1	46	227
Q8WUK0	CATH	1	37	193
Q8WUT9	CATH	1	11	298
Q8WV60	CATH	1	56	225
Q8WV74	CATH	1	18	191
Q8WV93	CATH	1	114	285
Q8WVC6	CATH	1	1	203
Q8WVM0	CATH	2	2	238
Q8WW59	CATH	1	19	198
Q8WWR8	CATH	2	5	301
Q8WWV3	CATH	2	50	393
Q8WXI4	CATH	3	39	192
Q92506	CATH	1	5	261
Q92523	CATH	3	1	49
Q92552	CATH	1	36	204
Q92667	CATH	3	608	681
Q92843	CATH	1	1	183
Q92947	CATH	3	37	173
Q969G6	CATH	1	2	148
Q969M1	CATH	1	193	308
Q969P6	CATH	4	42	265
Q969Q5	CATH	1	4	179
Q969S9	CATH	5	64	355
Q969V5	CATH	1	272	351
Q969Y2	CATH	3	31	152
Q96A35	CATH	1	47	153
Q96A46	CATH	2	51	203
Q96AB3	CATH	1	3	198
Q96AG3	CATH	2	77	255
Q96AQ8	CATH	1	167	263
Q96AY3	CATH	5	37	150
Q96BR5	CATH	1	9	227
Q96C03	CATH	2	126	451
Q96C36	CATH	2	1	166
Q96CB9	CATH	2	26	157
Q96CM3	CATH	1	92	344
Q96CM8	CATH	4	98	424
Q96CQ1	CATH	1	3	310
Q96CU9	CATH	2	65	457
Q96DA6	CATH	1	48	115
Q96DB5	CATH	1	81	295
Q96DC8	CATH	2	45	243
Q96DP5	CATH	1	48	352
Q96DU9	CATH	4	2	100
Q96DV4	CATH	1	149	341
Q96DW6	CATH	2	8	153
Q96E11	CATH	2	90	260
Q96E29	CATH	1	148	417
Q96E52	CATH	1	254	341
Q96EH3	CATH	1	92	207
Q96EL3	CATH	1	1	112
Q96EY1	CATH	4	89	203
Q96EY7	CATH	2	154	349
Q96EY8	CATH	1	79	250
Q96GA7	CATH	2	18	312
Q96GC5	CATH	1	90	190
Q96GJ1	CATH	2	93	499
Q96GK7	CATH	1	51	314
Q96GW9	CATH	3	46	379
Q96H55	CATH	6	36	655
Q96H78	CATH	2	12	149
Q96H96	CATH	1	84	248
Q96HP4	CATH	2	63	155
Q96HS1	CATH	1	88	289
Q96HY7	CATH	4	53	128
Q96I23	CATH	1	57	114
Q96I51	CATH	2	55	333
Q96I59	CATH	2	18	124
Q96I99	CATH	3	38	278
Q96IR7	CATH	2	2	156
Q96JX3	CATH	2	96	390
Q96KJ9	CATH	1	32	171
Q96LJ7	CATH	1	4	262
Q96LL9	CATH	1	48	122
Q96LU5	CATH	1	28	157
Q96MF6	CATH	1	84	230
Q96ND0	CATH	1	227	271
Q96NN9	CATH	4	68	177
Q96PE7	CATH	1	45	176
Q96PN6	CATH	3	34	252
Q96Q11	CATH	2	28	179
Q96QE5	CATH	1	124	359
Q96QU6	CATH	2	87	473
Q96RP9	CATH	5	40	332
Q96RQ3	CATH	3	37	492
Q96RR1	CATH	2	244	346
Q96SZ6	CATH	2	100	234
