accession	source	n_domains	datasets	groel_class	protein_length	length_n_domain	length_c_region	length_diff	net_charge_n_domain	net_charge_c_region	net_charge_diff	frac_hydrophobic_n_domain	frac_hydrophobic_c_region	frac_hydrophobic_diff	frac_helix_n_domain	frac_helix_c_region	frac_helix_diff	frac_strand_n_domain	frac_strand_c_region	frac_strand_diff	mean_plddt_n_domain	mean_plddt_c_region	mean_plddt_diff	frac_plddt_gt70_n_domain	frac_plddt_gt70_c_region	frac_plddt_gt70_diff	relative_contact_order_n_domain	relative_contact_order_c_region	relative_contact_order_diff	foldx_total_energy
O14874	CATH	2	hsp60,matrix_bg,mito_bg		412	154	189	-35	2	0	2	0.3831168831168831	0.3703703703703703	0.0127465127465127	0.7857142857142857	0.3597883597883597	0.4259259259259259	0.0324675324675324	0.2275132275132275	-0.195045695045695	93.68623361959088	86.7996826070957	6.886551012495161	0.9935064935064936	0.8412698412698413	0.1522366522366522	0.3013102968460111	0.2379127896369275	0.0633975072090835	154.82
O15091	CATH	2	hsp60,matrix_bg,mito_bg		583	229	211	18	1	5	-4	0.3755458515283842	0.3507109004739336	0.0248349510544506	0.6855895196506551	0.3981042654028436	0.2874852542478114	0.056768558951965	0.1943127962085308	-0.1375442372565657	94.7262880750098	86.94990543166608	7.776382643343723	1.0	0.8767772511848341	0.1232227488151659	0.0931041729911496	0.1862990090478242	-0.0931948360566746	194.75
O15270	CATH	2	mito_bg		562	359	35	324	3	-6	9	0.3983286908077994	0.2857142857142857	0.1126144050935137	0.4456824512534819	0.2285714285714285	0.2171110226820533	0.1782729805013927	0.0	0.1782729805013927	96.49860730609522	60.14228548322405	36.35632182287117	1.0	0.4285714285714285	0.5714285714285714	0.2496060698843227	0.1714285714285714	0.0781774984557512	177.46
O15382	CATH	2	hsp60,matrix_bg,mito_bg		392	177	188	-11	4	-2	6	0.3954802259887006	0.4042553191489361	-0.0087750931602355	0.2033898305084746	0.3031914893617021	-0.0998016588532275	0.2824858757062147	0.324468085106383	-0.0419822094001682	96.26502831238138	98.11127634251372	-1.846248030132344	0.9774011299435028	1.0	-0.0225988700564971	0.3204038677617939	0.2345461412564522	0.0858577265053417	-45.69
O15527	CATH	3	matrix_bg,mito_bg		345	91	245	-154	1	3	-2	0.3296703296703296	0.3755102040816326	-0.0458398744113029	0.1868131868131868	0.6163265306122448	-0.429513343799058	0.3186813186813186	0.036734693877551	0.2819466248037676	96.57626351157388	92.59506116594586	3.981202345628006	0.989010989010989	0.9183673469387756	0.0706436420722135	0.3112051882543686	0.1964361864148644	0.1147690018395041	-40.17
O43272	CATH	2	mito_bg		600	182	331	-149	-2	-3	1	0.3626373626373626	0.4018126888217522	-0.0391753261843896	0.6098901098901099	0.5468277945619335	0.0630623153281764	0.0659340659340659	0.148036253776435	-0.0821021878423691	90.14032957056068	87.48247748199186	2.657852088568802	0.956043956043956	0.8731117824773413	0.0829321735666147	0.2530364372469635	0.0971459617870049	0.1558904754599586	138.22
O43464	CATH	2	mito_bg		458	212	107	105	-2	-1	-1	0.4056603773584906	0.3925233644859813	0.0131370128725092	0.2122641509433962	0.2336448598130841	-0.0213807088696878	0.4009433962264151	0.3644859813084112	0.0364574149180039	88.98320754069202	90.03364470294703	-1.0504371622550082	0.9009433962264152	0.9345794392523364	-0.0336360430259213	0.2008640282838486	0.3168088852769876	-0.115944856993139	202.19
O43572	CATH	3	mito_bg		662	89	481	-392	0	-22	22	0.348314606741573	0.3513513513513513	-0.0030367446097783	0.5617977528089888	0.4594594594594595	0.1023382933495293	0.0	0.0166320166320166	-0.0166320166320166	75.06921330998453	66.70442821478893	8.3647850951956	0.6629213483146067	0.5280665280665281	0.1348548202480786	0.1112359550561797	0.0766466778027471	0.0345892772534326	738.98
O43708	CATH	2	matrix_bg,mito_bg		216	78	131	-53	4	-1	5	0.3846153846153846	0.3969465648854962	-0.0123311802701115	0.4230769230769231	0.7022900763358778	-0.2792131532589547	0.1794871794871795	0.015267175572519	0.1642200039146604	97.78769214336688	98.12083976687366	-0.3331476235067754	1.0	1.0	0.0	0.3441142191142191	0.2450312908328175	0.0990829282814015	-51.18
O43772	CATH	2	mito_bg		301	107	194	-87	5	7	-2	0.3831775700934579	0.4278350515463917	-0.0446574814529338	0.7009345794392523	0.8092783505154639	-0.1083437710762116	0.0	0.0	0.0	87.3663552899227	89.64969056906159	-2.283335279138896	0.9252336448598132	0.9845360824742267	-0.0593024376144137	0.3338035619820138	0.2267200806813088	0.1070834813007049	-53.31
O43824	CATH	2	matrix_bg,mito_bg		516	126	280	-154	4	8	-4	0.4206349206349206	0.4035714285714286	0.017063492063492	0.5714285714285714	0.4642857142857143	0.1071428571428571	0.1428571428571428	0.2321428571428571	-0.0892857142857143	87.68873039124504	85.895071547372	1.7936588438730467	0.9126984126984128	0.9214285714285714	-0.0087301587301587	0.1945367294204503	0.1457513914656772	0.0487853379547731	208.43
O43847	CATH	4	matrix_bg,mito_bg		1151	324	741	-417	-46	-27	-19	0.3024691358024691	0.3765182186234818	-0.0740490828210126	0.3549382716049383	0.4264507422402159	-0.0715124706352776	0.1358024691358024	0.2118758434547908	-0.0760733743189883	76.58194459514853	91.7763293082254	-15.194384713076872	0.7253086419753086	0.97165991902834	-0.2463512770530314	0.2960067237336497	0.149321845943871	0.1466848777897787	520.82
O43865	CATH	4	mito_bg		530	150	290	-140	-2	4	-6	0.3933333333333333	0.3689655172413793	0.0243678160919539	0.5	0.4448275862068965	0.0551724137931034	0.1733333333333333	0.1655172413793103	0.0078160919540229	95.53460006713868	95.44048298802868	0.0941170791099779	1.0	1.0	0.0	0.2979720279720279	0.2118407191516258	0.0861313088204021	185.59
O60260	CATH	3	mito_bg		465	76	389	-313	1	-3	4	0.4078947368421052	0.2802056555269923	0.1276890813151129	0.25	0.1516709511568123	0.0983290488431876	0.3421052631578947	0.2107969151670951	0.1313083479907996	85.59434172981663	76.60218517332886	8.992156556487771	0.9605263157894736	0.7634961439588689	0.1970301718306047	0.4125706829056111	0.1436670603765719	0.2689036225290392	147.31
O60930	CATH	2	matrix_bg,mito_bg		286	51	210	-159	6	-2	8	0.4313725490196078	0.3	0.1313725490196078	0.3333333333333333	0.3142857142857143	0.019047619047619	0.2745098039215686	0.1809523809523809	0.0935574229691877	88.27882377774108	82.12471428825742	6.154109489483659	0.9411764705882352	0.7619047619047619	0.1792717086834734	0.4266748366013072	0.2605616605616605	0.1661131760396467	160.94
O75027	CATH	2	mito_bg		752	349	295	54	12	-3	15	0.4641833810888252	0.3694915254237288	0.0946918556650964	0.8939828080229226	0.4305084745762711	0.4634743334466514	0.0	0.223728813559322	-0.223728813559322	87.63008605170045	84.71210186845165	2.917984183248791	0.9369627507163324	0.8610169491525423	0.07594580156379	0.2870361812038492	0.2279091297535963	0.0591270514502528	283.64
O75127	CATH	3	matrix_bg,mito_bg		700	82	476	-394	2	6	-4	0.3536585365853658	0.3907563025210084	-0.0370977659356425	0.7560975609756098	0.5756302521008403	0.1804673088747694	0.0	0.0084033613445378	-0.0084033613445378	92.8698785363174	74.03063032006015	18.839248216257246	1.0	0.7058823529411765	0.2941176470588235	0.3	0.0962403918913537	0.2037596081086463	513.12
O75323	CATH	2	matrix_bg,mito_bg		286	118	104	14	1	0	1	0.3305084745762712	0.375	-0.0444915254237288	0.4067796610169492	0.3653846153846153	0.0413950456323338	0.3644067796610169	0.3653846153846153	-0.0009778357235984	94.65652533708992	94.64500016432542	0.0115251727645073	0.9745762711864406	1.0	-0.0254237288135593	0.4497507477567298	0.4852610892756878	-0.0355103415189579	55.49
O75390	CATH	2	hsp60,matrix_bg,mito_bg		466	414	16	398	0	0	0	0.3864734299516908	0.3125	0.0739734299516908	0.6570048309178744	0.625	0.0320048309178744	0.0458937198067632	0.0	0.0458937198067632	97.88833288294106	93.8025004863739	4.085832396567156	1.0	0.9375	0.0625	0.2255482878030011			-44.75
O75417	CATH	7	matrix_bg,mito_bg		2590	215	2301	-2086	2	-10	12	0.4372093023255814	0.3398522381573229	0.0973570641682585	0.4883720930232558	0.2963928726640591	0.1919792203591966	0.1767441860465116	0.0704041720990873	0.1063400139474242	83.93362779839094	57.70141678527872	26.232211013112227	0.9116279069767442	0.4697957409821817	0.4418321659945625	0.3254268716680831	0.1080343842173958	0.2173924874506872	3870.31
O75439	CATH	2	hsp60,matrix_bg,mito_bg		489	227	224	3	-9	0	-9	0.3612334801762114	0.3839285714285714	-0.02269509125236	0.5154185022026432	0.46875	0.0466685022026431	0.1894273127753304	0.1830357142857142	0.0063915984896161	91.3273128055791	93.1171428986958	-1.7898300931167055	0.9162995594713657	0.9553571428571428	-0.0390575833857772	0.3755151342901804	0.3647045545746388	0.0108105797155416	122.25
O75521	CATH	3	hsp60,matrix_bg,mito_bg		394	93	268	-175	3	3	0	0.3548387096774194	0.373134328358209	-0.0182956186807896	0.6021505376344086	0.5447761194029851	0.0573744182314235	0.0	0.1567164179104477	-0.1567164179104477	85.60677419682985	94.20727593151491	-8.600501734685068	0.8924731182795699	0.9440298507462688	-0.0515567324666987	0.4077269317329332	0.1868712604378986	0.2208556712950346	168.87
O75570	CATH	4	matrix_bg,mito_bg		445	117	266	-149	-5	4	-9	0.3162393162393162	0.3270676691729323	-0.0108283529336161	0.8547008547008547	0.3947368421052631	0.4599640125955915	0.0	0.2781954887218045	-0.2781954887218045	83.80453002147185	91.06097743385716	-7.256447412385313	0.8803418803418803	0.9849624060150376	-0.1046205256731572	0.343045843045843	0.2007947082897116	0.1422511347561314	200.26
O75600	CATH	2	hsp60,mito_bg		419	346	7	339	-3	1	-4	0.4104046242774566	0.4285714285714285	-0.0181668042939718	0.453757225433526	0.4285714285714285	0.0251857968620974	0.1820809248554913	0.0	0.1820809248554913	96.18043352689357	93.75999995640346	2.420433570490104	1.0	1.0	0.0	0.2446580944516535	0.8571428571428571	-0.6124847626912036	-43.59
O75616	CATH	2	hsp60,matrix_bg,mito_bg		437	231	99	132	10	-4	14	0.3636363636363636	0.3939393939393939	-0.0303030303030302	0.2727272727272727	0.4848484848484848	-0.2121212121212121	0.2121212121212121	0.2828282828282828	-0.0707070707070706	85.7752814519973	95.19606025772866	-9.42077880573136	0.8701298701298701	1.0	-0.1298701298701299	0.2637799218776082	0.3071008593396653	-0.043320937462057	75.84
O75648	CATH	3	hsp60,matrix_bg,mito_bg		421	234	187	47	0	3	-3	0.3888888888888889	0.374331550802139	0.0145573380867498	0.4401709401709401	0.1550802139037433	0.2850907262671968	0.1239316239316239	0.4224598930481283	-0.2985282691165044	88.75910261757353	90.14823519864822	-1.3891325810746906	0.8547008547008547	0.8823529411764706	-0.0276520864756159	0.2474868881118881	0.1880820765486991	0.059404811563189	116.35
O75746	CATH	3	mito_bg		678	120	551	-431	-8	12	-20	0.3666666666666666	0.4174228675136116	-0.0507562008469449	0.55	0.676950998185118	-0.1269509981851179	0.0833333333333333	0.0217785843920145	0.0615547489413188	90.08249994913736	81.74410158146964	8.338398367667736	0.9833333333333332	0.8294010889292196	0.1539322444041136	0.1966386554621849	0.1687903526688883	0.0278483027932965	205.6
O75891	CATH	5	matrix_bg,mito_bg		902	205	697	-492	-3	-16	13	0.3853658536585366	0.4045911047345767	-0.0192252510760401	0.3463414634146341	0.3902439024390244	-0.0439024390243902	0.2439024390243902	0.2281205164992826	0.0157819225251076	92.7490731588224	94.37591096831532	-1.6268378094928977	1.0	0.975609756097561	0.024390243902439	0.1978611632270168	0.1092922662071417	0.0885688970198751	123.04
O76031	CATH	2	hsp60,matrix_bg,mito_bg		633	349	126	223	3	-10	13	0.3524355300859599	0.3571428571428571	-0.0047073270568972	0.4641833810888252	0.4761904761904761	-0.0120070951016509	0.1031518624641833	0.1111111111111111	-0.0079592486469277	73.76220645740585	78.88246024601044	-5.120253788604586	0.6189111747851003	0.7777777777777778	-0.1588666029926775	0.2184931185119075	0.2296626984126984	-0.0111695799007908	584.45
O94761	CATH	3	matrix_bg,mito_bg		1208	54	1154	-1100	5	5	0	0.2592592592592592	0.3362218370883882	-0.0769625778291289	0.8703703703703703	0.3258232235701906	0.5445471468001797	0.0	0.0909878682842287	-0.0909878682842287	89.3862963075991	66.36103119676613	23.02526511083296	0.9629629629629628	0.5719237435008665	0.3910392194620964	0.4567901234567901	0.0876177816589201	0.36917234179787	961.78
O94826	CATH	2	mito_bg		608	113	391	-278	3	-11	14	0.3539823008849557	0.3657289002557545	-0.0117465993707987	0.8230088495575221	0.7442455242966752	0.0787633252608468	0.0	0.0	0.0	94.79433633584893	89.5123785853081	5.281957750540826	0.9646017699115044	0.9335038363171356	0.0310979335943688	0.1812947023881682	0.1454354556467896	0.0358592467413786	189.61
O94925	CATH	3	hsp60,mito_bg		669	81	453	-372	1	-6	7	0.3950617283950617	0.3708609271523179	0.0242008012427438	0.691358024691358	0.5055187637969095	0.1858392608944484	0.0617283950617283	0.108167770419426	-0.0464393753576976	90.62604899465302	92.10715223569215	-1.4811032410391505	0.9506172839506172	0.933774834437086	0.0168424495135312	0.4442484812855183	0.171997322223882	0.2722511590616363	357.77
O95140	CATH	2	mito_bg		757	222	437	-215	-7	-3	-4	0.3918918918918919	0.3798627002288329	0.0120291916630589	0.3963963963963964	0.7917620137299771	-0.3953656173335807	0.2117117117117117	0.0	0.2117117117117117	89.43297277914512	78.37542336592685	11.057549413218268	1.0	0.7482837528604119	0.251716247139588	0.2713107128867998	0.4692679484163476	-0.1979572355295478	194.53
O95363	CATH	2	matrix_bg,mito_bg		451	308	98	210	-6	-1	-5	0.3798701298701298	0.3571428571428571	0.0227272727272727	0.3311688311688311	0.3469387755102041	-0.0157699443413729	0.2824675324675325	0.3061224489795918	-0.0236549165120593	96.4695776159113	95.57459188967334	0.8949857262379624	0.9967532467532468	1.0	-0.0032467532467532	0.1820654931006493	0.4312705727452271	-0.2492050796445777	122.8
O95563	Chainsaw	2	mito_bg		127	31	94	-63	3	8	-5	0.4193548387096774	0.5212765957446809	-0.1019217570350034	0.935483870967742	0.8191489361702128	0.1163349347975291	0.0	0.0	0.0	86.8954841859879	90.69606395477943	-3.8005797687915504	1.0	0.9893617021276596	0.0106382978723403	0.3064516129032258	0.3331197128941297	-0.0266680999909039	-11.76
O95721	CATH	2	mito_bg		258	78	142	-64	2	-1	3	0.358974358974359	0.2746478873239437	0.0843264716504152	1.0	0.5985915492957746	0.4014084507042254	0.0	0.0	0.0	88.76525609921187	73.77788731749628	14.987368781715588	0.9487179487179488	0.6126760563380281	0.3360418923799205		0.4624413145539906		50.01
O95822	CATH	2	matrix_bg,mito_bg		493	159	302	-143	-1	4	-5	0.4276729559748428	0.3708609271523179	0.0568120288225248	0.7924528301886793	0.4834437086092715	0.3090091215794077	0.0	0.1854304635761589	-0.1854304635761589	95.5401886754066	92.6314901895081	2.9086984858984977	0.9937106918238994	0.9668874172185432	0.0268232746053562	0.299131971516191	0.1667207952668069	0.1324111762493841	85.28
O95831	CATH	3	hsp60,mito_bg		613	337	142	195	9	-9	18	0.3857566765578635	0.3661971830985915	0.0195594934592719	0.3115727002967359	0.2183098591549295	0.0932628411418063	0.2997032640949555	0.2464788732394366	0.0532243908555188	97.98178023612816	91.45232391357422	6.529456322553955	1.0	0.8873239436619719	0.1126760563380281	0.2091394658753709	0.3271446862996158	-0.1180052204242449	191.85
P00350	CATH	3	groel	I	468	180	288	-108	-4	-9	5	0.3722222222222222	0.4027777777777778	-0.0305555555555555	0.4555555555555555	0.6840277777777778	-0.2284722222222222	0.2222222222222222	0.0277777777777777	0.1944444444444444	97.75905522240532	98.20548592673408	-0.4464307043287476	0.9944444444444444	1.0	-0.0055555555555555	0.1955526770293609	0.2308220284237726	-0.0352693513944116	49.44
P00363	CATH	4	groel	III	602	403	193	210	-7	-7	0	0.3746898263027295	0.3471502590673575	0.0275395672353719	0.3523573200992556	0.5595854922279793	-0.2072281721287237	0.238213399503722	0.1139896373056994	0.1242237621980226	97.12163767092872	93.86170965402238	3.2599280169063576	1.0	0.9533678756476685	0.0466321243523316	0.259524304347064	0.1609630479972697	0.0985612563497943	52.01
P00367	CATH	3	hsp60,matrix_bg,mito_bg		558	60	445	-385	-2	0	-2	0.3333333333333333	0.3595505617977528	-0.0262172284644194	0.65	0.501123595505618	0.148876404494382	0.0	0.1617977528089887	-0.1617977528089887	91.00250021616618	97.27555049081867	-6.2730502746524905	0.9	0.997752808988764	-0.097752808988764	0.3095238095238095	0.1385372158041884	0.1709865937196211	140.2
P00387	CATH	2	mito_bg		301	116	156	-40	0	-2	2	0.3448275862068966	0.3653846153846153	-0.0205570291777187	0.0689655172413793	0.3717948717948718	-0.3028293545534924	0.4655172413793103	0.282051282051282	0.1834659593280282	97.06189655435496	97.88205127227	-0.8201547179150452	0.9913793103448276	1.0	-0.0086206896551723	0.35734149054505	0.2434566586815721	0.1138848318634778	-38.17
P00390	CATH	3	hsp60,matrix_bg,mito_bg		522	326	132	194	0	1	-1	0.3926380368098159	0.3560606060606061	0.0365774307492098	0.3650306748466257	0.3636363636363636	0.0013943112102621	0.2607361963190184	0.2575757575757575	0.0031604387432608	98.37699344845636	98.67295438593084	-0.2959609374744616	1.0	1.0	0.0	0.2044429503879878	0.2373166049636637	-0.0328736545756759	172.4
P00403	CATH	2	hsp60,mito_bg		227	91	136	-45	-7	-5	-2	0.5604395604395604	0.4044117647058823	0.1560277957336781	0.7032967032967034	0.0661764705882353	0.6371202327084681	0.0	0.4779411764705882	-0.4779411764705882	95.8971430181147	93.95867647844204	1.9384665396726743	1.0	0.9558823529411764	0.0441176470588234	0.4637362637362637	0.2745754551820728	0.1891608085541909	-1.43
P00414	CATH	2	mito_bg		261	70	191	-121	1	-3	4	0.4285714285714285	0.4816753926701571	-0.0531039640987285	0.7285714285714285	0.7853403141361257	-0.0567688855646971	0.0	0.0104712041884816	-0.0104712041884816	97.15600068228584	98.26282744881996	-1.1068267665340985	0.9857142857142858	1.0	-0.0142857142857142	0.3014285714285714	0.2976163376800754	0.0038122337484959	-65.65
P00448	Chainsaw	2	proteome_bg		206	68	118	-50	0	1	-1	0.3529411764705882	0.4406779661016949	-0.0877367896311066	0.7794117647058824	0.4915254237288136	0.2878863409770688	0.0	0.211864406779661	-0.211864406779661	98.24044036865234	98.48305026555464	-0.2426098969023087	1.0	1.0	0.0	0.4006456241032998	0.3044328552803129	0.0962127688229869	-39.62
P00452	Chainsaw	4	proteome_bg		761	89	667	-578	1	-16	17	0.4044943820224719	0.3553223388305847	0.0491720431918871	0.6179775280898876	0.4587706146926537	0.1592069133972339	0.1011235955056179	0.1499250374812593	-0.0488014419756414	92.68033719866465	93.56631166609688	-0.8859744674322485	1.0	0.9490254872563718	0.0509745127436281	0.3066532003534907	0.139975145865058	0.1666780544884327	400.49
P00480	CATH	2	matrix_bg,mito_bg		354	299	16	283	-3	1	-4	0.3879598662207358	0.3125	0.0754598662207358	0.4749163879598662	0.25	0.2249163879598662	0.1605351170568562	0.0	0.1605351170568562	97.62334421725576	97.94937467575072	-0.3260304584949693	1.0	1.0	0.0	0.194232573807175	0.375	-0.180767426192825	-15.32
P00505	CATH	2	hsp60,mito_bg		430	384	5	379	8	1	7	0.3828125	0.2	0.1828125	0.5052083333333334	0.6	-0.0947916666666666	0.15625	0.0	0.15625	97.8307550350825	97.96200103759766	-0.1312460025151551	1.0	1.0	0.0	0.2715034965034965			79.73
P00547	Chainsaw	2	proteome_bg		310	156	153	3	-8	1	-9	0.4294871794871794	0.4117647058823529	0.0177224736048265	0.3782051282051282	0.4444444444444444	-0.0662393162393162	0.2692307692307692	0.196078431372549	0.0731523378582202	97.32884607559596	97.0866017310448	0.2422443445511533	1.0	0.9934640522875816	0.0065359477124182	0.3361983675488498	0.3924023443493203	-0.0562039768004704	-67.67
P00550	Chainsaw	4	proteome_bg		637	169	466	-297	3	-10	13	0.5325443786982249	0.4334763948497854	0.0990679838484395	0.8757396449704142	0.5579399141630901	0.3177997308073241	0.0	0.1137339055793991	-0.1137339055793991	84.64236675917044	81.14045060039078	3.501916158779665	0.8757396449704142	0.8240343347639485	0.0517053102064657	0.1928786463199419	0.1112855198452223	0.0815931264747195	147.4
P00561	Chainsaw	4	proteome_bg		820	295	524	-229	-4	-13	9	0.4372881355932203	0.4236641221374045	0.0136240134558157	0.5254237288135594	0.4465648854961832	0.0788588433173761	0.1830508474576271	0.2442748091603053	-0.0612239617026782	93.20366112660554	89.71059181854015	3.4930693080653867	1.0	0.9675572519083968	0.032442748091603	0.1985811392442637	0.1242293788228458	0.0743517604214178	40.63
P00562	Chainsaw	4	proteome_bg		810	285	513	-228	-6	-20	14	0.4140350877192982	0.4113060428849902	0.002729044834308	0.5333333333333333	0.442495126705653	0.0908382066276803	0.1649122807017544	0.2573099415204678	-0.0923976608187134	92.08715785511752	91.00530218380932	1.0818556713081904	0.9929824561403509	0.9824561403508772	0.0105263157894737	0.2159882127192982	0.122715610059925	0.0932726026593732	39.95
P00579	Chainsaw	5	proteome_bg		613	103	506	-403	-18	-26	8	0.3786407766990291	0.3636363636363636	0.0150044130626654	0.6116504854368932	0.6936758893280632	-0.08202540389117	0.058252427184466	0.0177865612648221	0.0404658659196438	68.75194186608768	86.42379439206934	-17.671852525981663	0.5436893203883495	0.9071146245059288	-0.3634253041175793	0.2636893203883495	0.1400607345994408	0.1236285857889086	229.65
P00582	Chainsaw	6	proteome_bg		928	213	635	-422	-10	-15	5	0.4131455399061033	0.3952755905511811	0.0178699493549222	0.4976525821596244	0.5228346456692914	-0.0251820635096669	0.1314553990610328	0.1322834645669291	-0.0008280655058962	91.6119247937986	91.61412601020392	-0.0022012164053251	0.9906103286384976	0.9590551181102362	0.0315552105282613	0.3220510563380281	0.1356341095660914	0.1864169467719366	59.21
P00722	Chainsaw	5	proteome_bg		1024	211	806	-595	-10	-29	19	0.3744075829383886	0.3660049627791563	0.0084026201592322	0.1753554502369668	0.1352357320099255	0.0401197182270412	0.3649289099526066	0.4354838709677419	-0.0705549610151353	98.20725101995242	98.15854827464366	0.0487027453087591	1.0	1.0	0.0	0.3183167543357117	0.0853118798094172	0.2330048745262944	163.49
P00803	Chainsaw	2	proteome_bg		324	82	242	-160	5	-5	10	0.573170731707317	0.3264462809917355	0.2467244507155814	0.8780487804878049	0.0371900826446281	0.8408586978431768	0.0121951219512195	0.4545454545454545	-0.442350332594235	84.41317051212962	91.9982643915602	-7.585093879430573	0.9146341463414634	0.9669421487603306	-0.0523080024188671	0.4850948509485095	0.2684485082937694	0.2166463426547401	-25.2
P00805	Chainsaw	2	proteome_bg		348	198	126	72	-3	0	-3	0.3535353535353535	0.3809523809523809	-0.0274170274170273	0.3181818181818182	0.3888888888888889	-0.0707070707070707	0.2626262626262626	0.1904761904761904	0.0721500721500721	97.62929299865108	98.68936490255687	-1.060071903905822	1.0	1.0	0.0	0.2164029299335853	0.2593718338399189	-0.0429689039063335	-6.89
P00816	Chainsaw	2	proteome_bg		156	69	80	-11	-4	0	-4	0.5362318840579711	0.375	0.161231884057971	0.7391304347826086	0.3125	0.4266304347826086	0.0	0.375	-0.375	98.63173885621886	98.32875003814698	0.3029888180718814	1.0	1.0	0.0	0.3565217391304348	0.2484848484848484	0.1080368906455863	2.31
