uniprot_accession	protein_length	n_domains	is_single_domain	pre_domain_start	pre_domain_end	pre_domain_length	n_domain_start	n_domain_end	n_domain_length	c_region_start	c_region_end	c_region_length	source_dataset
O75027	752	2	False	1	108	108	109	457	349	458	752	295	mito
O75127	700	3	False	1	142	142	143	224	82	225	700	476	matrix,mito
O75208	318	1	True	1	93	93	94	282	189	283	318	36	mito
O75251	213	1	True	1	57	57	58	213	156	0	0	0	mito
O75306	463	1	True	1	78	78	79	463	385	0	0	0	hsp60,mito
O75323	286	2	False	1	64	64	65	182	118	183	286	104	matrix,mito
O75380	124	1	True	1	70	70	71	121	51	122	124	3	mito
O75390	466	2	False	1	36	36	37	450	414	451	466	16	hsp60,matrix,mito
O75394	65	1	True	0	0	0	1	65	65	0	0	0	matrix,mito
O75414	186	1	True	1	10	10	11	162	152	163	186	24	matrix,mito
O75417	2590	7	False	1	74	74	75	289	215	290	2590	2301	matrix,mito
O75431	263	1	True	1	100	100	101	251	151	252	263	12	mito
O75439	489	2	False	1	38	38	39	265	227	266	489	224	hsp60,matrix,mito
O75489	264	1	True	1	35	35	36	186	151	187	264	78	hsp60,mito
O75521	394	3	False	1	33	33	34	126	93	127	394	268	hsp60,matrix,mito
O75570	445	4	False	1	62	62	63	179	117	180	445	266	matrix,mito
O75600	419	2	False	1	66	66	67	412	346	413	419	7	hsp60,mito
O75608	230	1	True	0	0	0	1	230	230	0	0	0	mito
O75616	437	2	False	1	107	107	108	338	231	339	437	99	hsp60,matrix,mito
O75648	421	3	False	0	0	0	1	234	234	235	421	187	hsp60,matrix,mito
O75746	678	3	False	1	7	7	8	127	120	128	678	551	mito
O75828	277	1	True	1	4	4	5	277	273	0	0	0	matrix,mito
O75879	557	1	True	1	494	494	495	556	62	557	557	1	matrix,mito
O75880	301	1	True	1	134	134	135	301	167	0	0	0	mito
O75891	902	5	False	0	0	0	1	205	205	206	902	697	matrix,mito
O75947	161	1	True	1	1	1	2	124	123	125	161	37	hsp60,mito
O76031	633	2	False	1	158	158	159	507	349	508	633	126	hsp60,matrix,mito
O94761	1208	3	False	0	0	0	1	54	54	55	1208	1154	matrix,mito
O94826	608	2	False	1	104	104	105	217	113	218	608	391	mito
O94903	275	1	True	1	9	9	10	260	251	261	275	15	matrix,mito
O94925	669	3	False	1	135	135	136	216	81	217	669	453	hsp60,mito
O95140	757	2	False	1	98	98	99	320	222	321	757	437	mito
O95202	739	1	True	1	534	534	535	734	200	735	739	5	hsp60,mito
O95258	325	1	True	1	41	41	42	324	283	325	325	1	mito
O95299	355	1	True	1	56	56	57	277	221	278	355	78	hsp60,mito
O95363	451	2	False	1	45	45	46	353	308	354	451	98	matrix,mito
O95571	254	1	True	1	18	18	19	249	231	250	254	5	matrix,mito
O95721	258	2	False	1	38	38	39	116	78	117	258	142	mito
O95822	493	2	False	1	32	32	33	191	159	192	493	302	matrix,mito
O95831	613	3	False	1	134	134	135	471	337	472	613	142	hsp60,mito
O95847	323	1	True	1	19	19	20	319	300	320	323	4	mito
O95900	331	1	True	1	3	3	4	301	298	302	331	30	hsp60,matrix,mito
O96008	361	1	True	1	69	69	70	360	291	361	361	1	mito
P00156	380	1	True	0	0	0	1	379	379	380	380	1	mito
P00350	468	3	False	0	0	0	1	180	180	181	468	288	groel
P00363	602	4	False	1	6	6	7	409	403	410	602	193	groel
P00367	558	3	False	1	53	53	54	113	60	114	558	445	hsp60,matrix,mito
P00387	301	2	False	1	29	29	30	145	116	146	301	156	mito
P00390	522	3	False	1	64	64	65	390	326	391	522	132	hsp60,matrix,mito
P00393	434	1	True	1	4	4	5	413	409	414	434	21	groel
P00395	513	1	True	0	0	0	1	513	513	0	0	0	mito
P00403	227	2	False	0	0	0	1	91	91	92	227	136	hsp60,mito
P00414	261	2	False	0	0	0	1	70	70	71	261	191	mito
P00441	154	1	True	1	1	1	2	154	153	0	0	0	mito
P00480	354	2	False	1	39	39	40	338	299	339	354	16	matrix,mito
P00490	797	2	False	1	59	59	60	794	735	795	797	3	groel
P00505	430	2	False	1	41	41	42	425	384	426	430	5	hsp60,mito
P00846	226	1	True	1	61	61	62	226	165	0	0	0	hsp60,mito
P00944	440	1	True	1	2	2	3	440	438	0	0	0	groel
P02794	183	1	True	0	0	0	1	183	183	0	0	0	mito
P02925	296	2	False	1	30	30	31	281	251	282	296	15	groel
P02931	362	1	True	1	22	22	23	362	340	0	0	0	groel
P03813	230	2	False	1	1	1	2	222	221	223	230	8	groel
P03897	115	1	True	0	0	0	1	115	115	0	0	0	mito
P03901	98	1	True	0	0	0	1	98	98	0	0	0	mito
P04040	527	1	True	1	23	23	24	502	479	503	527	25	mito
P04179	222	2	False	1	42	42	43	106	64	107	222	116	hsp60,matrix,mito
P04181	439	2	False	1	46	46	47	427	381	428	439	12	hsp60,matrix,mito
P05020	348	1	True	1	4	4	5	348	344	0	0	0	groel
P05055	711	4	False	1	1	1	2	234	233	235	711	477	groel
P05091	517	2	False	1	50	50	51	508	458	509	517	9	hsp60,matrix,mito
P05108	521	1	True	1	41	41	42	521	480	0	0	0	mito
P05141	298	1	True	1	2	2	3	298	296	0	0	0	hsp60,mito
P05165	728	5	False	1	59	59	60	192	133	193	728	536	matrix,mito
P05166	539	2	False	1	24	24	25	286	262	287	539	253	hsp60,matrix,mito
P05496	136	1	True	1	62	62	63	134	72	135	136	2	mito
P06576	529	3	False	1	46	46	47	131	85	132	529	398	hsp60,mito
P06746	335	4	False	0	0	0	1	91	91	92	335	244	matrix,mito
P06959	630	5	False	0	0	0	1	78	78	79	630	552	groel
P06987	355	3	False	0	0	0	1	162	162	163	355	193	groel
P06996	367	1	True	1	21	21	22	367	346	0	0	0	groel
P07108	87	1	True	0	0	0	1	87	87	0	0	0	mito
P07148	127	1	True	0	0	0	1	127	127	0	0	0	mito
P07195	334	2	False	1	1	1	2	163	162	164	334	171	mito
P07203	203	1	True	1	5	5	6	201	196	202	203	2	matrix,mito
P07237	508	4	False	1	12	12	13	131	119	132	508	377	hsp60
P07650	440	3	False	1	5	5	6	194	189	195	440	246	groel
P07919	91	1	True	1	15	15	16	91	76	0	0	0	mito
P07954	510	3	False	1	50	50	51	185	135	186	510	325	hsp60,matrix,mito
P08202	500	1	True	0	0	0	1	175	175	176	500	325	groel
P08203	231	1	True	0	0	0	1	231	231	0	0	0	groel
P08244	245	1	True	0	0	0	1	245	245	0	0	0	groel
P08559	390	1	True	1	19	19	20	390	371	0	0	0	hsp60,matrix,mito
P08574	325	2	False	1	84	84	85	280	196	281	325	45	hsp60,mito
P08622	376	4	False	0	0	0	1	112	112	113	376	264	groel
P09001	348	2	False	1	60	60	61	163	103	164	348	185	hsp60,matrix,mito
P09053	417	1	True	0	0	0	1	415	415	416	417	2	groel
P09110	424	1	True	1	32	32	33	424	392	0	0	0	mito
P09372	197	2	False	1	33	33	34	137	104	138	197	60	groel
P09417	244	1	True	1	4	4	5	244	240	0	0	0	matrix,mito
P09622	509	3	False	1	42	42	43	371	329	372	509	138	hsp60,matrix,mito
P09669	75	1	True	1	2	2	3	75	73	0	0	0	mito
P0A6A3	400	2	False	1	2	2	3	198	196	199	400	202	groel
P0A6B7	404	2	False	1	4	4	5	368	364	369	404	36	groel
P0A6C1	285	1	True	0	0	0	1	285	285	0	0	0	groel
P0A6D7	173	1	True	0	0	0	1	173	173	0	0	0	groel
P0A6J5	432	3	False	1	2	2	3	62	60	63	432	370	groel
P0A6L0	259	1	True	0	0	0	1	259	259	0	0	0	groel
P0A6L2	292	1	True	0	0	0	1	292	292	0	0	0	groel
P0A6L4	297	1	True	1	2	2	3	297	295	0	0	0	groel
P0A6M8	704	5	False	0	0	0	1	298	298	299	704	406	groel
P0A6P1	283	4	False	0	0	0	1	55	55	56	283	228	groel
P0A6P7	210	1	True	0	0	0	1	210	210	0	0	0	groel
P0A6P9	432	2	False	0	0	0	1	127	127	128	432	305	groel
P0A6Q3	172	1	True	0	0	0	1	172	172	0	0	0	groel
P0A6T5	222	2	False	1	1	1	2	86	85	87	222	136	groel
P0A6U3	629	4	False	1	1	1	2	234	233	235	629	395	groel
P0A6W5	158	2	False	0	0	0	1	75	75	76	158	83	groel
P0A6Y5	292	3	False	0	0	0	1	176	176	177	292	116	groel
P0A6Y8	638	5	False	1	4	4	5	379	375	380	638	259	groel
P0A6Z6	133	2	False	0	0	0	1	47	47	48	133	86	groel
P0A705	890	5	False	1	1	1	2	50	49	51	890	840	groel
P0A707	180	2	False	1	9	9	10	83	74	84	180	97	groel
P0A715	284	1	True	0	0	0	1	283	283	284	284	1	groel
P0A717	315	2	False	1	6	6	7	305	299	306	315	10	groel
P0A722	262	2	False	0	0	0	1	196	196	197	262	66	groel
P0A738	161	1	True	0	0	0	1	161	161	0	0	0	groel
P0A776	176	1	True	0	0	0	1	160	160	161	176	16	groel
P0A799	387	2	False	1	7	7	8	381	374	382	387	6	groel
P0A7A9	176	1	True	0	0	0	1	176	176	0	0	0	groel
P0A7D1	194	1	True	0	0	0	1	194	194	0	0	0	groel
P0A7D4	432	3	False	1	5	5	6	259	254	260	432	173	groel
P0A7X6	182	2	False	1	3	3	4	100	97	101	182	82	groel
P0A7Z4	329	3	False	1	14	14	15	220	206	221	329	109	groel
P0A805	185	2	False	1	11	11	12	182	171	183	185	3	groel
P0A817	384	3	False	1	4	4	5	233	229	234	384	151	groel
P0A825	417	2	False	1	10	10	11	416	406	417	417	1	groel
P0A832	160	1	True	1	6	6	7	135	129	136	160	25	groel
P0A850	432	3	False	0	0	0	1	115	115	116	432	317	groel
P0A853	471	2	False	1	8	8	9	467	459	468	471	4	groel
P0A862	168	1	True	0	0	0	1	168	168	0	0	0	groel
P0A873	255	2	False	0	0	0	1	165	165	166	255	90	groel
P0A894	284	1	True	1	1	1	2	163	162	164	284	121	groel
P0A8E1	180	1	True	0	0	0	1	179	179	180	180	1	groel
P0A8G3	470	2	False	1	6	6	7	458	452	459	470	12	groel
P0A8I5	239	1	True	1	29	29	30	239	210	0	0	0	groel
P0A8J8	421	2	False	1	1	1	2	217	216	218	421	204	groel
P0A8M0	466	2	False	1	4	4	5	105	101	106	466	361	groel
P0A8M3	642	5	False	0	0	0	1	64	64	65	642	578	groel
P0A8S1	297	2	False	1	1	1	2	77	76	78	297	220	groel
P0A8T7	1407	10	False	1	6	6	7	128	122	129	1407	1279	groel
P0A8U2	266	1	True	1	41	41	42	261	220	262	266	5	groel
P0A8V2	1342	9	False	1	17	17	18	174	157	175	1342	1168	groel
P0A8W8	164	2	False	0	0	0	1	50	50	51	164	114	groel
P0A8Y3	199	2	False	1	3	3	4	182	179	183	199	17	groel
P0A910	346	2	False	1	21	21	22	192	171	193	346	154	groel
P0A948	194	1	True	1	9	9	10	192	183	193	194	2	groel
P0A953	406	2	False	1	5	5	6	259	254	260	406	147	groel
P0A959	405	2	False	1	20	20	21	398	378	399	405	7	groel
P0A991	350	1	True	1	39	39	40	348	309	349	350	2	groel
P0A9B2	331	2	False	1	2	2	3	326	324	327	331	5	groel
P0A9D4	273	2	False	0	0	0	1	142	142	143	273	131	groel
P0A9E0	292	3	False	1	6	6	7	170	164	171	292	122	groel
P0A9F3	324	3	False	0	0	0	1	87	87	88	324	237	groel
P0A9H1	168	1	True	0	0	0	1	168	168	0	0	0	groel
P0A9J8	386	4	False	0	0	0	1	107	107	108	386	279	groel
P0A9K3	346	1	True	1	114	114	115	321	207	322	346	25	groel
P0A9L5	93	1	True	1	1	1	2	93	92	0	0	0	groel
P0A9M0	784	6	False	0	0	0	1	118	118	119	784	666	groel
P0A9N4	246	1	True	1	1	1	2	246	245	0	0	0	groel
P0A9P0	474	3	False	1	8	8	9	333	325	334	474	141	groel
P0A9P6	629	3	False	1	1	1	2	211	210	212	629	418	groel
P0A9Q7	891	4	False	1	9	9	10	445	436	446	891	446	groel
P0A9Q9	367	2	False	1	3	3	4	356	353	357	367	11	groel
P0A9R7	222	1	True	0	0	0	1	220	220	221	222	2	groel
P0A9S3	346	2	False	1	19	19	20	329	310	330	346	17	groel
P0A9T0	410	3	False	1	13	13	14	313	300	314	410	97	groel
P0A9T4	346	1	True	0	0	0	1	346	346	0	0	0	groel
P0A9X4	347	3	False	1	7	7	8	161	154	162	347	186	groel
P0AA16	239	3	False	1	2	2	3	84	82	85	239	155	groel
P0AA39	319	2	False	1	8	8	9	73	65	74	319	246	groel
P0AAG8	506	2	False	1	1	1	2	253	252	254	506	253	groel
P0AAH0	257	1	True	1	2	2	3	254	252	255	257	3	groel
P0AAI5	413	1	True	0	0	0	1	413	413	0	0	0	groel
P0AAR3	159	1	True	0	0	0	1	159	159	0	0	0	groel
P0AAZ4	447	4	False	0	0	0	1	164	164	165	447	283	groel
P0AB71	359	1	True	1	1	1	2	359	358	0	0	0	groel
P0ABD5	319	1	True	1	3	3	4	319	316	0	0	0	groel
P0ABF1	465	2	False	1	27	27	28	190	163	191	465	275	groel
P0ABH7	427	3	False	1	1	1	2	50	49	51	427	377	groel
P0ABP8	239	1	True	0	0	0	1	235	235	236	239	4	groel
P0ABT2	167	1	True	1	1	1	2	167	166	0	0	0	groel
P0ABT5	321	2	False	1	5	5	6	247	242	248	321	74	groel
P0AC41	588	4	False	1	8	8	9	416	408	417	588	172	groel
P0AC59	215	2	False	1	7	7	8	85	78	86	215	130	groel
P0AC69	115	1	True	1	6	6	7	110	104	111	115	5	groel
P0ACB2	324	1	True	1	1	1	2	324	323	0	0	0	groel
P0ACB4	181	1	True	1	1	1	2	174	173	175	181	7	groel
P0ACI0	289	3	False	1	2	2	3	55	53	56	289	234	groel
P0ACJ8	210	2	False	0	0	0	1	132	132	133	210	78	groel
P0ACK8	243	2	False	0	0	0	1	59	59	60	243	184	groel
P0ACL5	254	2	False	0	0	0	1	78	78	79	254	176	groel
P0ACQ4	305	3	False	0	0	0	1	84	84	85	305	221	groel
P0AD61	470	3	False	1	3	3	4	332	329	333	470	138	groel
P0ADG4	267	2	False	0	0	0	1	140	140	141	267	127	groel
P0AE08	187	1	True	0	0	0	1	185	185	186	187	2	groel
P0AE88	232	3	False	1	1	1	2	83	82	84	232	149	groel
P0AED5	218	1	True	1	1	1	2	210	209	211	218	8	groel
P0AEJ2	391	1	True	0	0	0	1	391	391	0	0	0	groel
P0AEJ6	453	3	False	0	0	0	1	54	54	55	453	399	groel
P0AEK2	244	1	True	0	0	0	1	244	244	0	0	0	groel
P0AES4	875	4	False	1	31	31	32	521	490	522	875	354	groel
P0AEU7	161	1	True	1	18	18	19	161	143	0	0	0	groel
P0AEZ1	296	1	True	0	0	0	1	295	295	296	296	1	groel
P0AEZ9	170	1	True	0	0	0	1	170	170	0	0	0	groel
P0AF48	138	1	True	0	0	0	1	138	138	0	0	0	groel
P0AFD1	166	2	False	1	12	12	13	82	70	83	166	84	groel
P0AFG0	181	2	False	0	0	0	1	117	117	118	181	64	groel
P0AFG3	933	4	False	1	83	83	84	166	83	167	933	767	groel
P0AFG6	405	3	False	1	1	1	2	81	80	82	405	324	groel
P0AFG8	887	3	False	1	56	56	57	471	415	472	887	416	groel
P0AFI2	752	4	False	1	28	28	29	478	450	479	752	274	groel
P0AFK0	450	1	True	0	0	0	1	236	236	237	450	214	groel
P0AFQ7	265	1	True	1	1	1	2	265	264	0	0	0	groel
P0AFR4	206	1	True	0	0	0	1	206	206	0	0	0	groel
P0AFX4	158	1	True	0	0	0	1	151	151	152	158	7	groel
P0AFY8	181	2	False	0	0	0	1	41	41	42	181	140	groel
P0AG24	702	4	False	1	1	1	2	190	189	191	702	512	groel
P0AG30	419	3	False	0	0	0	1	47	47	48	419	372	groel
P0AGG4	139	2	False	0	0	0	1	34	34	35	139	105	groel
P0AGG8	481	1	True	1	12	12	13	239	227	240	481	242	groel
P0AGJ2	229	1	True	0	0	0	1	204	204	205	229	25	groel
P0AGJ5	345	2	False	1	97	97	98	178	81	179	345	167	groel
P0AGK8	162	1	True	0	0	0	1	144	144	145	162	18	groel
P0C0K3	328	3	False	1	12	12	13	108	96	109	328	220	groel
P0C7M7	580	2	False	1	43	43	44	472	429	473	580	108	matrix,mito
P0C7P0	127	2	False	1	39	39	40	79	40	80	127	48	matrix,mito
P0C8J6	284	1	True	0	0	0	1	284	284	0	0	0	groel
P0C8J8	420	2	False	1	13	13	14	281	268	282	420	139	groel
P0DPI2	268	1	True	1	40	40	41	268	228	0	0	0	hsp60
P0DTT0	607	5	False	0	0	0	1	198	198	199	607	409	groel
P10109	184	1	True	1	59	59	60	184	125	0	0	0	matrix,mito
P10176	69	1	True	1	25	25	26	68	43	69	69	1	mito
P10415	239	1	True	1	5	5	6	207	202	208	239	32	mito
P10515	647	4	False	1	86	86	87	192	106	193	647	455	hsp60,matrix,mito
P10606	129	1	True	1	31	31	32	129	98	0	0	0	mito
P10620	155	1	True	1	1	1	2	155	154	0	0	0	mito
P10809	573	3	False	1	29	29	30	547	518	548	573	26	matrix,mito
P11177	359	2	False	1	31	31	32	224	193	225	359	135	hsp60,matrix,mito
P11182	482	3	False	1	60	60	61	152	92	153	482	330	matrix,mito
P11310	421	3	False	1	25	25	26	155	130	156	421	266	matrix,mito
P11498	1178	4	False	1	26	26	27	490	464	491	1178	688	hsp60,matrix,mito
P12074	109	1	True	1	24	24	25	109	85	0	0	0	mito
P12235	298	1	True	1	2	2	3	298	296	0	0	0	mito
P12236	298	1	True	1	2	2	3	297	295	298	298	1	hsp60,mito
P12694	445	1	True	1	45	45	46	445	400	0	0	0	hsp60,mito
P12998	384	2	False	1	38	38	39	378	340	379	384	6	groel
P13033	419	1	True	0	0	0	1	122	122	123	419	297	groel
P13051	313	1	True	1	79	79	80	312	233	313	313	1	matrix,mito
P13073	169	1	True	1	22	22	23	169	147	0	0	0	hsp60,mito
P13196	640	2	False	1	259	259	260	492	233	493	640	148	matrix,mito
P13804	333	2	False	1	18	18	19	204	186	205	333	129	hsp60,matrix,mito
P13857	179	1	True	0	0	0	1	179	179	0	0	0	groel
P13995	350	2	False	1	39	39	40	308	269	309	350	42	hsp60,matrix,mito
P14324	419	1	True	1	65	65	66	416	351	417	419	3	mito
P14406	83	1	True	1	23	23	24	82	59	83	83	1	mito
P14735	1019	4	False	1	32	32	33	285	253	286	1019	734	matrix,mito
P14854	86	1	True	1	4	4	5	86	82	0	0	0	mito
P14927	111	1	True	1	1	1	2	111	110	0	0	0	mito
P15254	1295	6	False	1	152	152	153	213	61	214	1295	1082	groel
P15538	503	1	True	1	25	25	26	503	478	0	0	0	mito
P15954	63	1	True	1	16	16	17	63	47	0	0	0	mito
P16219	412	3	False	1	28	28	29	150	122	151	412	262	matrix,mito
P16260	332	1	True	1	29	29	30	331	302	332	332	1	mito
P17315	663	2	False	1	24	24	25	157	133	158	663	506	groel
P17540	419	2	False	1	22	22	23	133	111	134	419	286	mito
P17612	351	2	False	1	40	40	41	330	290	331	351	21	mito
P18859	108	1	True	1	38	38	39	101	63	102	108	7	mito
P19099	503	1	True	1	28	28	29	503	475	0	0	0	mito
P19404	249	2	False	1	52	52	53	126	74	127	249	123	hsp60,mito
P20674	150	1	True	1	41	41	42	150	109	0	0	0	mito
P21151	387	2	False	1	4	4	5	267	263	268	387	120	groel
P21165	443	2	False	0	0	0	1	159	159	160	443	284	groel
P21397	527	4	False	1	14	14	15	457	443	458	527	70	mito
P21499	813	3	False	1	66	66	67	147	81	148	813	666	groel
P21549	392	2	False	1	19	19	20	381	362	382	392	11	matrix,mito
P21796	283	1	True	0	0	0	1	283	283	0	0	0	mito
P21912	280	2	False	1	28	28	29	142	114	143	280	138	hsp60,mito
P21953	392	2	False	1	66	66	67	259	193	260	392	133	hsp60,mito
P21964	271	1	True	1	50	50	51	270	220	271	271	1	mito
P22033	750	2	False	1	60	60	61	576	516	577	750	174	matrix,mito
P22234	425	3	False	1	12	12	13	91	79	92	425	334	matrix,mito
P22307	547	2	False	1	12	12	13	405	393	406	547	142	mito
P22333	333	1	True	1	1	1	2	333	332	0	0	0	groel
P22557	587	3	False	0	0	0	1	49	49	50	587	538	matrix,mito
P22570	491	2	False	1	40	40	41	487	447	488	491	4	hsp60,matrix,mito
P22695	453	2	False	1	14	14	15	249	235	250	453	204	hsp60,mito
P22830	423	2	False	1	67	67	68	392	325	393	423	31	hsp60,mito
P23003	366	2	False	1	14	14	15	362	348	363	366	4	groel
P23368	584	2	False	1	22	22	23	277	255	278	584	307	hsp60,matrix,mito
P23378	1020	4	False	1	132	132	133	484	352	485	1020	536	matrix,mito
P23434	173	1	True	1	30	30	31	169	139	170	173	4	matrix,mito
P23721	362	2	False	1	16	16	17	258	242	259	362	104	groel
P23786	658	4	False	1	32	32	33	132	100	133	658	526	hsp60,mito
P23836	223	3	False	0	0	0	1	80	80	81	223	143	groel
P23843	543	3	False	1	40	40	41	524	484	525	543	19	groel
P23869	164	1	True	0	0	0	1	164	164	0	0	0	groel
P23893	426	2	False	1	5	5	6	419	414	420	426	7	groel
P23908	383	2	False	1	29	29	30	363	334	364	383	20	groel
P23919	212	1	True	0	0	0	1	212	212	0	0	0	matrix,mito
P24182	449	3	False	0	0	0	1	135	135	136	449	314	groel
P24310	79	1	True	1	21	21	22	79	58	0	0	0	mito
P24311	80	1	True	1	24	24	25	80	56	0	0	0	mito
P24539	256	1	True	1	163	163	164	256	93	0	0	0	hsp60,mito
P24752	427	1	True	1	31	31	32	427	396	0	0	0	hsp60,matrix,mito
P25325	297	2	False	0	0	0	1	158	158	159	297	139	mito
P25397	197	1	True	0	0	0	1	197	197	0	0	0	groel
P25705	553	3	False	1	43	43	44	136	93	137	553	417	hsp60,mito
P25874	307	1	True	1	13	13	14	306	293	307	307	1	mito
P25888	454	2	False	0	0	0	1	211	211	212	454	243	groel
P26440	426	3	False	1	40	40	41	161	121	162	426	265	matrix,mito
P26602	165	1	True	1	1	1	2	165	164	0	0	0	groel
P27105	288	2	False	1	91	91	92	201	110	202	288	87	mito
P27144	223	1	True	1	3	3	4	223	220	0	0	0	hsp60,matrix,mito
P27249	890	1	True	1	456	456	457	599	143	600	890	291	groel
P27305	308	1	True	1	6	6	7	302	296	303	308	6	groel
P27306	466	3	False	1	6	6	7	333	327	334	466	133	groel
P27338	520	4	False	1	5	5	6	448	443	449	520	72	mito
P27695	318	1	True	1	42	42	43	317	275	318	318	1	matrix,mito
P28288	659	2	False	1	44	44	45	397	353	398	659	262	mito
P28330	430	3	False	1	31	31	32	166	135	167	430	264	mito
P28331	727	4	False	1	30	30	31	153	123	154	727	574	hsp60,mito
P28838	519	2	False	1	32	32	33	197	165	198	519	322	hsp60,matrix,mito
P29012	356	2	False	1	11	11	12	210	199	211	356	146	groel
P29368	286	2	False	1	20	20	21	269	249	270	286	17	groel
P29680	354	1	True	0	0	0	1	354	354	0	0	0	groel
P29803	388	1	True	1	14	14	15	388	374	0	0	0	matrix,mito
P30038	563	2	False	1	34	34	35	549	515	550	563	14	matrix,mito
P30041	224	2	False	1	1	1	2	155	154	156	224	69	mito
P30044	214	1	True	1	43	43	44	214	171	0	0	0	matrix,mito
P30048	256	1	True	1	56	56	57	256	200	0	0	0	hsp60,matrix,mito
P30049	168	2	False	1	22	22	23	125	103	126	168	43	hsp60,mito
P30084	290	2	False	1	30	30	31	232	202	233	290	58	hsp60,matrix,mito
P30137	211	1	True	1	9	9	10	206	197	207	211	5	groel
P30139	256	1	True	0	0	0	1	255	255	256	256	1	groel
P30140	377	1	True	1	9	9	10	369	360	370	377	8	groel
